Source name,Source URL,Claim group,Registered page,Actually linked in rendered page?,Endpoint status,Claim support recheck,Copyright / paraphrase boundary,Reconciliation result
SN 56.11,https://suttacentral.net/sn56.11/en/sujato,"Four Noble Truths, Middle Way, and four tasks",https://echobuddha.com/learn/buddhism-for-beginners/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
SN 56.11,https://suttacentral.net/sn56.11/en/sujato,"Four Noble Truths, Middle Way, and four tasks",https://echobuddha.com/learn/four-noble-truths/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
SN 56.11,https://suttacentral.net/sn56.11/en/sujato,"Four Noble Truths, Middle Way, and four tasks",https://echobuddha.com/learn/eightfold-path/,No,200_VERIFIED_2026-08-11,REGISTER_MAPPING_CORRECTED; NO CLAIM FAILURE IN PAGE,Linked and paraphrased; no long translation reproduced.,CORRECTED_REGISTER_ONLY
SN 56.11,https://suttacentral.net/sn56.11/en/sujato,"Four Noble Truths, Middle Way, and four tasks",https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
SN 56.11,https://suttacentral.net/sn56.11/en/sujato,"Four Noble Truths, Middle Way, and four tasks",https://echobuddha.com/articles/right-speech-buddhism/,No,200_VERIFIED_2026-08-11,REGISTER_MAPPING_CORRECTED; NO CLAIM FAILURE IN PAGE,Linked and paraphrased; no long translation reproduced.,CORRECTED_REGISTER_ONLY
SN 56.11,https://suttacentral.net/sn56.11/en/sujato,"Four Noble Truths, Middle Way, and four tasks",https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
SN 56.11,https://suttacentral.net/sn56.11/en/sujato,"Four Noble Truths, Middle Way, and four tasks",https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,No,200_VERIFIED_2026-08-11,REGISTER_MAPPING_CORRECTED; NO CLAIM FAILURE IN PAGE,Linked and paraphrased; no long translation reproduced.,CORRECTED_REGISTER_ONLY
SN 45.8,https://suttacentral.net/sn45.8/en/sujato,Noble Eightfold Path factors and Right Speech abstentions,https://echobuddha.com/learn/buddhism-for-beginners/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
SN 45.8,https://suttacentral.net/sn45.8/en/sujato,Noble Eightfold Path factors and Right Speech abstentions,https://echobuddha.com/learn/four-noble-truths/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
SN 45.8,https://suttacentral.net/sn45.8/en/sujato,Noble Eightfold Path factors and Right Speech abstentions,https://echobuddha.com/learn/eightfold-path/,Yes,200_VERIFIED_2026-08-11,SUPPORTED_WITH_RECORDED_BOUNDARY,Linked and paraphrased; no long translation reproduced.,PASS
