URL,Baseline source status,Source-bearing family?,Source claims changed?,Attribution changed?,Translation/paraphrase distinction changed?,Source links changed?,Post-edit status,Validation
https://echobuddha.com/daily-reflections/anger-as-a-signal/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/begin-again-without-shame/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/enough-for-this-moment/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/evening-release/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/family-patience/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/gratitude-for-change/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/listen-before-answering/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/mindful-work/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/morning-intention/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/notice-before-fixing/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/one-honest-breath/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/one-step-on-the-path/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/rest-without-escape/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/see-the-conditions/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/simple-goodwill/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/daily-reflections/walking-as-practice/,Medium,Context dependent,No,No,No,No,Medium,PASS
https://echobuddha.com/learn/buddhist-dictionary/anatta/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/buddhist-dictionary/anicca/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/buddhist-dictionary/compassion/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/buddhist-dictionary/karma/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/buddhist-dictionary/karuna/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,Yes,No,No,No,No,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,PASS
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/buddhist-dictionary/sangha/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/buddhist-dictionary/sati/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/buddhist-dictionary/sutta/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,Yes,No,No,No,No,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,PASS
https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,Yes,No,No,No,No,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,PASS
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,Yes,No,No,No,No,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,PASS
https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,Low,Yes,No,No,No,No,Low,PASS
https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,Low,Yes,No,No,No,No,Low,PASS
