URL,Clicks,Impressions,CTR,Average position,Evidence label
https://echobuddha.com/,12,81,14.81%,4.19,PRELIMINARY SEO EQUITY EVIDENCE
https://echobuddha.com/articles/right-speech-buddhism/,3,313,0.96%,22.34,PRELIMINARY SEO EQUITY EVIDENCE
https://echobuddha.com/quotes/letting-go/,3,158,1.90%,20.37,PRELIMINARY SEO EQUITY EVIDENCE
https://echobuddha.com/articles/dhamma-vs-dharma/,1,232,0.43%,12.11,PRELIMINARY SEO EQUITY EVIDENCE
https://echobuddha.com/quotes/patience/,1,179,0.56%,24.34,PRELIMINARY SEO EQUITY EVIDENCE
https://echobuddha.com/articles/three-poisons-buddhism-explained/,1,107,0.93%,41.13,PRELIMINARY SEO EQUITY EVIDENCE
https://echobuddha.com/quotes/mindfulness/,1,20,5.00%,25.05,PRELIMINARY SEO EQUITY EVIDENCE
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,1,14,7.14%,43.71,PRELIMINARY SEO EQUITY EVIDENCE
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,1,4,25.00%,6.75,PRELIMINARY SEO EQUITY EVIDENCE
https://echobuddha.com/daily-reflections/,1,3,33.33%,9.33,PRELIMINARY SEO EQUITY EVIDENCE
https://echobuddha.com/learn/buddhist-dictionary/sati/,1,2,50.00%,73.00,PRELIMINARY SEO EQUITY EVIDENCE
