support_url,declared_owner_url,relationship_source,visible_to_user,topic,intent_similarity,query_overlap,structural_overlap,content_overlap,owner_exists,circular_relationship,orphaned_relationship,notes
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,repository-held historical intent architecture register,not explicitly verified,Mindfulness,practical guide,NOT_VERIFIED (GSC query×page export unavailable),0.0857,0.0017,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/learn/buddhism-for-beginners/,repository-held historical intent architecture register,not explicitly verified,Beginner Buddhism,practical guide,NOT_VERIFIED (GSC query×page export unavailable),0,0,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,repository-held historical intent architecture register,not explicitly verified,Impermanence,practical guide,NOT_VERIFIED (GSC query×page export unavailable),0.0769,0.0027,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,repository-held historical intent architecture register,not explicitly verified,Page-specific / unclustered,practical guide,NOT_VERIFIED (GSC query×page export unavailable),0.35,0.0663,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/category/buddhist-wisdom/,https://echobuddha.com/articles/,repository-held historical intent architecture register,not explicitly verified,Page-specific / unclustered,navigation/reference,NOT_VERIFIED (GSC query×page export unavailable),0.3448,0.3377,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/category/meditation/,https://echobuddha.com/articles/,repository-held historical intent architecture register,not explicitly verified,Meditation,navigation/reference,NOT_VERIFIED (GSC query×page export unavailable),0.1552,0.1467,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/category/mindfulness/,https://echobuddha.com/articles/,repository-held historical intent architecture register,not explicitly verified,Mindfulness,navigation/reference,NOT_VERIFIED (GSC query×page export unavailable),0.0862,0.0891,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/category/reflection/,https://echobuddha.com/articles/,repository-held historical intent architecture register,not explicitly verified,Page-specific / unclustered,navigation/reference,NOT_VERIFIED (GSC query×page export unavailable),0.1552,0.1476,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,repository-held historical intent architecture register,not explicitly verified,Compassion,practical guide,NOT_VERIFIED (GSC query×page export unavailable),0.3947,0.1016,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/compassion-with-boundaries/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,repository-held historical intent architecture register,not explicitly verified,Compassion,practical guide,NOT_VERIFIED (GSC query×page export unavailable),0.5,0.1323,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,https://echobuddha.com/meditation/,repository-held historical intent architecture register,not explicitly verified,Meditation,practical guide,NOT_VERIFIED (GSC query×page export unavailable),0,0,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/dhamma-vs-dharma/,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,repository-held historical intent architecture register,true,Dhamma / Dharma,comparison,NOT_VERIFIED (GSC query×page export unavailable),0,0.0055,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,https://echobuddha.com/learn/dhammapada-reflections/,repository-held historical intent architecture register,not explicitly verified,Dhamma / Dharma,practical guide,NOT_VERIFIED (GSC query×page export unavailable),0,0.0037,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,https://echobuddha.com/learn/dhammapada-reflections/,repository-held historical intent architecture register,not explicitly verified,Dhamma / Dharma,source study,NOT_VERIFIED (GSC query×page export unavailable),0,0.0032,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,https://echobuddha.com/learn/dhammapada-reflections/,repository-held historical intent architecture register,not explicitly verified,Dhamma / Dharma,comparison,NOT_VERIFIED (GSC query×page export unavailable),0,0.0024,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/eightfold-path-explained/,https://echobuddha.com/learn/eightfold-path/,repository-held historical intent architecture register,not explicitly verified,Noble Eightfold Path,practical guide,NOT_VERIFIED (GSC query×page export unavailable),0.075,0.0343,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,https://echobuddha.com/learn/eightfold-path/,repository-held historical intent architecture register,not explicitly verified,Noble Eightfold Path,practical guide,NOT_VERIFIED (GSC query×page export unavailable),0.1053,0.0431,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/first-week-buddhist-practice/,https://echobuddha.com/learn/buddhism-for-beginners/,repository-held historical intent architecture register,true,Beginner Buddhism,practical guide,NOT_VERIFIED (GSC query×page export unavailable),0,0,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
https://echobuddha.com/articles/five-precepts-in-daily-life/,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,repository-held historical intent architecture register,not explicitly verified,Buddhist Ethics,practical guide,NOT_VERIFIED (GSC query×page export unavailable),0.119,0.0107,true,false,false,Descriptive extraction only; no Phase 1 disposition inherited from the historical register.
