URL,Page family,Repeated introduction risk before,Repeated introduction risk after,Heading-sequence risk before,Heading-sequence risk after,Transition risk before,Transition risk after,Practice-scaffold risk before,Practice-scaffold risk after,FAQ risk before,FAQ risk after,Conclusion risk before,Conclusion risk after,Portable example risk before,Portable example risk after,Cross-family structural risk before,Cross-family structural risk after,Generic filler risk before,Generic filler risk after,Total before,Total after,Classification before,Classification after,Quality gate,Differentiation gate
https://echobuddha.com/daily-reflections/anger-as-a-signal/,daily reflection,0,0,8,5,1,1,3,3,0,0,2,2,0,0,1,0,3,3,18,14,LOW,LOW,PASS,PASS
https://echobuddha.com/daily-reflections/begin-again-without-shame/,daily reflection,4,4,8,0,1,1,3,3,0,0,8,8,0,0,1,0,4,4,29,20,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,daily reflection,8,8,8,5,1,1,3,3,0,0,8,8,0,0,1,0,3,3,32,28,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/enough-for-this-moment/,daily reflection,4,4,8,0,1,1,3,3,0,0,8,8,0,0,1,0,3,3,28,19,MODERATE,LOW,PASS,PASS
https://echobuddha.com/daily-reflections/evening-release/,daily reflection,0,0,8,0,1,1,3,3,0,0,2,2,0,0,1,0,3,3,18,9,LOW,LOW,PASS,PASS
https://echobuddha.com/daily-reflections/family-patience/,daily reflection,8,8,8,5,1,1,3,3,0,0,8,8,0,0,1,0,3,3,32,28,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,daily reflection,8,8,8,5,2,2,7,7,0,0,8,8,0,0,1,0,3,3,37,33,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/gratitude-for-change/,daily reflection,0,0,8,5,2,2,7,3,0,0,8,8,0,0,1,0,3,3,29,21,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,daily reflection,0,0,8,5,1,1,3,3,0,0,8,8,0,0,1,0,3,3,24,20,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,daily reflection,0,0,8,5,3,3,3,3,0,0,8,8,0,0,1,0,3,3,26,22,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,daily reflection,8,8,8,5,1,1,3,3,0,0,8,8,0,0,1,0,3,3,32,28,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,daily reflection,0,0,8,5,4,4,7,3,0,0,2,2,0,0,1,0,3,3,25,17,MODERATE,LOW,PASS,PASS
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,daily reflection,0,0,8,0,1,2,3,3,0,0,8,8,0,0,1,0,3,3,24,16,MODERATE,LOW,PASS,PASS
https://echobuddha.com/daily-reflections/listen-before-answering/,daily reflection,8,8,8,5,1,1,3,3,0,0,8,8,0,0,1,0,3,3,32,28,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,daily reflection,8,8,8,5,1,1,3,3,0,0,2,2,0,0,1,0,3,3,26,22,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/mindful-work/,daily reflection,0,0,8,5,1,1,3,3,0,0,8,8,0,0,1,0,3,3,24,20,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/morning-intention/,daily reflection,0,0,8,0,1,1,3,3,0,0,8,8,6,6,1,0,3,3,30,21,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/notice-before-fixing/,daily reflection,8,8,8,5,2,2,7,3,0,0,8,8,0,0,1,0,3,3,37,29,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/one-honest-breath/,daily reflection,4,4,8,0,2,4,3,3,0,0,8,8,0,0,1,0,4,4,30,23,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/one-step-on-the-path/,daily reflection,0,0,8,5,1,1,3,3,0,0,8,8,0,0,1,0,3,3,24,20,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,daily reflection,0,0,8,5,3,3,7,3,0,0,2,2,0,0,1,0,4,4,25,17,MODERATE,LOW,PASS,PASS
https://echobuddha.com/daily-reflections/rest-without-escape/,daily reflection,0,0,8,0,3,3,3,3,0,0,2,2,0,0,1,0,3,3,20,11,MODERATE,LOW,PASS,PASS
https://echobuddha.com/daily-reflections/see-the-conditions/,daily reflection,0,0,8,5,2,2,7,3,0,0,8,8,0,0,1,0,3,3,29,21,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/simple-goodwill/,daily reflection,0,0,8,5,1,1,3,3,0,0,8,8,0,0,1,0,3,3,24,20,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,daily reflection,0,0,8,5,1,1,3,3,0,0,8,8,0,0,1,0,3,3,24,20,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,daily reflection,8,8,8,5,1,1,7,3,0,0,8,8,0,0,1,0,3,3,36,28,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,daily reflection,0,0,8,5,1,1,3,3,0,0,8,8,0,0,1,0,3,3,24,20,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,daily reflection,0,0,8,5,1,1,3,3,0,0,8,8,0,0,1,0,3,3,24,20,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,daily reflection,4,4,8,0,1,3,3,3,0,0,2,2,0,0,1,0,4,4,23,16,MODERATE,LOW,PASS,PASS
https://echobuddha.com/daily-reflections/walking-as-practice/,daily reflection,0,0,8,5,2,2,3,3,0,0,8,8,0,0,1,0,3,3,25,21,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/learn/buddhist-dictionary/anatta/,learn detail,0,0,8,8,2,2,3,0,0,0,0,0,0,0,3,0,0,0,16,10,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/buddhist-dictionary/anicca/,learn detail,0,0,8,8,2,2,3,0,0,0,0,0,0,0,3,0,0,0,16,10,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/buddhist-dictionary/compassion/,learn detail,0,0,8,8,2,2,3,0,0,0,0,0,0,0,3,0,1,1,17,11,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,learn detail,0,0,0,0,2,2,3,3,0,0,0,0,0,0,3,0,0,0,8,5,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,learn detail,0,0,8,8,1,1,3,0,0,0,0,0,0,0,3,0,1,1,16,10,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/buddhist-dictionary/karma/,learn detail,0,0,8,8,1,1,3,0,0,0,0,0,0,0,3,0,0,0,15,9,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/buddhist-dictionary/karuna/,learn detail,0,0,8,8,1,1,3,0,0,0,0,0,0,0,3,0,0,0,15,9,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,learn detail,0,0,0,0,1,1,3,3,0,0,0,0,0,0,3,1,0,0,7,5,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,learn detail,0,0,8,8,5,5,3,3,0,0,2,2,0,0,3,0,0,0,21,18,MODERATE,LOW,PASS,PASS
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,learn detail,0,0,8,8,2,2,3,0,0,0,0,0,0,0,3,0,0,0,16,10,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,learn detail,0,0,0,0,2,2,3,0,0,0,0,0,0,0,2,1,0,0,7,3,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/buddhist-dictionary/sangha/,learn detail,0,0,8,8,1,1,3,0,0,0,0,0,0,0,3,0,0,0,15,9,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/buddhist-dictionary/sati/,learn detail,0,0,8,8,3,3,3,0,0,0,0,0,0,0,3,0,0,0,17,11,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/buddhist-dictionary/sutta/,learn detail,0,0,0,0,1,1,3,0,0,0,0,0,0,0,2,1,0,0,6,2,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,learn detail,0,0,5,5,3,3,3,0,0,0,2,2,0,0,3,0,0,0,16,10,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,learn detail,0,0,5,5,1,1,3,0,0,0,0,0,0,0,3,0,0,0,12,6,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,learn detail,0,0,5,5,0,0,3,0,0,0,2,2,0,0,3,0,0,0,13,7,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,learn detail,0,0,5,5,0,0,3,0,0,0,0,0,0,0,3,0,1,1,12,6,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,learn detail,0,0,5,5,1,1,3,0,0,0,0,0,0,0,3,0,0,0,12,6,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,learn detail,0,0,5,5,1,1,3,0,0,0,0,0,2,2,3,0,0,0,14,8,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,learn detail,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,5,1,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,learn detail,0,0,5,5,1,1,3,0,0,0,0,0,0,0,3,0,0,0,12,6,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,learn detail,0,0,0,0,1,1,3,0,0,0,0,0,2,2,1,0,0,0,7,3,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,learn detail,0,0,0,0,1,1,3,0,0,0,0,0,2,2,3,0,0,0,9,3,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,learn detail,0,0,5,5,1,1,3,0,0,0,0,0,0,0,3,0,0,0,12,6,LOW,LOW,PASS,PASS
https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,learn detail,0,0,5,5,2,2,3,0,0,0,0,0,2,2,3,0,0,0,15,9,LOW,LOW,PASS,PASS
https://echobuddha.com/meditation/10-minute-meditation-practice/,meditation detail,0,0,0,0,1,1,3,3,0,0,0,0,0,0,2,1,0,0,6,5,LOW,LOW,PASS,PASS
https://echobuddha.com/meditation/5-minute-meditation-practice/,meditation detail,0,0,0,0,3,3,3,3,0,0,0,0,0,0,3,1,0,0,9,7,LOW,LOW,PASS,PASS
https://echobuddha.com/meditation/breathing-meditation/,meditation detail,0,0,0,0,2,2,7,7,0,0,0,0,0,0,3,0,1,1,13,10,LOW,LOW,PASS,PASS
https://echobuddha.com/meditation/loving-kindness-meditation/,meditation detail,0,0,0,0,1,1,3,3,0,0,0,0,2,2,3,0,1,1,10,7,LOW,LOW,PASS,PASS
https://echobuddha.com/meditation/meditation-for-beginners/,meditation detail,0,0,0,0,3,3,3,3,0,0,0,0,0,0,3,1,1,1,10,8,LOW,LOW,PASS,PASS
https://echobuddha.com/meditation/meditation-posture-for-beginners/,meditation detail,0,0,0,0,1,1,3,3,0,0,0,0,0,0,2,1,1,1,7,6,LOW,LOW,PASS,PASS
https://echobuddha.com/meditation/mindfulness-in-daily-life/,meditation detail,0,0,0,0,5,5,3,3,0,0,0,0,0,0,3,1,2,2,13,11,LOW,LOW,PASS,PASS
https://echobuddha.com/meditation/walking-meditation/,meditation detail,0,0,0,0,3,3,3,3,0,0,0,0,2,2,3,0,1,1,12,9,LOW,LOW,PASS,PASS
https://echobuddha.com/meditation/when-meditation-feels-hard/,meditation detail,0,0,0,0,1,1,3,3,0,0,0,0,0,0,1,1,2,2,7,7,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,quote story,0,0,5,8,1,1,3,3,0,0,0,0,0,0,0,0,1,1,10,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,quote story,0,0,5,8,2,2,3,3,0,0,0,0,0,0,0,0,1,1,11,14,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,5,5,16,16,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,quote story,0,0,8,8,7,7,3,3,0,0,2,2,0,0,0,0,1,1,21,21,MODERATE,MODERATE,PASS,PASS
https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,quote story,0,0,5,8,2,2,3,7,0,0,0,0,2,2,0,0,1,1,13,20,LOW,MODERATE,PASS,PASS
https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,quote story,0,0,8,8,1,1,3,3,0,0,0,0,0,0,0,0,1,1,13,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/awareness/thoughts-are-visitors/,quote story,0,0,5,8,2,1,3,3,0,0,0,0,0,0,0,0,1,1,11,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/awareness/thoughts-pass-without-commanding-you/,quote story,0,0,5,8,1,1,3,3,0,0,0,0,0,0,0,0,2,2,11,14,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/awareness/what-you-can-observe-clearly-no-longer-controls-you/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/before-judging-another-life-remember-how-much-of-your/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/compassion-sees-pain-clearly/,quote story,0,0,5,8,2,1,3,3,0,0,0,0,0,0,0,0,1,1,11,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/gentle-self-compassion/,quote story,0,0,5,8,1,1,3,3,0,0,0,0,0,0,0,0,1,1,10,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/kindness-as-quiet-practice/,quote story,0,0,5,8,2,1,3,3,0,0,0,0,0,0,0,0,2,2,12,14,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/,quote story,0,0,8,8,1,1,3,3,0,0,0,0,0,0,0,0,1,1,13,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/let-your-boundaries-be-clear-and-your-heart-remain/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/loving-kindness-without-harm/,quote story,0,0,5,8,2,1,3,3,0,0,0,0,2,2,0,0,1,1,13,15,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/offer-others-the-patience-you-hope-to-receive-on/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/small-kindnesses-often-reach-places-that-advice-cannot/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/the-heart-becomes-spacious-each-time-it-chooses-care/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/to-understand-someone-is-not-to-excuse-harm-it/,quote story,0,0,8,8,1,1,3,3,0,0,0,0,0,0,0,0,1,1,13,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/compassion/when-you-cannot-remove-anothers-burden-do-not-add/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/impermanence/acceptance-begins-where-the-argument-with-change-ends/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/impermanence/because-this-moment-will-pass-meet-it-while-it/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/impermanence/change-is-how-life-continues/,quote story,0,0,0,8,2,1,3,3,0,0,0,0,0,0,0,0,1,1,6,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/impermanence/change-takes-nothing-personally-it-simply-continues/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/impermanence/everything-changes-including-the-part-of-you-that-fears/,quote story,0,0,8,8,1,1,3,3,0,0,0,0,0,0,0,0,1,1,13,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/impermanence/hold-each-day-carefully-knowing-it-cannot-be-held/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/impermanence/meet-change-softly/,quote story,0,0,0,8,1,1,3,3,0,0,0,0,0,0,0,0,1,1,5,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/impermanence/no-season-is-asked-to-remain-in-order-to/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/impermanence/the-fading-flower-does-not-make-its-blooming-less/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/impermanence/the-passing-of-joy-teaches-gratitude-the-passing-of/,quote story,0,0,8,8,1,1,3,3,0,0,0,0,0,0,0,0,1,1,13,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/impermanence/todays-certainty-may-become-tomorrows-lesson-in-humility/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/impermanence/what-changes-is-not-always-lost-sometimes-it-is/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,0,0,1,1,12,12,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/an-open-hand-can-care-for-what-a-clenched/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,1,1,1,1,13,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/caring-without-clinging/,quote story,0,0,5,8,2,1,3,3,0,0,0,0,0,0,1,1,1,1,12,14,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/forgiveness-without-approving-harm/,quote story,0,0,5,8,2,1,3,3,0,0,0,0,0,0,1,1,1,1,12,14,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/freedom-often-sounds-like-the-quiet-end-of-an/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,1,1,1,1,13,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/let-the-feeling-pass-through-without-building-it-a/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,1,1,1,1,13,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/letting-go-begins-by-admitting-how-tightly-you-are/,quote story,0,0,8,8,0,0,3,3,0,0,0,0,0,0,1,1,1,1,13,13,LOW,LOW,PASS,PASS
https://echobuddha.com/quotes/letting-go/open-hands-non-attachment/,quote story,0,0,5,8,2,1,3,3,0,0,0,0,0,0,1,1,1,1,12,14,LOW,LOW,PASS,PASS
