url,pageType,currentInboundLinks,opportunity,priority,validationMethod
https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,learningDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,learningDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,learningDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,learningDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/learn/buddhist-handbook/dhamma-as-refuge/,learningDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/learn/buddhist-handbook/lay-sangha-relationship/,learningDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/learn/buddhist-handbook/refuge-devas-buddhist-practice/,learningDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/learn/buddhist-handbook/respecting-triple-gem/,learningDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,learningDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,learningDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,learningDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/learn/questions-about-buddhism/appatimo-and-buddha-images/,learningDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/learn/sutta-for-daily-life/how-to-read-a-buddhist-sutta/,learningDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,learningDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/meditation/10-minute-meditation-practice/,meditationDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/meditation/meditation-posture-for-beginners/,meditationDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
https://echobuddha.com/meditation/when-meditation-feels-hard/,meditationDetail,3,Strengthen contextual links from parent hubs and related pages where natural.,Medium,Re-run content audit inventory and static link crawl.
