Claim,Category,Current site wording,Proposed wording,Evidence source,Verified?,Owner-supplied?,Repository-supported?,External-source-supported?,Can publish safely?,Human confirmation required?,Notes
Echo Buddha is an educational publication,Publication identity,"quiet online space; educational and reflective website","Buddhist-rooted educational website and digital publication",Public routes and repository page roles,Yes,No,Yes,No,Yes,No,Does not imply temple monastery sangha university nonprofit company or religious authority
Echo Buddha Editorial is the public article byline,Authorship,"Echo Buddha Editorial","Echo Buddha Editorial is an organizational publication byline rather than a named person",SITE.author article templates and visible bylines,Yes,No,Yes,No,Yes,No,Google Article guidance permits Organization authors when marked as such and linked to a real page
Echo Buddha Editorial is a real expert team,Authorship,"shared editorial voice; editorial team","Do not claim a team; state that the label does not imply an expert monastic academic or clinical review board",No evidence of a team in repository or owner instruction,No,No,No,No,No,Yes,Current contact wording must be corrected
A named person is publicly responsible,Publisher accountability,None,OWNER INPUT REQUIRED,Phase 5 handoff and absence of approved identity evidence,No,No,No,No,No,Yes,Do not infer identity from Git history repository account or email
Echo Buddha is responsible for its published material,Publisher accountability,Implicit through site and correction pages,"Echo Buddha accepts publication and correction responsibility through its public publisher contact",Public contact email correction workflow and owner-controlled releases,Yes,No,Yes,No,Yes,No,Modest brand-level accountability without personal-data disclosure
Echo Buddha has Buddhist academic monastic teaching or clinical credentials,Credentials,Explicitly disclaimed,None may be listed without verification,Repository contains no credential evidence,No,No,No,No,No,Yes,Credential register remains empty and publication-prohibited
Every page is externally expert reviewed,Review model,No; pages describe editorial checks,"Internal editorial/source/safety/technical checks are not external expert review",Repository audits and no external reviewer evidence,Yes,No,Yes,No,Yes,No,Remove ambiguity around reviewed labels
AI-assisted tools may support content work,Process transparency,"Automation may assist audits organization code and editorial checks","AI-assisted tools may support research organization outlining draft support editorial analysis duplication/source checks and technical validation; the publisher retains release responsibility",Current Phase 0–6 workflow and repository evidence,Yes,No,Yes,Yes,Yes,No,Do not add repetitive per-page disclosures
Content is 100% human-written or AI-free,Process transparency,None,Do not make this claim,No supporting evidence,No,No,No,No,No,Yes,Not publishable
Current quote stories are original Echo Buddha writing,Attribution,"original Echo Buddha quote/reflection; not scripture","Keep the same classification and five-class attribution policy",Quote data origin status and quote-origin registry,Yes,No,Yes,No,Yes,No,No Buddha or scripture attribution should be inferred
Karma as intention is supported by the Kalama Sutta,Source integrity,Kalama Sutta mapped to intention and action,"Use AN 6.63 Nibbedhika Sutta for the intention/kamma definition",Current source map compared with AN 6.63,No,No,Yes,Yes,No,No,Material source-to-claim correction required
Source links prove all claims on a page,Source integrity,Not explicitly claimed,"Each source supports only the identified claim group; modern examples remain Echo Buddha interpretation",Current source notes and Google people-first guidance,Yes,No,Yes,Yes,Yes,No,Avoid decorative source counts
Modern Echo Buddha examples are canonical Buddhist instructions,Interpretation boundary,Pages generally distinguish application from source,"Keep explicit source/paraphrase/editorial-application distinctions on source-sensitive pages",Phase 4 source review and current page language,No,No,Yes,Yes,No,No,Must never be published as a blanket claim
Readers can report corrections by email,Corrections,"Email info.echobuddha@gmail.com with URL passage and evidence","Keep the email path and define a realistic triage/correction/date policy",SITE.email mailto links and corrections page,Yes,No,Yes,No,Yes,No,No response-time promise
Reviewed dates indicate external certification,Date transparency,Explicitly disclaimed,"Reviewed date means substantive internal editorial review only and changes only after meaningful review",Article metadata and corrections page,No,No,Yes,No,No,No,Preserve actual dates; do not batch-refresh for Phase 6 shared changes
Echo Buddha provides clinical or individualized religious advice,Safety authority,Explicitly disclaimed,Keep educational non-clinical boundary,Meditation safety disclaimer and protected safety register,No,No,Yes,Yes,No,No,Protected language
Echo Buddha is a registered company nonprofit temple monastery or Buddhist institution,Entity status,None,OWNER INPUT REQUIRED,No approved legal-entity evidence,No,No,No,No,No,Yes,Do not publish an entity claim
External social or professional profiles belong in author schema,Identity links,None,OWNER INPUT REQUIRED,No approved relevant profile evidence,No,No,No,No,No,Yes,Do not add sameAs
