Page URL,Claim ID,Claim summary,Claim type,Current source,Source type,Translator or author,Direct support,Partial support,Unsupported,Tradition-specific,Translation-sensitive,Copyright-sensitive,Recommended correction,Final source,Verification status,Human review status
/articles/dhamma-vs-dharma/,DHD-1,Dhamma is commonly Pali and Dharma commonly Sanskrit,linguistic/current terminology,Dhammapada XIV; SN 45.8,canonical,Thanissaro/Buddharakkhita,no,yes,no,yes,yes,no,Add direct terminology source,SuttaCentral define dhamma; Buddhist-studies reference,planned,Buddhist-studies philology review
/articles/dhamma-vs-dharma/,DHD-2,Dhamma/Dharma has multiple meanings beyond one English equivalent,terminology,Dhammapada XIV; SN 45.8,canonical,Thanissaro/Buddharakkhita,no,yes,no,yes,yes,no,Add direct definition source,SuttaCentral define dhamma,planned,Buddhist-studies review
/articles/visiting-a-buddhist-temple-respectfully/,TEM-1,Temple etiquette varies by country lineage monastery temple and event,cultural/institutional,Dhammapada XIV; SN 45.2,canonical,Thanissaro/Buddharakkhita,no,yes,no,yes,no,no,Add institutional visitor guidance,Amaravati FAQ; BSWA etiquette; Mahamevnawa Sri Lanka etiquette,planned,Local/tradition review
/articles/right-speech-examples/,RSE-1,Traditional Right Speech avoids false divisive harsh and idle/careless speech,doctrinal,ATI Right Speech; SN 45.8,canonical/summary,Thanissaro/direct overview,yes,no,no,yes,yes,no,Make four abstentions visible in article,ATI Right Speech; Dhammatalks SN45.8,planned,None
/articles/dhammapada-verse-1-meaning/,DHP1-1,Dhammapada Verse 1 concerns mind as forerunner of speech/action,canonical/translation,ATI Dhammapada I,canonical translation,Buddharakkhita,yes,no,no,yes,yes,yes,Name canonical location and translation/paraphrase distinction,ATI Dhammapada I; SuttaCentral Dhammapada introduction,planned,Translation/copyright review if quoting
/learn/buddhism-101/threefold-training-sila-samadhi-panna/,TT-1,The Eightfold Path is commonly grouped as sila samadhi panna,doctrinal framework,SN 45.8,canonical,Thanissaro,no,yes,no,yes,yes,no,Add direct threefold training source,Access to Insight Foundations of Mindfulness or Dhammatalks Triple Training,planned,Buddhist-studies review
/learn/buddhism-101/five-hindrances-in-buddhism/,FH-1,Five hindrances are sensual desire ill will sloth-torpor restlessness-worry and doubt,doctrinal,Nyanaponika Five Mental Hindrances,Buddhist study essay,Nyanaponika,yes,no,no,yes,yes,no,Keep source and add non-diagnostic caveat,ATI Five Mental Hindrances,planned,Meditation safety review
/learn/buddhism-101/four-brahmaviharas/,FB-1,Four Brahmaviharas are metta karuna mudita upekkha,doctrinal,Nyanaponika Four Sublime States; Metta Sutta,Buddhist study essay/canonical,Nyanaponika/Thanissaro,yes,no,no,yes,yes,no,Keep source and avoid overclaiming near/far enemies,ATI Four Sublime States,planned,Buddhist-studies review
/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,DC-1,SN 56.11 presents two extremes Middle Way Four Noble Truths and path,canonical,SN 56.11,canonical,Thanissaro/Sujato/Bodhi,yes,no,no,yes,yes,no,Add canonical reference and translator visibility,SuttaCentral SN56.11; ATI SN56.11,planned,Buddhist-studies/translation review
/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,MV-1,SN 45.8 analyzes the Noble Eightfold Path,canonical,SN 45.8,canonical,Thanissaro,yes,no,no,yes,yes,no,Add canonical reference and wording-variation note,Dhammatalks SN45.8,planned,Buddhist-studies/translation review
/learn/buddhist-dictionary/sutta/,SUT-1,Sutta means scripture/discourse/sacred text and appears in Pali textual contexts,terminology,generic source note,none,none,no,no,yes,yes,yes,no,Add direct SuttaCentral/ATI Tipitaka source,SuttaCentral define sutta; ATI Sutta Pitaka,planned,Buddhist-studies review
/learn/buddhist-dictionary/pali-canon/,PC-1,Pali Canon/Tipitaka is a primary Pali-language textual collection foundational in Theravada,history/textual,generic source note,none,none,no,no,yes,yes,yes,no,Add direct Tipitaka source and qualify tradition,ATI Tipitaka; ATI Sutta/Vinaya/Abhidhamma pages,planned,Buddhist-studies review
