URL,Checked at UTC,Production status,Local title,Production title,Local H1,Production H1,Canonical match,Robots match,AdSense script match,Result,Notes
https://echobuddha.com/,2026-08-11T02:17:46.273Z,200,Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,Echo Buddha,Echo Buddha,Yes,Yes,Yes,PASS,Representative rendered parity confirmed
https://echobuddha.com/start-here/,2026-08-11T02:17:46.273Z,200,Start Here - Begin Your Buddhist Wisdom and Mindfulness Journey | Echo Buddha,Start Here - Begin Your Buddhist Wisdom and Mindfulness Journey | Echo Buddha,Begin Your Buddhist Wisdom and Mindfulness Journey,Begin Your Buddhist Wisdom and Mindfulness Journey,Yes,Yes,Yes,PASS,Representative rendered parity confirmed
https://echobuddha.com/learn/,2026-08-11T02:17:46.273Z,200,Learn Buddhist Wisdom for Daily Life | Echo Buddha,Learn Buddhist Wisdom for Daily Life | Echo Buddha,Learn Buddhist Wisdom for Daily Life,Learn Buddhist Wisdom for Daily Life,Yes,Yes,Yes,PASS,Representative rendered parity confirmed
https://echobuddha.com/learn/buddhism-for-beginners/,2026-08-11T02:17:46.273Z,200,Buddhism for Beginners - Simple Buddhist Teachings | Echo Buddha,Buddhism for Beginners - Simple Buddhist Teachings | Echo Buddha,Buddhism for Beginners,Buddhism for Beginners,Yes,Yes,Yes,PASS,Representative rendered parity confirmed
https://echobuddha.com/learn/four-noble-truths/,2026-08-11T02:17:46.273Z,200,Four Noble Truths Explained for Beginners | Echo Buddha,Four Noble Truths Explained for Beginners | Echo Buddha,The Four Noble Truths Explained for Beginners,The Four Noble Truths Explained for Beginners,Yes,Yes,Yes,PASS,Representative rendered parity confirmed
https://echobuddha.com/learn/eightfold-path/,2026-08-11T02:17:46.273Z,200,Noble Eightfold Path for Daily Life | Echo Buddha,Noble Eightfold Path for Daily Life | Echo Buddha,The Noble Eightfold Path for Daily Life,The Noble Eightfold Path for Daily Life,Yes,Yes,Yes,PASS,Representative rendered parity confirmed
https://echobuddha.com/meditation/,2026-08-11T02:17:46.273Z,200,Beginner Meditation Guides and Mindfulness Practices | Echo Buddha,Beginner Meditation Guides and Mindfulness Practices | Echo Buddha,Beginner Meditation Guides and Mindfulness Practices,Beginner Meditation Guides and Mindfulness Practices,Yes,Yes,Yes,PASS,Representative rendered parity confirmed
https://echobuddha.com/mindful-living/,2026-08-11T02:17:46.273Z,200,Mindful Living with Buddhist Wisdom | Echo Buddha,Mindful Living with Buddhist Wisdom | Echo Buddha,Mindful Living with Buddhist Wisdom,Mindful Living with Buddhist Wisdom,Yes,Yes,Yes,PASS,Representative rendered parity confirmed
https://echobuddha.com/articles/,2026-08-11T02:17:46.273Z,200,Articles and Blog | Echo Buddha,Articles and Blog | Echo Buddha,Articles and Blog,Articles and Blog,Yes,Yes,Yes,PASS,Representative rendered parity confirmed
https://echobuddha.com/articles/four-noble-truths-explained/,2026-08-11T02:17:46.273Z,200,The Four Noble Truths Explained Simply | Echo Buddha,The Four Noble Truths Explained Simply | Echo Buddha,The Four Noble Truths Explained in Simple Everyday Language,The Four Noble Truths Explained in Simple Everyday Language,Yes,Yes,Yes,PASS,Representative rendered parity confirmed
https://echobuddha.com/quotes/,2026-08-11T02:17:46.273Z,200,Original Buddhist-Inspired Quotes | Echo Buddha,Original Buddhist-Inspired Quotes | Echo Buddha,Original Buddhist-Inspired Quotes,Original Buddhist-Inspired Quotes,Yes,Yes,Yes,PASS,Representative rendered parity confirmed
