family,pages,creation_mechanism,intended_audience,manual_review,uniqueness,independent_purpose,search_targeting_evidence,phase_8_state,current_index_state,risk,result
ARTICLE,48,EDITORIAL_ARTICLE_DATA_PLUS_STATIC_ROUTE_GENERATION,READERS_SEEKING_BUDDHIST_LEARNING_PRACTICE_OR_REFLECTION,PHASE_7_PROVENANCE_AND_PHASE_12_FAMILY_REVIEW,PHASE_8_DIFFERENTIATION_VALIDATED,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,NO_QUERY_LOOP_OR_AUTO_TOPIC_EXPANSION_FOUND,PRESERVED,INDEXABLE_CANONICAL_200,LOW,COMPLIANT_BY_EVIDENCE
ARTICLE_NAVIGATION,6,EDITORIAL_ARTICLE_DATA_PLUS_STATIC_ROUTE_GENERATION,READERS_SEEKING_BUDDHIST_LEARNING_PRACTICE_OR_REFLECTION,PHASE_7_PROVENANCE_AND_PHASE_12_FAMILY_REVIEW,PHASE_8_DIFFERENTIATION_VALIDATED,CURATION_AND_DISCOVERY,NO_QUERY_LOOP_OR_AUTO_TOPIC_EXPANSION_FOUND,PRESERVED,INDEXABLE_CANONICAL_200,LOW,COMPLIANT_BY_EVIDENCE
DAILY_REFLECTION,32,EDITORIAL_DATASET_PLUS_STATIC_ROUTE_GENERATION,READERS_SEEKING_BUDDHIST_LEARNING_PRACTICE_OR_REFLECTION,PHASE_7_PROVENANCE_AND_PHASE_12_FAMILY_REVIEW,PHASE_8_DIFFERENTIATION_VALIDATED,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,NO_QUERY_LOOP_OR_AUTO_TOPIC_EXPANSION_FOUND,PRESERVED,INDEXABLE_CANONICAL_200|NOINDEX_USER_PAGE_200,LOW,COMPLIANT_BY_EVIDENCE
DICTIONARY,15,HAND_AUTHORED_OR_CURATED_STATIC_TEMPLATE,READERS_SEEKING_BUDDHIST_LEARNING_PRACTICE_OR_REFLECTION,PHASE_7_PROVENANCE_AND_PHASE_12_FAMILY_REVIEW,PHASE_8_DIFFERENTIATION_VALIDATED,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,NO_QUERY_LOOP_OR_AUTO_TOPIC_EXPANSION_FOUND,PRESERVED,INDEXABLE_CANONICAL_200,LOW,COMPLIANT_BY_EVIDENCE
ERROR,1,HAND_AUTHORED_OR_CURATED_STATIC_TEMPLATE,READERS_SEEKING_BUDDHIST_LEARNING_PRACTICE_OR_REFLECTION,PHASE_7_PROVENANCE_AND_PHASE_12_FAMILY_REVIEW,PHASE_8_DIFFERENTIATION_VALIDATED,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,NO_QUERY_LOOP_OR_AUTO_TOPIC_EXPANSION_FOUND,PRESERVED,NOINDEX_USER_PAGE_200,LOW,COMPLIANT_BY_EVIDENCE
HOME,1,HAND_AUTHORED_OR_CURATED_STATIC_TEMPLATE,READERS_SEEKING_BUDDHIST_LEARNING_PRACTICE_OR_REFLECTION,PHASE_7_PROVENANCE_AND_PHASE_12_FAMILY_REVIEW,PHASE_8_DIFFERENTIATION_VALIDATED,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,NO_QUERY_LOOP_OR_AUTO_TOPIC_EXPANSION_FOUND,PRESERVED,INDEXABLE_CANONICAL_200,LOW,COMPLIANT_BY_EVIDENCE
LEARN_DETAIL,35,HAND_AUTHORED_OR_CURATED_STATIC_TEMPLATE,READERS_SEEKING_BUDDHIST_LEARNING_PRACTICE_OR_REFLECTION,PHASE_7_PROVENANCE_AND_PHASE_12_FAMILY_REVIEW,PHASE_8_DIFFERENTIATION_VALIDATED,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,NO_QUERY_LOOP_OR_AUTO_TOPIC_EXPANSION_FOUND,PRESERVED,INDEXABLE_CANONICAL_200,LOW,COMPLIANT_BY_EVIDENCE
LEARN_NAVIGATION,6,HAND_AUTHORED_OR_CURATED_STATIC_TEMPLATE,READERS_SEEKING_BUDDHIST_LEARNING_PRACTICE_OR_REFLECTION,PHASE_7_PROVENANCE_AND_PHASE_12_FAMILY_REVIEW,PHASE_8_DIFFERENTIATION_VALIDATED,CURATION_AND_DISCOVERY,NO_QUERY_LOOP_OR_AUTO_TOPIC_EXPANSION_FOUND,PRESERVED,INDEXABLE_CANONICAL_200,LOW,COMPLIANT_BY_EVIDENCE
LEGAL,3,HAND_AUTHORED_OR_CURATED_STATIC_TEMPLATE,READERS_SEEKING_BUDDHIST_LEARNING_PRACTICE_OR_REFLECTION,PHASE_7_PROVENANCE_AND_PHASE_12_FAMILY_REVIEW,PHASE_8_DIFFERENTIATION_VALIDATED,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,NO_QUERY_LOOP_OR_AUTO_TOPIC_EXPANSION_FOUND,PRESERVED,INDEXABLE_CANONICAL_200,LOW,COMPLIANT_BY_EVIDENCE
MEDITATION,10,HAND_AUTHORED_OR_CURATED_STATIC_TEMPLATE,READERS_SEEKING_BUDDHIST_LEARNING_PRACTICE_OR_REFLECTION,PHASE_7_PROVENANCE_AND_PHASE_12_FAMILY_REVIEW,PHASE_8_DIFFERENTIATION_VALIDATED,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,NO_QUERY_LOOP_OR_AUTO_TOPIC_EXPANSION_FOUND,PRESERVED,INDEXABLE_CANONICAL_200,LOW,COMPLIANT_BY_EVIDENCE
