URL,search_protection,search_axis,phase_2_value_score,quality_axis,later_implication,query_ownership,backlink_status,confidence
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,SEO_P3_LIMITED,LOW_OR_EMERGING,58,LOW,PHASE_4_CONSOLIDATION_EVALUATION_ONLY,NOT_VERIFIED,NOT_VERIFIED,MEDIUM
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,SEO_P3_LIMITED,LOW_OR_EMERGING,60,LOW,PHASE_4_CONSOLIDATION_EVALUATION_ONLY,NOT_VERIFIED,NOT_VERIFIED,HIGH
https://echobuddha.com/articles/buddhist-approach-to-anger/,SEO_P2_EMERGING,LOW_OR_EMERGING,70,HIGH,DISCOVERY_GROWTH_CANDIDATE,NOT_VERIFIED,NOT_VERIFIED,HIGH
https://echobuddha.com/articles/buddhist-gratitude-practice/,SEO_P3_LIMITED,LOW_OR_EMERGING,69,LOW,PHASE_4_CONSOLIDATION_EVALUATION_ONLY,NOT_VERIFIED,NOT_VERIFIED,HIGH
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,SEO_P3_LIMITED,LOW_OR_EMERGING,69,LOW,PHASE_4_CONSOLIDATION_EVALUATION_ONLY,NOT_VERIFIED,NOT_VERIFIED,HIGH
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,SEO_P3_LIMITED,LOW_OR_EMERGING,63,LOW,PHASE_4_CONSOLIDATION_EVALUATION_ONLY,NOT_VERIFIED,NOT_VERIFIED,HIGH
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,SEO_P1_HIGH,HIGH,66,LOW,SURGICAL_REMEDIATION_REQUIRED,NOT_VERIFIED,NOT_VERIFIED,HIGH
https://echobuddha.com/articles/category/buddhist-wisdom/,SEO_P2_EMERGING,LOW_OR_EMERGING,50,LOW,PHASE_4_CONSOLIDATION_EVALUATION_ONLY,NOT_VERIFIED,NOT_VERIFIED,HIGH
https://echobuddha.com/articles/category/meditation/,SEO_P2_EMERGING,LOW_OR_EMERGING,49,LOW,PHASE_4_CONSOLIDATION_EVALUATION_ONLY,NOT_VERIFIED,NOT_VERIFIED,HIGH
https://echobuddha.com/articles/category/mindfulness/,SEO_P2_EMERGING,LOW_OR_EMERGING,49,LOW,PHASE_4_CONSOLIDATION_EVALUATION_ONLY,NOT_VERIFIED,NOT_VERIFIED,HIGH
https://echobuddha.com/articles/category/practice/,SEO_P2_EMERGING,LOW_OR_EMERGING,50,LOW,PHASE_4_CONSOLIDATION_EVALUATION_ONLY,NOT_VERIFIED,NOT_VERIFIED,HIGH
https://echobuddha.com/articles/category/reflection/,SEO_P2_EMERGING,LOW_OR_EMERGING,49,LOW,PHASE_4_CONSOLIDATION_EVALUATION_ONLY,NOT_VERIFIED,NOT_VERIFIED,MEDIUM
