Topic,Primary owner URL,Phase 2 primary flag,Current role,Current index state,Current sitemap,Current canonical,Duplicate owner URL?,Owner conflict?,Confidence,Evidence
Beginner Buddhism,https://echobuddha.com/learn/buddhism-for-beginners/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/learn/buddhism-for-beginners/,No,No,High,The strongest structured entry into basic Buddhist teaching and practice.
Four Noble Truths,https://echobuddha.com/learn/four-noble-truths/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/learn/four-noble-truths/,No,No,High,The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.
Noble Eightfold Path,https://echobuddha.com/learn/eightfold-path/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/learn/eightfold-path/,No,No,High,"The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice."
Karma,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,No,No,High,The lesson owns the broad Buddhist meaning; the article applies intention and consequence to daily choices.
Five Precepts,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,No,No,High,The lesson owns the ethical framework; practical articles show application without redefining it.
Three Poisons,https://echobuddha.com/articles/three-poisons-buddhism-explained/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/articles/three-poisons-buddhism-explained/,No,No,High,"It is the only substantial broad explainer of greed, aversion, and delusion."
Impermanence,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,No,No,High,The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.
Attachment / Non-Attachment / Letting Go,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,No,No,High,It most clearly distinguishes clinging from care and anchors the practical release cluster.
Compassion,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,No,No,High,"It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs."
Loving-Kindness / Metta,https://echobuddha.com/learn/buddhist-dictionary/metta/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/learn/buddhist-dictionary/metta/,No,No,High,The term page should own metta meaning while meditation pages own practices and scripts.
Equanimity,https://echobuddha.com/articles/equanimity-in-buddhism/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/articles/equanimity-in-buddhism/,No,No,High,It is the dedicated explanation of balanced care without numbness.
Right Speech,https://echobuddha.com/articles/right-speech-buddhism/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/articles/right-speech-buddhism/,No,No,High,"It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario."
Patience,https://echobuddha.com/articles/three-ways-to-practice-patience/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/articles/three-ways-to-practice-patience/,No,No,High,It is the broad practical owner; source study and recurring reflections remain narrow.
Anger,https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/articles/buddhist-approach-to-anger/,No,No,High,It is the dedicated Buddhist response-to-anger guide and can link upward to the Three Poisons.
Forgiveness,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,No,No,High,It uniquely distinguishes release from approval and protects boundaries.
Gratitude,https://echobuddha.com/articles/buddhist-gratitude-practice/,Yes,PRACTICAL_APPLICATION,indexable,in sitemap,https://echobuddha.com/articles/buddhist-gratitude-practice/,No,No,High,It is the dedicated Buddhist gratitude practice and explicitly distinguishes appreciation from forced positivity and clinging.
Dhamma / Dharma,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,No,No,High,The dictionary page owns meaning and linguistic context; the article owns the comparison question.
Sangha,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,No,No,High,It provides the fuller community explanation; the dictionary and temple guide have narrower roles.
Meditation,https://echobuddha.com/meditation/,Yes,HUB,indexable,in sitemap,https://echobuddha.com/meditation/,No,No,High,It organizes practice choices and routes readers without pretending to be every meditation method.
Breath / Mindfulness of Breathing,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Yes,PRIMARY_PILLAR,indexable,in sitemap,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,No,No,High,It owns the fuller breath-method explanation; practice and source pages keep distinct roles.
Walking Meditation,https://echobuddha.com/meditation/walking-meditation/,Yes,PRACTICE_GUIDE,indexable,in sitemap,https://echobuddha.com/meditation/walking-meditation/,No,No,High,The meditation route should own the repeatable walking practice; the article must add depth or be reviewed for consolidation.
Anxiety / Overthinking,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Yes,SCENARIO_GUIDE,indexable,in sitemap,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,No,No,High,It owns the anxiety-specific gentle practice; overthinking remains a related but distinct thought-loop scenario.
Sleep,https://echobuddha.com/articles/mindfulness-for-better-sleep/,Yes,SCENARIO_GUIDE,indexable,in sitemap,https://echobuddha.com/articles/mindfulness-for-better-sleep/,No,No,High,It is the only sleep-specific mindfulness guide and must retain wellbeing boundaries.
