"ID","Platform","Exact action","Reason","Repository status","Owner action required","Priority","Validation after action"
"O-01","GitHub","Upgrade the private repository plan or make the repository public; create a main ruleset requiring pull requests, no force push/deletion, and the exact hosted Phase 9 check names","REST API confirmed rules are unavailable on the current private-repo plan","Cannot enforce in repository","Yes","High","Query rulesets and test a failing PR"
"O-02","GitHub","Run the Phase 9 workflows on the branch once and configure Release validation and Browser and consent validation as required checks","Required-check names must match hosted jobs","Workflow files ready","Yes","High","Open a controlled PR and verify merge is blocked on failure"
"O-03","GitHub","Create production environment; restrict deployment branch to main; optionally require reviewer; add the two Cloudflare secrets","Deploy and rollback must be isolated from validation","Environment references ready","Yes","Critical before deployment","Inspect environment and perform separately authorized dry release"
"O-04","GitHub","Enable require-SHA-pinning Actions policy where available and retain read default token permission","Defense in depth against future mutable action references","All current refs pinned","Yes","Medium","Permissions API returns sha_pinning_required=true"
"O-05","GitHub","Verify dependency graph, Dependabot alerts, security updates, private vulnerability reporting, and notification recipients","API/plan did not verify every security control","Dependabot config committed","Yes","High","Dashboard screenshots/dated register without secret data"
"O-06","Cloudflare","Create or rotate a token limited to the required account and Echo Buddha Worker deployment permissions; record scope and review date without recording value","Least-privilege secret scope cannot be proven from repository","Secret names only","Yes","Critical before deployment","Owner attestation and successful authorized deployment"
"O-07","Cloudflare","Verify preview URLs, workers.dev exposure, preview noindex header, Analytics isolation, and AdSense runtime absence","Repository header intent requires live preview verification","Source noindex rule ready","Yes","Medium","Authorized preview curl/browser evidence"
"O-08","Cloudflare","Verify custom-domain routing, cache/header transformations, WAF/bot rules, and that they do not override source-controlled behavior","External edge configuration can drift independently","Production smoke detects a subset","Yes","High","Dashboard review plus production headers/smoke"
"O-09","Process","Use the deployment record template for every authorized release and retain the last-known-good version ID","Phase 10 needs SHA/time/change traceability","Template/runbook ready","Yes","High","Next release record complete"
"O-10","Process","Freeze unrelated production/index/AdSense changes during AdSense review and do not reapply in Phase 9","Avoid confounding measurement and policy review","Documented; no production mutation","Yes","High","Owner release review"
