URL,intended_state,substantive_route,title,h1,invalid_route_template,status_contract,soft_404_risk,result
https://echobuddha.com/,INDEXABLE_CANONICAL_200,YES,Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,Echo Buddha,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/404,NOINDEX_USER_PAGE_200,NO,Page Not Found | Echo Buddha,Page Not Found,YES,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/about/,INDEXABLE_CANONICAL_200,YES,About Echo Buddha | Echo Buddha,About Echo Buddha,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/,INDEXABLE_CANONICAL_200,YES,Articles and Blog | Echo Buddha,Articles and Blog,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,INDEXABLE_CANONICAL_200,YES,Daily Mindfulness Practice for Beginners | Echo Buddha,Beginning a Daily Mindfulness Practice,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,INDEXABLE_CANONICAL_200,YES,Buddhism for Beginners: A Simple Guide | Echo Buddha,Buddhism for Beginners: A Simple Guide to the Path,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,INDEXABLE_CANONICAL_200,YES,A Buddhist Approach to Anger | Echo Buddha,"A Buddhist Approach to Anger: Pause, Understand, Respond",NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,INDEXABLE_CANONICAL_200,YES,Buddhist Gratitude Practice Without Forced Positivity | Echo Buddha,Buddhist Gratitude Practice: Appreciating Life Without Clinging,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,INDEXABLE_CANONICAL_200,YES,Buddhist Teachings on Forgiveness and Letting Go | Echo Buddha,Buddhist Teachings on Forgiveness: Letting Go Without Excusing Harm,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,INDEXABLE_CANONICAL_200,YES,Buddhist Teachings on Impermanence | Echo Buddha,Buddhist Teachings on Impermanence and Change,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,INDEXABLE_CANONICAL_200,YES,Buddhist Wisdom for Overthinking and a Busy Mind | Echo Buddha,Buddhist Wisdom for Overthinking: How to Calm a Busy Mind,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/category/buddhist-wisdom/,INDEXABLE_CANONICAL_200,YES,Buddhist Wisdom Articles | Echo Buddha,Buddhist Wisdom Articles,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/category/meditation/,INDEXABLE_CANONICAL_200,YES,Meditation Articles | Echo Buddha,Meditation Articles,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/category/mindfulness/,INDEXABLE_CANONICAL_200,YES,Mindfulness Articles | Echo Buddha,Mindfulness Articles,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/category/practice/,INDEXABLE_CANONICAL_200,YES,Practice Articles | Echo Buddha,Practice Articles,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/category/reflection/,INDEXABLE_CANONICAL_200,YES,Reflection Articles | Echo Buddha,Reflection Articles,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,INDEXABLE_CANONICAL_200,YES,Compassion as a Daily Buddhist Practice | Echo Buddha,Compassion as a Daily Discipline,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,INDEXABLE_CANONICAL_200,YES,Compassion in Buddhism: Beginner Guide and Daily Practice | Echo Buddha,Compassion in Buddhism: A Beginner&#39;s Guide,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,INDEXABLE_CANONICAL_200,YES,Compassion With Boundaries in Buddhist Practice | Echo Buddha,Compassion With Boundaries,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,INDEXABLE_CANONICAL_200,YES,Create a Peaceful Meditation Corner | Echo Buddha,Creating a Peaceful Corner at Home,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,INDEXABLE_CANONICAL_200,YES,Dhamma vs Dharma: Buddhist Meaning and Spelling | Echo Buddha,Dhamma vs Dharma: What Is the Difference?,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,INDEXABLE_CANONICAL_200,YES,Dhammapada Reflection on a Trained Mind and Peace | Echo Buddha,Dhammapada Reflection: A Trained Mind Brings Peace,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,INDEXABLE_CANONICAL_200,YES,"Dhammapada What We Think: Translation, Paraphrase, Reflection | Echo Buddha","Dhammapada Reflection: What We Think, We Become",NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,INDEXABLE_CANONICAL_200,YES,Dhammapada Verse 1 Meaning and Translation Caution | Echo Buddha,Dhammapada Verse 1 Meaning and Translation Caution,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,INDEXABLE_CANONICAL_200,YES,Eightfold Path in Daily Life | Echo Buddha,The Noble Eightfold Path Explained for Daily Life,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/eightfold-path-explained/,INDEXABLE_CANONICAL_200,YES,The Noble Eightfold Path Explained for Beginners | Echo Buddha,The Noble Eightfold Path Explained for Beginners,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/equanimity-in-buddhism/,INDEXABLE_CANONICAL_200,YES,Equanimity in Buddhism: Balanced Care Without Numbness | Echo Buddha,Equanimity in Buddhism: Calm Without Indifference,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,INDEXABLE_CANONICAL_200,YES,First Week Buddhist Practice for Beginners | Echo Buddha,First Week Buddhist Practice for Beginners,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/five-precepts-in-daily-life/,INDEXABLE_CANONICAL_200,YES,Five Precepts in Daily Life: Buddhist Ethics for Beginners | Echo Buddha,The Five Precepts in Daily Life: A Beginner&#39;s Guide to Buddhist Ethics,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,INDEXABLE_CANONICAL_200,YES,Four Noble Truths Explained Simply for Beginners | Echo Buddha,The Four Noble Truths Explained Simply,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/four-noble-truths-explained/,INDEXABLE_CANONICAL_200,YES,The Four Noble Truths Explained Simply | Echo Buddha,The Four Noble Truths Explained in Simple Everyday Language,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,INDEXABLE_CANONICAL_200,YES,How to Let Go of Attachment in Buddhism | Echo Buddha,How to Let Go of Attachment in Buddhism,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,INDEXABLE_CANONICAL_200,YES,How to Meditate for Anxiety Gently | Echo Buddha,How to Meditate for Anxiety Without Fighting Your Mind,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/how-to-meditate-for-beginners/,INDEXABLE_CANONICAL_200,YES,How to Meditate for Beginners: Simple Buddhist Guide | Echo Buddha,How to Meditate for Beginners: A Simple Buddhist Guide,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,INDEXABLE_CANONICAL_200,YES,Impermanence in Buddhism and How to Let Go Gently | Echo Buddha,Impermanence in Buddhism: Learning to Let Go Gently,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,INDEXABLE_CANONICAL_200,YES,Impermanence in Buddhism: Accepting Change Peacefully | Echo Buddha,Impermanence in Buddhism: Learning to Accept Change Peacefully,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,INDEXABLE_CANONICAL_200,YES,Loving-Kindness Meditation for Beginners | Echo Buddha,Loving-Kindness Meditation for Beginners,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/loving-kindness-meditation-guide/,INDEXABLE_CANONICAL_200,YES,Loving-Kindness Meditation Guide for Beginners | Echo Buddha,Loving-Kindness Meditation: A Gentle Practice Guide,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/metta-meditation-script/,INDEXABLE_CANONICAL_200,YES,Metta Meditation Script for Loving-Kindness Practice | Echo Buddha,Metta Meditation Script: A Loving-Kindness Practice for Yourself and Others,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,INDEXABLE_CANONICAL_200,YES,Mindful Email and Texting with Buddhist Right Speech | Echo Buddha,Mindful Email and Texting,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,INDEXABLE_CANONICAL_200,YES,Mindful Listening in Everyday Life | Echo Buddha,Mindful Listening in Everyday Life,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/mindfulness-for-better-sleep/,INDEXABLE_CANONICAL_200,YES,Mindfulness for Better Sleep | Echo Buddha,Mindfulness for Better Sleep: A Gentle Evening Practice,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/mindfulness-morning-routine/,INDEXABLE_CANONICAL_200,YES,Mindful Morning Routine for Beginners | Echo Buddha,A Mindful Morning Routine for a Calmer Day,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,INDEXABLE_CANONICAL_200,YES,Mindfulness of Breathing Guide for Calm and Clarity | Echo Buddha,Mindfulness of Breathing: A Step-by-Step Guide,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/mindfulness-vs-meditation/,INDEXABLE_CANONICAL_200,YES,Mindfulness vs Meditation: Simple Beginner Guide | Echo Buddha,Mindfulness vs Meditation: What Is the Difference for Beginners?,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,INDEXABLE_CANONICAL_200,YES,Noble Eightfold Path Practical Guide for Daily Life | Echo Buddha,The Noble Eightfold Path: A Practical Guide for Daily Life,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/non-attachment-in-relationships/,INDEXABLE_CANONICAL_200,YES,Non-Attachment in Relationships Without Becoming Cold | Echo Buddha,Non-Attachment in Relationships,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/right-livelihood-modern-life/,INDEXABLE_CANONICAL_200,YES,Right Livelihood in Modern Life: Buddhist Work Ethics | Echo Buddha,Right Livelihood in Modern Life: Buddhist Work Ethics Without Perfectionism,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/right-speech-buddhism/,INDEXABLE_CANONICAL_200,YES,"Right Speech in Buddhism: Meaning, Examples, and Practice | Echo Buddha",Right Speech in Buddhism: How to Speak with Kindness and Awareness,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/right-speech-examples/,INDEXABLE_CANONICAL_200,YES,Right Speech Examples for Everyday Life | Echo Buddha,Right Speech Examples for Everyday Life,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/three-poisons-buddhism-explained/,INDEXABLE_CANONICAL_200,YES,"Three Poisons in Buddhism: Greed, Aversion, and Delusion | Echo Buddha","The Three Poisons in Buddhism: Greed, Hatred, and Delusion Explained",NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/three-ways-to-practice-patience/,INDEXABLE_CANONICAL_200,YES,Three Ways to Practice Patience | Echo Buddha,Three Ways to Practice Patience,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,INDEXABLE_CANONICAL_200,YES,Visiting a Buddhist Temple Respectfully: Beginner Guide | Echo Buddha,Visiting a Buddhist Temple Respectfully,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/walking-meditation-step-by-step/,INDEXABLE_CANONICAL_200,YES,Walking Meditation: Step-by-Step Guide | Echo Buddha,Walking Meditation: A Step-by-Step Beginner&#39;s Guide,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,INDEXABLE_CANONICAL_200,YES,What Is Buddhism? Beginner Guide to Buddhist Wisdom | Echo Buddha,What Is Buddhism? A Beginner-Friendly Guide,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/what-is-karma-in-buddhism/,INDEXABLE_CANONICAL_200,YES,How Karma Shapes Daily Choices in Buddhist Practice | Echo Buddha,How Karma Shapes Daily Choices in Buddhist Practice,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,INDEXABLE_CANONICAL_200,YES,What Is Sangha? Buddhist Community for Beginners | Echo Buddha,What Is Sangha? Why Buddhist Community Matters for Beginners,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/authors/echo-buddha-editorial/,INDEXABLE_CANONICAL_200,YES,Echo Buddha Editorial | Echo Buddha,Echo Buddha Editorial,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/buddhist-sources-and-citations/,INDEXABLE_CANONICAL_200,YES,Buddhist Sources and Citations | Echo Buddha,Buddhist Sources and Citations,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/contact/,INDEXABLE_CANONICAL_200,YES,Contact | Echo Buddha,Contact Echo Buddha,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/corrections/,INDEXABLE_CANONICAL_200,YES,Corrections and Editorial Updates | Echo Buddha,Corrections and Editorial Updates,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/,INDEXABLE_CANONICAL_200,YES,Daily Buddhist Reflections for Mindful Living | Echo Buddha,Daily Buddhist Reflections for Mindful Living,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/anger-as-a-signal/,NOINDEX_USER_PAGE_200,YES,Anger Can Become a Signal - Daily Buddhist Reflection | Echo Buddha,Anger Can Become a Signal,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/begin-again-without-shame/,NOINDEX_USER_PAGE_200,YES,Begin Again Without Shame - Daily Buddhist Reflection | Echo Buddha,Begin Again Without Shame,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,NOINDEX_USER_PAGE_200,YES,Compassion Begins Nearby - Daily Buddhist Reflection | Echo Buddha,Compassion Begins Nearby,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/enough-for-this-moment/,NOINDEX_USER_PAGE_200,YES,Enough for This Moment - Daily Buddhist Reflection | Echo Buddha,Enough for This Moment,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/evening-release/,NOINDEX_USER_PAGE_200,YES,End the Day by Releasing - Daily Buddhist Reflection | Echo Buddha,End the Day by Releasing,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/family-patience/,NOINDEX_USER_PAGE_200,YES,Patience at Home - Daily Buddhist Reflection | Echo Buddha,Patience at Home,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,NOINDEX_USER_PAGE_200,YES,Forgiveness Is Not Approval - Daily Buddhist Reflection | Echo Buddha,Forgiveness Is Not Approval,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/gratitude-for-change/,NOINDEX_USER_PAGE_200,YES,Gratitude for Change - Daily Buddhist Reflection | Echo Buddha,Gratitude for Change,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,NOINDEX_USER_PAGE_200,YES,Gratitude Notices Enough - Daily Buddhist Reflection | Echo Buddha,Gratitude Notices Enough,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,NOINDEX_USER_PAGE_200,YES,Impermanence Softens Clinging - Daily Buddhist Reflection | Echo Buddha,Impermanence Softens Clinging,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,NOINDEX_USER_PAGE_200,YES,Kindness Can Have Boundaries - Daily Buddhist Reflection | Echo Buddha,Kindness Can Have Boundaries,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,NOINDEX_USER_PAGE_200,YES,Let the Feeling Pass Through - Daily Buddhist Reflection | Echo Buddha,Let the Feeling Pass Through,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,NOINDEX_USER_PAGE_200,YES,Letting Go Keeps the Care - Daily Buddhist Reflection | Echo Buddha,Letting Go Keeps the Care,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/listen-before-answering/,NOINDEX_USER_PAGE_200,YES,Listen Before Answering - Daily Buddhist Reflection | Echo Buddha,Listen Before Answering,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,NOINDEX_USER_PAGE_200,YES,Metta Without Pretending - Daily Buddhist Reflection | Echo Buddha,Metta Without Pretending,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/mindful-work/,NOINDEX_USER_PAGE_200,YES,Work Can Carry Practice - Daily Buddhist Reflection | Echo Buddha,Work Can Carry Practice,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/morning-intention/,NOINDEX_USER_PAGE_200,YES,Begin With Intention - Daily Buddhist Reflection | Echo Buddha,Begin With Intention,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/notice-before-fixing/,NOINDEX_USER_PAGE_200,YES,Notice Before Fixing - Daily Buddhist Reflection | Echo Buddha,Notice Before Fixing,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/one-honest-breath/,NOINDEX_USER_PAGE_200,YES,Return Through One Honest Breath - Daily Buddhist Reflection | Echo Buddha,Return Through One Honest Breath,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/one-step-on-the-path/,NOINDEX_USER_PAGE_200,YES,The Path Is One Step - Daily Buddhist Reflection | Echo Buddha,The Path Is One Step,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,NOINDEX_USER_PAGE_200,YES,Patience Begins Before Anger Speaks - Daily Buddhist Reflection | Echo Buddha,Patience Begins Before Anger Speaks,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/rest-without-escape/,NOINDEX_USER_PAGE_200,YES,Rest Without Escape - Daily Buddhist Reflection | Echo Buddha,Rest Without Escape,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/see-the-conditions/,NOINDEX_USER_PAGE_200,YES,See the Conditions - Daily Buddhist Reflection | Echo Buddha,See the Conditions,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/simple-goodwill/,NOINDEX_USER_PAGE_200,YES,Simple Goodwill Counts - Daily Buddhist Reflection | Echo Buddha,Simple Goodwill Counts,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,NOINDEX_USER_PAGE_200,YES,Small Actions Shape the Mind - Daily Buddhist Reflection | Echo Buddha,Small Actions Shape the Mind,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,NOINDEX_USER_PAGE_200,YES,Soften the Inner Argument - Daily Buddhist Reflection | Echo Buddha,Soften the Inner Argument,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,NOINDEX_USER_PAGE_200,YES,Speech Can Reduce Suffering - Daily Buddhist Reflection | Echo Buddha,Speech Can Reduce Suffering,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,NOINDEX_USER_PAGE_200,YES,The First Truth Is Kind - Daily Buddhist Reflection | Echo Buddha,The First Truth Is Kind,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,NOINDEX_USER_PAGE_200,YES,Thoughts Are Visitors - Daily Buddhist Reflection | Echo Buddha,Thoughts Are Visitors,NO,200,NO_UNLINKED_NOINDEX_ERROR_SHELL,PASS
