URL,Page family,Index state,Canonical,In sitemap,Robots meta,Issue,Action,Validation
/,Homepage,indexable,https://echobuddha.com/,Yes,"implicit index, follow",None,Preserve Phase 3 state,PASS
/404.html,Error,"noindex, follow",,No,"noindex, follow",None,Preserve Phase 3 state,PASS
/about/,Trust/policy,indexable,https://echobuddha.com/about/,Yes,"implicit index, follow",None,Preserve Phase 3 state,PASS
/articles/,Article hub,indexable,https://echobuddha.com/articles/,Yes,"implicit index, follow",None,Preserve Phase 3 state,PASS
/articles/beginning-a-daily-mindfulness-practice/,Article detail,indexable,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Yes,"implicit index, follow",None,Preserve Phase 3 state,PASS
/articles/buddhism-for-beginners-simple-guide/,Article detail,indexable,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Yes,"implicit index, follow",None,Preserve Phase 3 state,PASS
/articles/buddhist-approach-to-anger/,Article detail,indexable,https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,"implicit index, follow",None,Preserve Phase 3 state,PASS
/articles/buddhist-gratitude-practice/,Article detail,indexable,https://echobuddha.com/articles/buddhist-gratitude-practice/,Yes,"implicit index, follow",None,Preserve Phase 3 state,PASS
/articles/buddhist-teachings-on-forgiveness/,Article detail,indexable,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Yes,"implicit index, follow",None,Preserve Phase 3 state,PASS
/articles/buddhist-teachings-on-impermanence/,Article detail,indexable,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Yes,"implicit index, follow",None,Preserve Phase 3 state,PASS
/articles/buddhist-wisdom-for-overthinking/,Article detail,indexable,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Yes,"implicit index, follow",None,Preserve Phase 3 state,PASS
/articles/category/buddhist-wisdom/,Article category,indexable,https://echobuddha.com/articles/category/buddhist-wisdom/,Yes,"implicit index, follow",None,Preserve Phase 3 state,PASS
/articles/category/meditation/,Article category,indexable,https://echobuddha.com/articles/category/meditation/,Yes,"implicit index, follow",None,Preserve Phase 3 state,PASS
/articles/category/mindfulness/,Article category,indexable,https://echobuddha.com/articles/category/mindfulness/,Yes,"implicit index, follow",None,Preserve Phase 3 state,PASS
/articles/category/practice/,Article category,indexable,https://echobuddha.com/articles/category/practice/,Yes,"implicit index, follow",None,Preserve Phase 3 state,PASS
