queue,URL,page_family,value_score,SEO_equity_level,rationale
D_HIGH_INTERNAL_OVERLAP,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,58,LOW,Similarity and/or owner-support evidence requires Phase 4 consolidation analysis.
E_WEAK_INDEPENDENT_PURPOSE,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,58,LOW,Independent purpose raw score ≤2.
H_TRUST_SOURCING_GAP,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,58,LOW,Editorial/source review required.
D_HIGH_INTERNAL_OVERLAP,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,ARTICLE,60,LIMITED,Similarity and/or owner-support evidence requires Phase 4 consolidation analysis.
E_WEAK_INDEPENDENT_PURPOSE,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,ARTICLE,60,LIMITED,Independent purpose raw score ≤2.
B_STRONG_CONTENT_WEAK_SEARCH,https://echobuddha.com/articles/buddhist-approach-to-anger/,ARTICLE,70,LIMITED,Strong value with limited Search evidence; do not prematurely remove.
D_HIGH_INTERNAL_OVERLAP,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,ARTICLE,63,LIMITED,Similarity and/or owner-support evidence requires Phase 4 consolidation analysis.
E_WEAK_INDEPENDENT_PURPOSE,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,ARTICLE,63,LIMITED,Independent purpose raw score ≤2.
D_HIGH_INTERNAL_OVERLAP,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,ARTICLE,66,LIMITED,Similarity and/or owner-support evidence requires Phase 4 consolidation analysis.
H_TRUST_SOURCING_GAP,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,ARTICLE,66,LIMITED,Editorial/source review required.
D_HIGH_INTERNAL_OVERLAP,https://echobuddha.com/articles/category/buddhist-wisdom/,ARTICLE_CATEGORY,50,LIMITED,Similarity and/or owner-support evidence requires Phase 4 consolidation analysis.
G_TEMPLATE_RISK,https://echobuddha.com/articles/category/buddhist-wisdom/,ARTICLE_CATEGORY,50,LIMITED,Repeated-template/boilerplate structural remediation input.
D_HIGH_INTERNAL_OVERLAP,https://echobuddha.com/articles/category/meditation/,ARTICLE_CATEGORY,49,LIMITED,Similarity and/or owner-support evidence requires Phase 4 consolidation analysis.
