family,current_routes,NEVER_MONETIZE,ELIGIBLE_CANDIDATE,HOLD_MANUAL_REVIEW,family_default,rationale
ARTICLE,48,0,7,41,HOLD_MANUAL_REVIEW,only seven individually evidenced Phase 6 upgrades are candidates
ARTICLE_NAVIGATION,6,6,0,0,NEVER_MONETIZE,conservative exclusion; no family-wide inheritance
DAILY_REFLECTION,32,32,0,0,NEVER_MONETIZE,conservative exclusion; no family-wide inheritance
DICTIONARY,15,15,0,0,NEVER_MONETIZE,conservative exclusion; no family-wide inheritance
ERROR,1,1,0,0,NEVER_MONETIZE,conservative exclusion; no family-wide inheritance
HOME,1,1,0,0,NEVER_MONETIZE,conservative exclusion; no family-wide inheritance
LEARN_DETAIL,35,0,0,35,HOLD_MANUAL_REVIEW,substantive but no page approved in Phase 10
LEARN_NAVIGATION,6,6,0,0,NEVER_MONETIZE,conservative exclusion; no family-wide inheritance
LEGAL,3,3,0,0,NEVER_MONETIZE,conservative exclusion; no family-wide inheritance
MEDITATION,10,10,0,0,NEVER_MONETIZE,conservative exclusion; no family-wide inheritance
OTHER,3,3,0,0,NEVER_MONETIZE,conservative exclusion; no family-wide inheritance
QUOTE,164,164,0,0,NEVER_MONETIZE,conservative exclusion; no family-wide inheritance
TRUST,8,8,0,0,NEVER_MONETIZE,conservative exclusion; no family-wide inheritance
UTILITY,3,3,0,0,NEVER_MONETIZE,conservative exclusion; no family-wide inheritance
