URL,Variant,Current index state,Sitemap state,Approx word count,Heading count,External source links,Nearest comparable page,Combined overlap,Primary recommendation,Priority,Evidence
https://echobuddha.com/articles/buddhist-approach-to-anger/,,indexable,in sitemap,1258,28,1,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,39.7,IMPROVE,P3,Built 2026-08-11T02:17:46.273Z; 1258 words; 28 content headings; authored route; nearest /articles/compassion-as-a-daily-discipline/ combined overlap 39.7%; external source links 1
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,,indexable,in sitemap,1367,27,1,https://echobuddha.com/articles/non-attachment-in-relationships/,34.3,KEEP,P3,Built 2026-08-11T02:17:46.273Z; 1367 words; 27 content headings; authored route; nearest /articles/non-attachment-in-relationships/ combined overlap 34.3%; external source links 1
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,,indexable,in sitemap,1366,26,0,https://echobuddha.com/articles/mindfulness-for-better-sleep/,36.0,HUMAN REVIEW,OWNER / EXPERT REVIEW,Built 2026-08-11T02:17:46.273Z; 1366 words; 26 content headings; authored route; nearest /articles/mindfulness-for-better-sleep/ combined overlap 36.0%; external source links 0
https://echobuddha.com/articles/compassion-with-boundaries/,,indexable,in sitemap,735,20,2,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,42.0,IMPROVE,P3,Built 2026-08-11T02:17:46.273Z; 735 words; 20 content headings; authored route; nearest /articles/compassion-in-buddhism-beginner-guide/ combined overlap 42.0%; external source links 2
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,,indexable,in sitemap,1410,28,1,https://echobuddha.com/articles/mindfulness-for-better-sleep/,43.5,HUMAN REVIEW,OWNER / EXPERT REVIEW,Built 2026-08-11T02:17:46.273Z; 1410 words; 28 content headings; authored route; nearest /articles/mindfulness-for-better-sleep/ combined overlap 43.5%; external source links 1
https://echobuddha.com/articles/mindfulness-for-better-sleep/,,indexable,in sitemap,1277,28,1,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,43.5,HUMAN REVIEW,OWNER / EXPERT REVIEW,Built 2026-08-11T02:17:46.273Z; 1277 words; 28 content headings; authored route; nearest /articles/how-to-meditate-for-anxiety/ combined overlap 43.5%; external source links 1
https://echobuddha.com/daily-reflections/anger-as-a-signal/,,indexable,in sitemap,310,12,0,https://echobuddha.com/daily-reflections/kindness-with-boundaries/,73.7,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 310 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 73.7%; external source links 0
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,,indexable,in sitemap,303,12,0,https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,75.8,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 303 words; 12 content headings; authored route; nearest /daily-reflections/metta-for-a-difficult-person/ combined overlap 75.8%; external source links 0
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,,indexable,in sitemap,302,12,0,https://echobuddha.com/daily-reflections/rest-without-escape/,76.0,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 302 words; 12 content headings; authored route; nearest /daily-reflections/rest-without-escape/ combined overlap 76.0%; external source links 0
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,,indexable,in sitemap,333,12,0,https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,72.9,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 333 words; 12 content headings; authored route; nearest /daily-reflections/speech-can-reduce-suffering/ combined overlap 72.9%; external source links 0
https://echobuddha.com/meditation/10-minute-meditation-practice/,,indexable,in sitemap,462,11,3,https://echobuddha.com/meditation/when-meditation-feels-hard/,49.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 462 words; 11 content headings; authored route; nearest /meditation/when-meditation-feels-hard/ combined overlap 49.3%; external source links 3
https://echobuddha.com/meditation/5-minute-meditation-practice/,,indexable,in sitemap,373,14,1,https://echobuddha.com/meditation/breathing-meditation/,64.6,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 373 words; 14 content headings; authored route; nearest /meditation/breathing-meditation/ combined overlap 64.6%; external source links 1
https://echobuddha.com/meditation/breathing-meditation/,,indexable,in sitemap,392,14,1,https://echobuddha.com/meditation/loving-kindness-meditation/,66.8,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 392 words; 14 content headings; authored route; nearest /meditation/loving-kindness-meditation/ combined overlap 66.8%; external source links 1
