Date,Clicks,Impressions,CTR,Position
2026-07-15,2,21,9.52%,62.1
2026-07-16,0,52,0%,75.1
2026-07-17,0,37,0%,64.9
2026-07-18,0,44,0%,55.5
2026-07-19,0,21,0%,62.4
2026-07-20,0,72,0%,57.4
2026-07-21,1,105,0.95%,56.9
2026-07-22,0,19,0%,48.9
2026-07-23,0,17,0%,39.5
2026-07-24,0,13,0%,35.8
2026-07-25,0,36,0%,44.6
2026-07-26,1,29,3.45%,40
2026-07-27,0,19,0%,43.4
2026-07-28,0,33,0%,40.2
2026-07-29,0,18,0%,35
2026-07-30,0,34,0%,23.1
2026-07-31,0,54,0%,31.8
2026-08-01,1,36,2.78%,28.6
2026-08-02,1,44,2.27%,17
2026-08-03,0,39,0%,17.8
2026-08-04,3,40,7.5%,12.8
2026-08-05,0,47,0%,21.1
2026-08-06,0,45,0%,18.6
2026-08-07,1,58,1.72%,13.5
2026-08-08,1,84,1.19%,15
2026-08-09,0,116,0%,18
2026-08-10,2,135,1.48%,18.6
2026-08-11,2,107,1.87%,13.9
