articleA,articleB,urlA,urlB,editorialOverlap,samePrimaryCluster,sharedClusters,metadataSimilarity,overallBodySimilarity,bodyCosine,bodyJaccard,introductionSimilarity,headingSequenceSimilarity,articleStructureSimilarity,faqSimilarity,conclusionSimilarity,examplesSimilarity,exercisesSimilarity,ngram5Overlap,exactDuplicatedSentenceCount,nearDuplicatedParagraphCount,sharedPracticeLanguage,sharedConclusionLanguage,overlapCausedByNecessaryDoctrine,overlapCausedByAvoidableGenericProse
what-is-buddhism-beginner-guide,what-is-buddhism-beginner-guide,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,Self,true,Beginner Buddhism,1,1,1,1,1,1,1,1,1,1,1,1,55,0,true,true,false,false
what-is-buddhism-beginner-guide,four-noble-truths-explained-simply,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/four-noble-truths-explained-simply/,Low,false,,0.223,0.217,0.489,0.218,0.102,0.052,1,0.309,0,0,0.376,0.001,0,0,true,false,false,false
what-is-buddhism-beginner-guide,noble-eightfold-path-practical-guide,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,Low,false,,0.294,0.2,0.427,0.222,0.185,0.039,0.4,0.178,0,0.111,0.405,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,impermanence-in-buddhism-letting-go,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,Low,false,,0.417,0.181,0.372,0.213,0.107,0.125,0.4,0.155,0,0.076,0.277,0,0,0,false,false,false,false
what-is-buddhism-beginner-guide,compassion-in-buddhism-beginner-guide,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Low,false,,0.552,0.193,0.338,0.215,0.154,0.103,0.4,0.375,0,0.022,0.412,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,how-to-meditate-for-beginners,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/how-to-meditate-for-beginners/,Low,false,,0.349,0.157,0.353,0.182,0.128,0.037,0.4,0.08,0,0.155,0.371,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,mindfulness-of-breathing-guide,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Low,false,,0.161,0.159,0.351,0.189,0.038,0.127,0.4,0.12,0,0.115,0.394,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,loving-kindness-meditation-guide,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/loving-kindness-meditation-guide/,Low,false,,0.191,0.128,0.264,0.175,0.028,0.108,0.4,0.11,0,0,0.306,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,dhammapada-reflection-what-we-think,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Low,false,,0.09,0.197,0.378,0.214,0.204,0.104,0.4,0.19,0,0.053,0.392,0.002,0,0,true,false,false,false
what-is-buddhism-beginner-guide,dhammapada-reflection-trained-mind,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Low,false,,0.053,0.199,0.446,0.204,0.107,0.06,0.4,0.24,0,0.078,0.468,0.002,0,0,true,false,false,false
