query_cluster,baseline_clicks,baseline_impressions,baseline_ctr,baseline_position,top_baseline_queries,top_baseline_pages,change_status,decision_category,notes
Dhammapada Attribution,0,12,0.00%,8.33,"""what we think, we become"" dhammapada translation (8 imp) | ""what we think, we become"" buddha attribution source (2 imp) | ""what we think, we become"" dhammapada verse 1 translation (2 imp)",/articles/dhammapada-reflection-what-we-think/ (17 imp) | /learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/ (2 imp) | /learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/ (2 imp) | /articles/dhammapada-reflection-trained-mind/ (1 imp) | /learn/dhammapada-reflections/ (1 imp),baseline only,Observe only,Compare after 14-28 days of post-deployment data before acting.
Dhamma / Dharma,0,101,0.00%,56.13,dhamma (19 imp) | dhamma buddhism (17 imp) | what is the dhamma in buddhism (8 imp) | dhamma meaning (6 imp) | what is the dhamma (5 imp),/learn/buddhist-dictionary/dhamma/ (108 imp),baseline only,Observe only,Compare after 14-28 days of post-deployment data before acting.
Sangha,0,71,0.00%,81.82,sangha (19 imp) | sangha meaning (6 imp) | what is the sangha (5 imp) | what is sangha in buddhism (5 imp) | sangha definition (4 imp),/articles/what-is-sangha-buddhist-community/ (72 imp) | /learn/buddhist-dictionary/sangha/ (3 imp),baseline only,Observe only,Compare after 14-28 days of post-deployment data before acting.
Beginner Buddhism,0,40,0.00%,52.45,buddhism for beginners (34 imp) | how to practice buddhism for beginners (4 imp) | beginner buddhism (1 imp) | practicing buddhism for beginners (1 imp),/learn/buddhism-for-beginners/ (70 imp) | /articles/buddhism-for-beginners-simple-guide/ (4 imp),baseline only,Observe only,Compare after 14-28 days of post-deployment data before acting.
Letting Go / Attachment,1,42,2.38%,34.81,buddhism letting go quotes (6 imp) | buddhist sayings about letting go (4 imp) | buddha quotes letting go (4 imp) | buddha quotes on letting go (4 imp) | buddhist quotes on letting go (3 imp),/quotes/letting-go/ (73 imp) | /articles/how-to-let-go-of-attachment-in-buddhism/ (7 imp) | /quotes/letting-go/what-leaves-your-life-may-still-leave-wisdom-behind/ (3 imp) | /quotes/letting-go/you-do-not-need-to-carry-every-thought-that/ (3 imp) | /articles/impermanence-in-buddhism-letting-go/ (2 imp),baseline only,Observe only,Compare after 14-28 days of post-deployment data before acting.
Patience / Right Speech,0,73,0.00%,48.78,buddha quotes patience (6 imp) | buddha patience (5 imp) | right speech (5 imp) | patience quotes buddha (4 imp) | buddha quotes on patience (4 imp),/quotes/patience/ (85 imp) | /articles/right-speech-buddhism/ (72 imp) | /articles/three-ways-to-practice-patience/ (10 imp) | /learn/sutta-for-daily-life/buddhas-teaching-on-patience/ (4 imp) | /quotes/patience/when-anger-rises-pause-long-enough-to-see-the/ (4 imp),baseline only,Observe only,Compare after 14-28 days of post-deployment data before acting.
Buddhist Foundations,0,18,0.00%,81.67,five precepts (5 imp) | the five precepts (3 imp) | how to follow the eightfold path (2 imp) | five precepts of buddhism (2 imp) | eightfold path steps (1 imp),/articles/five-precepts-in-daily-life/ (60 imp) | /articles/noble-eightfold-path-practical-guide/ (9 imp) | /learn/eightfold-path/ (7 imp) | /learn/buddhism-101/five-precepts-buddhism/ (5 imp) | /learn/buddhism-101/the-four-noble-truths-explained/ (3 imp),baseline only,Observe only,Compare after 14-28 days of post-deployment data before acting.
Meditation Practice,0,4,0.00%,51.50,quotes on meditation by buddha (2 imp) | quotes about meditation buddha (1 imp) | how to do a walking meditation (1 imp),/quotes/meditation/ (10 imp) | /meditation-guide/ (7 imp) | /meditation/breathing-meditation/ (3 imp) | /articles/walking-meditation-step-by-step/ (3 imp) | /quotes/meditation/when-stillness-feels-impossible-begin-by-noticing-the-restlessness/ (2 imp),baseline only,Observe only,Compare after 14-28 days of post-deployment data before acting.
Mindful Living,0,48,0.00%,51.85,buddha quotes compassion (5 imp) | compassion buddhism (5 imp) | compassion quotes buddha (4 imp) | mindfulness quotes buddha (3 imp) | buddhist compassion (3 imp),/quotes/compassion/ (46 imp) | /articles/compassion-in-buddhism-beginner-guide/ (22 imp) | /quotes/mindfulness/ (12 imp) | /quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/ (5 imp) | /quotes/compassion/loving-kindness-without-harm/ (3 imp),baseline only,Observe only,Compare after 14-28 days of post-deployment data before acting.
Dictionary Terms,0,21,0.00%,79.52,what do buddhists believe about karma (5 imp) | buddhism metta (3 imp) | dukkha (2 imp) | definition of karma in buddhism (2 imp) | metta buddhist (1 imp),/learn/buddhist-dictionary/sati/ (1 imp) | /learn/buddhist-dictionary/dhamma/ (108 imp) | /learn/buddhist-dictionary/metta/ (9 imp) | /learn/buddhist-dictionary/ (9 imp) | /learn/buddhist-dictionary/dukkha/ (6 imp),baseline only,Observe only,Compare after 14-28 days of post-deployment data before acting.
Quotes,0,6,0.00%,43.83,let go quotes buddha (4 imp) | let it go buddha quotes (1 imp) | quotes about impermanence (1 imp),/quotes/letting-go/ (73 imp) | /quotes/patience/ (85 imp) | /quotes/compassion/ (46 imp) | /quotes/ (14 imp) | /quotes/awareness/ (14 imp),baseline only,Observe only,Compare after 14-28 days of post-deployment data before acting.
Trust / Policy / Brand,0,1,0.00%,79.00,buddhism resources (1 imp),/editorial-policy/ (2 imp),baseline only,Observe only,Compare after 14-28 days of post-deployment data before acting.
