article_a,article_b,before_overlap,after_overlap,before_overall,after_overall,overall_delta,before_intro,after_intro,before_heading,after_heading,before_faq,after_faq,before_exact_duplicate_sentences,after_exact_duplicate_sentences,before_near_duplicate_paragraphs,after_near_duplicate_paragraphs
how-to-practice-non-attachment,letting-go-without-giving-up,Medium,Medium,0.294,0.271,-0.023,0.211,0.132,0.237,0.237,0.29,0.208,0,0,0,0
mindfulness-vs-meditation,beginning-a-daily-mindfulness-practice,Medium,Medium,0.28,0.256,-0.024,0.215,0.199,0.07,0.07,0.44,0.251,0,0,0,0
how-to-let-go-of-attachment-in-buddhism,how-to-practice-non-attachment,Low,Low,0.266,0.257,-0.009,0.242,0.224,0.059,0.059,0.383,0.286,0,0,0,0
beginning-a-daily-mindfulness-practice,mindfulness-morning-routine,Medium,Low,0.265,0.25,-0.015,0.047,0.099,0.269,0.269,0.521,0.283,0,0,0,0
walking-meditation-step-by-step,how-to-meditate-for-anxiety,Low,Low,0.259,0.268,0.009,0.098,0.158,0.237,0.237,0.317,0.315,0,0,0,0
mindfulness-of-breathing-guide,mindfulness-vs-meditation,Low,Low,0.256,0.236,-0.02,0.322,0.206,0.067,0.067,0.315,0.293,0,0,0,0
mindfulness-vs-meditation,how-to-meditate-for-anxiety,Low,Low,0.25,0.225,-0.025,0.105,0.056,0.052,0.052,0.392,0.247,0,0,0,0
how-to-meditate-for-anxiety,mindfulness-for-better-sleep,Low,Low,0.25,0.248,-0.002,0.062,0.053,0.27,0.27,0.297,0.283,0,0,0,0
how-to-meditate-for-beginners,mindfulness-vs-meditation,Low,Low,0.248,0.225,-0.023,0.267,0.257,0.052,0.052,0.228,0.09,0,0,0,0
how-to-let-go-of-attachment-in-buddhism,letting-go-without-giving-up,Low,Low,0.247,0.243,-0.004,0.225,0.214,0.037,0.037,0.379,0.364,0,0,0,0
mindfulness-vs-meditation,walking-meditation-step-by-step,Low,Low,0.246,0.232,-0.014,0.261,0.255,0.062,0.062,0.412,0.333,0,0,0,0
beginning-a-daily-mindfulness-practice,how-to-meditate-for-anxiety,Low,Low,0.244,0.225,-0.019,0.021,0.018,0.264,0.264,0.367,0.197,0,0,0,0
how-to-meditate-for-beginners,mindfulness-of-breathing-guide,Low,Low,0.235,0.224,-0.011,0.155,0.114,0.068,0.068,0.212,0.263,0,0,0,0
mindfulness-of-breathing-guide,beginning-a-daily-mindfulness-practice,Low,Low,0.234,0.202,-0.032,0.209,0.163,0.038,0.038,0.393,0.238,0,0,0,0
mindfulness-of-breathing-guide,how-to-meditate-for-anxiety,Low,Low,0.229,0.231,0.002,0.164,0.187,0.031,0.031,0.313,0.314,0,0,0,0
how-to-meditate-for-beginners,beginning-a-daily-mindfulness-practice,Low,Low,0.228,0.207,-0.021,0.081,0.114,0.062,0.062,0.363,0.15,0,0,0,0
beginning-a-daily-mindfulness-practice,mindfulness-for-better-sleep,Low,Low,0.228,0.211,-0.017,0.094,0.092,0.256,0.256,0.397,0.242,0,0,0,0
walking-meditation-step-by-step,beginning-a-daily-mindfulness-practice,Low,Low,0.219,0.22,0.001,0.068,0.11,0.285,0.285,0.187,0.192,0,0,0,0
mindfulness-vs-meditation,mindfulness-for-better-sleep,Low,Low,0.216,0.211,-0.005,0.156,0.151,0.039,0.039,0.354,0.363,0,0,0,0
mindfulness-vs-meditation,mindfulness-morning-routine,Low,Low,0.214,0.203,-0.011,0.09,0.088,0.045,0.045,0.295,0.204,0,0,0,0
mindfulness-morning-routine,mindfulness-for-better-sleep,Low,Low,0.214,0.215,0.001,0.022,0.02,0.265,0.265,0.234,0.228,0,0,0,0
how-to-let-go-of-attachment-in-buddhism,impermanence-in-buddhism-letting-go,Low,Low,0.211,0.213,0.002,0.15,0.145,0.097,0.097,0.209,0.206,0,0,0,0
mindfulness-morning-routine,how-to-meditate-for-anxiety,Low,Low,0.21,0.207,-0.003,0.061,0.057,0.245,0.245,0.277,0.266,0,0,0,0
how-to-meditate-for-beginners,how-to-meditate-for-anxiety,Low,Low,0.208,0.201,-0.007,0.07,0.078,0.03,0.03,0.315,0.284,0,0,0,0
how-to-practice-non-attachment,impermanence-in-buddhism-letting-go,Low,Low,0.208,0.208,0,0.159,0.15,0.058,0.058,0.267,0.26,0,0,0,0
walking-meditation-step-by-step,mindfulness-morning-routine,Low,Low,0.204,0.203,-0.001,0.086,0.079,0.3,0.3,0.153,0.166,0,0,0,0
walking-meditation-step-by-step,mindfulness-for-better-sleep,Low,Low,0.201,0.198,-0.003,0.065,0.055,0.26,0.26,0.175,0.165,0,0,0,0
how-to-meditate-for-beginners,mindfulness-morning-routine,Low,Low,0.199,0.186,-0.013,0.115,0.122,0.033,0.033,0.283,0.236,0,0,0,0
mindfulness-of-breathing-guide,walking-meditation-step-by-step,Low,Low,0.197,0.183,-0.014,0.193,0.113,0.058,0.058,0.241,0.227,0,0,0,0
how-to-meditate-for-beginners,walking-meditation-step-by-step,Low,Low,0.194,0.186,-0.008,0.149,0.129,0.083,0.083,0.213,0.207,0,0,0,0
beginning-a-daily-mindfulness-practice,letting-go-without-giving-up,Low,Low,0.185,0.173,-0.012,0.114,0.088,0.242,0.242,0.078,0.079,0,0,0,0
how-to-meditate-for-beginners,mindfulness-for-better-sleep,Low,Low,0.184,0.173,-0.011,0.097,0.081,0.043,0.043,0.144,0.15,0,0,0,0
letting-go-without-giving-up,impermanence-in-buddhism-letting-go,Low,Low,0.18,0.171,-0.009,0.156,0.09,0.031,0.031,0.24,0.257,0,0,0,0
mindfulness-of-breathing-guide,mindfulness-for-better-sleep,Low,Low,0.179,0.173,-0.006,0.141,0.129,0.037,0.037,0.38,0.361,0,0,0,0
mindfulness-of-breathing-guide,mindfulness-morning-routine,Low,Low,0.178,0.173,-0.005,0.06,0.052,0.02,0.02,0.275,0.247,0,0,0,0
beginning-a-daily-mindfulness-practice,how-to-practice-non-attachment,Low,Low,0.178,0.176,-0.002,0.113,0.13,0.255,0.255,0.133,0.137,0,0,0,0
mindfulness-morning-routine,letting-go-without-giving-up,Low,Low,0.162,0.156,-0.006,0.027,0.024,0.224,0.224,0.084,0.053,0,0,0,0
