slug,cluster,phase_2_unique_role,changed,primary_changes,source_review,wellbeing_review,protected_fields_result
how-to-meditate-for-beginners,Beginner Meditation and Mindfulness,First seated meditation lesson,yes,"Reframed the article around one complete first seated session: place, posture, duration, distraction, and ending the sit without grading it.",No external citation added. Language stays within practical introductory meditation guidance and avoids claims beyond beginner instruction.,"Keeps expectations modest, normalizes thinking, discourages body-strain contests, and avoids promising special outcomes.",passed
mindfulness-of-breathing-guide,Beginner Meditation and Mindfulness,Breath-specific meditation method,yes,"Sharpened the page around natural breathing, one chosen anchor location, optional counting, and not controlling the breath.",No external citation added. Source-aware wording distinguishes method instruction from broad relaxation or health claims.,Discourages forcing breath and keeps breath practice adaptable rather than performance-oriented.,passed
mindfulness-vs-meditation,Beginner Meditation and Mindfulness,Concept comparison,yes,Reduced how-to overlap by making breath awareness a comparison example and clarifying mindfulness as a quality versus meditation as structured practice.,No external citation added. Claims are conceptual and should receive tradition/source support in Phase 3.,Keeps anxiety adaptation and professional-support language through the existing linked anxiety article reference.,passed
walking-meditation-step-by-step,Beginner Meditation and Mindfulness,Movement meditation method,yes,"Added route, even-ground, gaze, balance, turning, and safety distinctions to make this the movement-specific guide.",No external citation added. Practical instructions avoid medical or therapeutic claims.,"Adds safety language around surroundings, balance, and public walking.",passed
beginning-a-daily-mindfulness-practice,Beginner Meditation and Mindfulness,Habit formation guide,yes,"Reworked the page toward cues, friction reduction, minimum viable practice, missed days, and returning at the next realistic cue.",No external citation added. Habit language remains editorial and should be supported by sources in Phase 3 if expanded.,Avoids shame around missed days and removes pressure for impressive session length.,passed
mindfulness-morning-routine,Beginner Meditation and Mindfulness,Morning-specific attention sequence,yes,"Clarified body awareness, intention, first ordinary actions, screen boundary, and non-productivity framing.",No external citation added. Source-aware phrasing avoids turning the routine into a productivity or health guarantee.,Reduces performance pressure and keeps rushed-morning options small.,passed
how-to-meditate-for-anxiety,Beginner Meditation and Mindfulness,Anxiety-aware educational meditation options,yes,"Strengthened choice of anchor, eyes-open practice, permission to stop, short sessions, and professional-care boundaries.",No external citation added. Existing educational boundary remains; clinical source support should be added in Phase 3 before stronger mental-health claims.,"Explicitly avoids cure language, adds stop/stand/walk options, and preserves qualified-care guidance.",passed
mindfulness-for-better-sleep,Beginner Meditation and Mindfulness,Evening wind-down practice,yes,"Focused sleep copy on ending stimulation, reducing checking, body support, wakefulness without struggle, and healthcare boundaries.","No external citation added. Sleep language remains supportive/educational, not treatment guidance.",Avoids insomnia-treatment claims and preserves professional healthcare guidance for persistent sleep problems.,passed
how-to-let-go-of-attachment-in-buddhism,"Attachment, Non-attachment, and Letting Go",Concept anchor for Buddhist attachment,yes,"Sharpened craving, clinging, preference, care, love, responsibility, and release distinctions.",No external citation added. Buddhist terminology should receive primary/tradition support in Phase 3.,"Clarifies that letting go is not lovelessness, emotional distance, or abandonment of responsibility.",passed
how-to-practice-non-attachment,"Attachment, Non-attachment, and Letting Go",Daily non-attachment practice,yes,"Shifted emphasis toward repeated choices in relationships, work, possessions, identity, boundaries, and repair.",No external citation added. Practice framing is editorial and should be source-backed in Phase 3.,"Separates non-attachment from indifference and reinforces boundaries, care, and repair.",passed
letting-go-without-giving-up,"Attachment, Non-attachment, and Letting Go",Wise effort versus control distinction,yes,"Made the article about keeping responsibility, repair, boundaries, and patient effort while releasing guaranteed outcomes.",No external citation added. Concepts should be backed with sources in Phase 3 before broader doctrinal claims.,Explicitly states that letting go does not mean accepting harm or stopping useful action.,passed
impermanence-in-buddhism-letting-go,"Attachment, Non-attachment, and Letting Go",Impermanence applied to clinging,yes,"Reframed impermanence as softening demands for permanence, with limited compassionate grief language and applied letting-go examples.",No external citation added. Impermanence doctrine and grief-sensitive language should receive Phase 3 source review.,States that impermanence does not erase grief or replace support.,passed
