URL,External source count,External sources,Phase 1 source risk,Phase 4 source-sensitive?,Current source status,Critical unresolved issue?
https://echobuddha.com/404.html,0,,NOT_PHASE1_INDEXABLE,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/about/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,2,https://suttacentral.net/sn56.11/en/sujato | https://www.dhammatalks.org/suttas/SN/SN45_8.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/buddhist-approach-to-anger/,2,https://suttacentral.net/dhp1-20/en/sujato | https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,Low,Yes,VERIFIED_AUTHORITATIVE_LINKS_AND_BOUNDARIES,No
https://echobuddha.com/articles/buddhist-gratitude-practice/,2,https://www.dhammatalks.org/suttas/KN/Khp/khp5.html | https://www.dhammatalks.org/suttas/AN/AN4_28.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,1,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,1,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/category/buddhist-wisdom/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/category/meditation/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/category/mindfulness/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/category/practice/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/category/reflection/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,1,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,1,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/compassion-with-boundaries/,2,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html | https://www.accesstoinsight.org/lib/authors/nyanaponika/wheel006.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,0,,Medium,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/dhamma-vs-dharma/,3,https://suttacentral.net/define/dhamma | https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html | https://www.dhammatalks.org/suttas/SN/SN45_8.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,0,,High,No,NO_EXTERNAL_SOURCE_REQUIRED_OR_PRESENT,No
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,1,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,2,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html | https://suttacentral.net/edition/dhp/en/sujato/introduction,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,1,https://www.dhammatalks.org/suttas/SN/SN45_8.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/eightfold-path-explained/,1,https://www.dhammatalks.org/suttas/SN/SN45_8.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
https://echobuddha.com/articles/equanimity-in-buddhism/,1,https://www.dhammatalks.org/suttas/AN/AN8_6.html,Low,No,LINKS_PRESENT_NOT_REVALIDATED_IN_PHASE4,No
