"URL","Protected intent","GSC inspection result","Assessment","Screenshot SHA-256","Inspection date","Next action"
"https://echobuddha.com/","indexable","URL is on Google / Page is indexed","PASS","0ddc251138edcae517bda86b5b34b62cbd710fe16ffd63cde2d4aea4c6da129a","2026-08-14","No action; preserve evidence"
"https://echobuddha.com/start-here/","indexable","Stored index: Discovered - currently not indexed; Live Test: URL is available to Google / Page can be indexed; indexing requested","PASS — LIVE INDEXABLE / GOOGLE INDEX PROPAGATION PENDING","d404db702dda68d88e3af3d5d7779118699ed8818786eda74d56a31ef743cba6 | 5ebe0fccb78aa5764855b1bf67aab3a1a76904efe1a6d9e971a615241ab61a6c | 879a30071e8ac33ef3d027990b7adba2d52cc63fd69ddc458594fe1bc48f9cee","2026-08-14","Indexing request submitted once; monitor Google processing without repeated submission or content churn"
"https://echobuddha.com/learn/buddhism-for-beginners/","indexable","URL is on Google / Page is indexed","PASS","1e307b471f81836cd99fa5071c3d6b449113104c5b01c51c651c3f659da9b7de","2026-08-14","No action; preserve evidence"
"https://echobuddha.com/learn/four-noble-truths/","indexable","URL is on Google / Page is indexed","PASS","aabbc88609a3c6d06ed33aaf5ad15690d69942dda375b32d9fe4ea87d36316fa","2026-08-14","No action; preserve evidence"
"https://echobuddha.com/learn/eightfold-path/","indexable","URL is on Google / Page is indexed","PASS","4499427ae4290050750d76d0bf558b6146e70a4853fe9e3a52c3df825572f603","2026-08-14","No action; preserve evidence"
"https://echobuddha.com/articles/right-speech-buddhism/","indexable","URL is on Google / Page is indexed","PASS","d82d86552421d5d2f022224d2e44ce2d3f6c8749e5097e30722037346de7708d","2026-08-14","No action; preserve evidence"
"https://echobuddha.com/articles/dhamma-vs-dharma/","indexable","URL is on Google / Page is indexed","PASS","c2e5b04e1b3d2f6bc43ba8b679835f70bc171d8f7d06d1ef7d8afb0a2444e11a","2026-08-14","No action; preserve evidence"
"https://echobuddha.com/articles/dhammapada-reflection-what-we-think/","indexable","URL is on Google / Page is indexed","PASS","3ffba3b12cf08b09afeb2b9c126c95aa8c542ec149af24b90dd00ff4f14f8bfc","2026-08-14","No action; preserve evidence"
"https://echobuddha.com/quotes/letting-go/","indexable","URL is on Google / Page is indexed","PASS","98a635e5e6cdc38ccb4b132ed08e60a708c408e6f5cb95c9061a0fec864998fb","2026-08-14","No action; preserve evidence"
"https://echobuddha.com/search/","noindex, follow","URL is not on Google / Excluded by noindex; last crawl 2026-07-28; crawl allowed","PASS","76facec8be58df3b14e164b5d40b903ca3f1b5cdadfc6f6df761582e8e73dec4","2026-08-14","No action; preserve evidence"
"https://echobuddha.com/daily-reflections/today/","noindex, follow","Stored index: URL is on Google; Live Test: URL is not available to Google / Excluded by noindex","PASS — LIVE NOINDEX MATCHES PROTECTED INTENT / STORED INDEX STATE IS STALE","cfd3abd8657b0484cbc87da792c0581026dc9e500185ef8fe457bd798014d0d5 | 439a37bbca8428fd743bb25d468858281b074b86148df10ac9e52dcc8def98b8","2026-08-14","No indexing request; preserve protected noindex and allow stored-index state to refresh"
"http://echobuddha.com/","redirect","URL is not on Google / Page with redirect; last crawl 2026-08-11","PASS","51b6e5f2c66f3f3ea576f7c5d410d5b55300a74706cbae145a59f01e503e73f1","2026-08-14","No action; preserve evidence"
"http://echobuddha.com/learn/buddhism-101/what-is-mindfulness/","HTTP alternate/canonicalized","URL is not on Google / Alternate page with proper canonical; last crawl 2026-07-04","PASS","fedc42f136f46a5f376675daeeead07f3e4e783419c0b967bb7b9093870fb2b8","2026-08-14","No action; preserve evidence"
"https://echobuddha.com/terms-and-conditions/","historical removed URL","URL is not on Google / Not found (404); last crawl 2026-07-09","PASS WITH EXISTING NON-BLOCKING P2 MIGRATION ISSUE","ce6f672bd5244165d0c009c323cf271f9cc49cdda0451388110eb600237375c2","2026-08-14","No action; preserve evidence"
"https://echobuddha.com/sitemap.xml","XML discovery document","URL is not on Google / Crawled - currently not indexed; last crawl 2026-08-13","PASS — INDEXING NOT REQUIRED","b549434200740d2af025a830959bbb7e46e728dbd6c0472497f3b817acac18a1","2026-08-14","No action; preserve evidence"
