URL,browser_result,bot_result,mobile,referrer_variant,redirect,difference,legitimate,risk,evidence,result
https://echobuddha.com/,200:,200:,200:,200:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/start-here/,200:,200:,200:,200:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,200:,200:,200:,200:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,200:,200:,200:,200:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,200:,200:,200:,200:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,200:,200:,200:,200:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/learn/buddhist-dictionary/anicca/,200:,200:,200:,200:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/meditation/breathing-meditation/,200:,200:,200:,200:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/quotes/mindfulness/,200:,200:,200:,200:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,200:,200:,200:,200:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,200:,200:,200:,200:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/search/?q=casino%3Cscript%3E,200:,200:,200:,200:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/privacy-policy/,200:,200:,200:,200:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/404,200:,200:,200:,200:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/phase-12-invalid-route-probe/,404:,404:,404:,404:,NONE,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/articles/how-to-practice-non-attachment/,301:/articles/how-to-let-go-of-attachment-in-buddhism/?utm_source=phase12,301:/articles/how-to-let-go-of-attachment-in-buddhism/?utm_source=phase12,301:/articles/how-to-let-go-of-attachment-in-buddhism/?utm_source=phase12,301:/articles/how-to-let-go-of-attachment-in-buddhism/?utm_source=phase12,/articles/how-to-let-go-of-attachment-in-buddhism/,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/articles/letting-go-without-giving-up/,301:/articles/how-to-let-go-of-attachment-in-buddhism/?utm_source=phase12,301:/articles/how-to-let-go-of-attachment-in-buddhism/?utm_source=phase12,301:/articles/how-to-let-go-of-attachment-in-buddhism/?utm_source=phase12,301:/articles/how-to-let-go-of-attachment-in-buddhism/?utm_source=phase12,/articles/how-to-let-go-of-attachment-in-buddhism/,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
https://echobuddha.com/terms-and-conditions/,301:/terms-of-use/?utm_source=phase12,301:/terms-of-use/?utm_source=phase12,301:/terms-of-use/?utm_source=phase12,301:/terms-of-use/?utm_source=phase12,/terms-of-use/,NONE,YES,LOW,LOCAL_CLOUDFLARE_HTTP_NORMAL_GOOGLEBOT_MOBILE_EXTERNAL_REFERRER,PASS
