URL,before repeated-prose ratio,after repeated-prose ratio,before template tier,after template tier,structural change,Search protection,validation
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,0.0787,0.0122,T2_MODERATE_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,0.0767,0.0390,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,0.1089,0.0484,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,0.0608,0.0088,T2_MODERATE_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,0.0692,0.0101,T2_MODERATE_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,0.0867,0.0438,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,0.0875,0.0465,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,0.0817,0.0121,T2_MODERATE_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,0.0799,0.0118,T2_MODERATE_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,0.0893,0.0192,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,0.0772,0.0120,T2_MODERATE_TEMPLATE_RISK,T0_DISTINCT,IN_PLACE_NO_ROUTE_CHANGE,SEO_P2_EMERGING,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,0.0408,0.0144,T1_LOW_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,0.0991,0.0536,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P3_LIMITED,PASS
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,0.0585,0.0422,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,0.0548,0.0288,T2_MODERATE_TEMPLATE_RISK,T1_LOW_TEMPLATE_RISK,IN_PLACE_NO_ROUTE_CHANGE,SEO_P1_HIGH,PASS
