"Metric","Before","After","Interpretation"
"Workflows","1","5","Separated validation, extended evidence, monitoring, deployment and rollback responsibilities"
"Validation gates","Existing release gate","18 registered controls","Objective Phase 0-8 and release controls integrated"
"Blocking gates","No formal register","16 deterministic/blocking contexts","Proportionate objective enforcement"
"Warning/informational gates","Ad hoc","2 explicit warning/evidence classes","Semantic/editorial and noisy performance judgment retained"
"Production triggers","Local manual Wrangler command","Manual workflow dispatch only; exact current main SHA","Traceable and separately authorized"
"Broad permissions","No explicit workflow permissions","0; contents read explicit","Least privilege"
"Mutable Action refs","2 distinct actions at mutable v4 tags","0; all 22 action uses full SHA","Supply-chain hardening"
"Automated indexability/source/AdSense/consent protection","Distributed audits","Explicit Phase 9 release baseline gates","Protected state cannot silently drift"
"Production traceability","Historical manual record","SHA + manifest + deployment list + smoke evidence","Complete after authorized workflow run"
"Rollback traceability","Known prior version recorded","Confirmed UUID workflow + runbook + evidence","Live exercise remains intentionally unauthorized"
