query,URL,clicks,impressions,position,intent,visible owner,story/category,proposed Phase 5 decision,preserved destination if changed
buddhism letting go quotes,https://echobuddha.com/quotes/letting-go/,1,19,11.526315789473685,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
"""what we think, we become"" buddha attribution source",https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,0,3,7.666666666666667,QUOTE_TEXT_OR_THEME_DISCOVERY,https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,STORY,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/letting-go/
"""what we think, we become"" buddha quote attribution",https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,0,1,11,QUOTE_TEXT_OR_THEME_DISCOVERY,https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,STORY,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/letting-go/
art wisdom standing,https://echobuddha.com/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/,0,1,74,QUOTE_TEXT_OR_THEME_DISCOVERY,https://echobuddha.com/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/,STORY,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/wisdom/
awareness buddhism,https://echobuddha.com/quotes/awareness/,0,1,63,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/awareness/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/awareness/
buddha compassion quotes,https://echobuddha.com/quotes/compassion/,0,3,54.666666666666664,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/compassion/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/compassion/
buddha letting go quotes,https://echobuddha.com/quotes/letting-go/,0,3,29.666666666666668,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/letting-go/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/letting-go/
buddha mindfulness quotes,https://echobuddha.com/quotes/mindfulness/,0,1,37,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/mindfulness/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/mindfulness/
buddha on awareness,https://echobuddha.com/quotes/awareness/,0,2,42,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/awareness/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/awareness/
buddha on compassion,https://echobuddha.com/quotes/compassion/,0,2,56,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/compassion/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/compassion/
buddha on compassion quotes,https://echobuddha.com/quotes/compassion/,0,2,58,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/compassion/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/compassion/
buddha on patience,https://echobuddha.com/quotes/patience/,0,4,33.5,THEMATIC_QUOTE_COLLECTION,https://echobuddha.com/quotes/patience/,CATEGORY,RETAIN_INDEXABLE_CURATED_RESOURCE,https://echobuddha.com/quotes/patience/
