URL,Visible quote class,Buddha attribution?,Scripture attribution?,Named modern attribution?,Paraphrase/adaptation?,Origin record,Schema/visible match?,Correction required?,Validation
https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/thoughts-are-visitors/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/thoughts-pass-without-commanding-you/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/what-you-can-observe-clearly-no-longer-controls-you/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
https://echobuddha.com/quotes/compassion/before-judging-another-life-remember-how-much-of-your/,Original Echo Buddha writing,No,No,No,No source-dependent attribution,original_echo_buddha,Yes,No,PASS
