path,page_family,cluster,internal_link_role,current_title,h1,meta_description,indexability,canonical,word_count_estimate,source_attribution_notes,internal_link_notes,gsc_clicks,gsc_impressions,gsc_ctr,gsc_position,recommended_later_phase
/learn/buddhist-dictionary/dhamma/,dictionary term,Dhamma / Dharma,broad Dhamma meaning owner,Dhamma Meaning: Buddhist Teaching and Truth | Echo Buddha,Dhamma,"Understand Dhamma as Buddhist teaching, truth, practice, Dharma spelling, and the way things are seen through wisdom.",indexable,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,689,"Dictionary source note; beginner definition, not a fabricated source claim",Receives support from Dhamma vs Dharma and source-study pages,0,108,0%,55.33,Existing owner protected in Phase 4
/articles/dhamma-vs-dharma/,article,Dhamma / Dharma,Phase 4 support article,Dhamma vs Dharma: Buddhist Meaning and Spelling | Echo Buddha,Dhamma vs Dharma: What Is the Difference?,"Learn the difference between Dhamma and Dharma, why both spellings appear in Buddhist writing, and how beginners can read them without confusion.",indexable,https://echobuddha.com/articles/dhamma-vs-dharma/,986,External Dhammapada XIV and SN 45.8 references; no claim of one superior spelling,Links up to Dhamma dictionary owner,0,0,,,Phase 4
/articles/what-is-sangha-buddhist-community/,article,Sangha / Buddhist Community,broad Sangha/community owner,What Is Sangha? Buddhist Community for Beginners | Echo Buddha,What Is Sangha? Why Buddhist Community Matters for Beginners,"Understand Sangha as monastic community, Buddhist community, and wise companionship, with practical guidance for learning responsibly.",indexable,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,2052,External SN 45.2 and Dhammapada XIV references; community cautions retained,Receives support from dictionary and temple guide,0,72,0%,80.88,Existing owner protected in Phase 4
/learn/buddhist-dictionary/sangha/,dictionary term,Sangha / Buddhist Community,concise dictionary owner,Sangha Meaning: Buddhist Community Explained Simply | Echo Buddha,Sangha,Learn the meaning of Sangha as Buddhist community and how wise support helps daily practice.,indexable,https://echobuddha.com/learn/buddhist-dictionary/sangha/,418,Dictionary source note; points to broad Sangha article,Links to Sangha article and temple support page,0,3,0%,82,Existing owner protected in Phase 4
/articles/visiting-a-buddhist-temple-respectfully/,article,Sangha / Buddhist Community,Phase 4 practical support article,Visiting a Buddhist Temple Respectfully: Beginner Guide | Echo Buddha,Visiting a Buddhist Temple Respectfully,"A gentle beginner guide to visiting a Buddhist temple respectfully, asking questions carefully, and understanding temple community without cultural carelessness.",indexable,https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,966,External Dhammapada XIV and SN 45.2 references; etiquette varies by community,Links up to broad Sangha guide,0,0,,,Phase 4
/learn/buddhism-for-beginners/,learn hub,Beginner Buddhism,broad beginner Buddhism owner,Buddhism for Beginners - Simple Buddhist Teachings | Echo Buddha,Buddhism for Beginners,"Start learning Buddhism with a calm 7-day path through the Buddha, Four Noble Truths, Eightfold Path, mindfulness, ethics, compassion, karma, and meditation.",indexable,https://echobuddha.com/learn/buddhism-for-beginners/,473,Learning-page source context; no identity or outcome claims,Receives first-week support and Start Here links,0,70,0%,46.13,Existing owner protected in Phase 4
/articles/first-week-buddhist-practice/,article,Beginner Buddhism,Phase 4 practical support article,First Week Buddhist Practice for Beginners | Echo Buddha,First Week Buddhist Practice for Beginners,"A calm first-week Buddhist practice plan for beginners using study, meditation, ethical speech, reflection, and ordinary daily care.",indexable,https://echobuddha.com/articles/first-week-buddhist-practice/,1012,"SN 56.11, SN 45.8, Five Precepts references; beginner safety adaptation language",Links up to Buddhism for Beginners hub,0,0,,,Phase 4
/articles/how-to-let-go-of-attachment-in-buddhism/,article,Letting Go / Non-attachment,cluster cornerstone guide,How to Let Go of Attachment in Buddhism | Echo Buddha,How to Let Go of Attachment in Buddhism,"Learn what attachment means in Buddhism, why clinging creates suffering, and how to practice letting go with mindfulness, patience, and compassion.",indexable,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,1742,Attachment/care distinction retained; no wellbeing outcome claim,Receives support from relationship page and quote category,0,7,0%,23.86,Existing owner protected in Phase 4
/articles/non-attachment-in-relationships/,article,Letting Go / Non-attachment,Phase 4 relationship support article,Non-Attachment in Relationships Without Becoming Cold | Echo Buddha,Non-Attachment in Relationships,"Learn how Buddhist non-attachment can support relationships through care, boundaries, impermanence, and less controlling love.",indexable,https://echobuddha.com/articles/non-attachment-in-relationships/,919,Dhammapada XX and SN 56.11 references; boundaries and harm language included,Links up to attachment guide,0,0,,,Phase 4
/quotes/letting-go/,quote category,Letting Go / Non-attachment,reflective quote category support,Original Letting Go Quotes Inspired by Buddhist Practice | Echo Buddha,Original Letting Go Quotes,"Original letting go quotes about non-attachment, impermanence, releasing control, caring without clinging, and moving forward peacefully.",indexable,https://echobuddha.com/quotes/letting-go/,559,"Original quote-category page, not doctrinal owner",Links to attachment guide and relationship support,1,73,1.37%,31.53,Existing quote category support
/articles/right-speech-buddhism/,article,Patience / Right Speech,Right Speech practical owner,"Right Speech in Buddhism: Meaning, Examples, and Practice | Echo Buddha",Right Speech in Buddhism: How to Speak with Kindness and Awareness,"Understand Right Speech in Buddhism quickly, with examples for honesty, kindness, useful timing, silence, listening, anger, and the Five Precepts.",indexable,https://echobuddha.com/articles/right-speech-buddhism/,1718,Right Speech overview and SN 45.8 references,Receives examples and patience quote support,0,72,0%,40.89,Existing owner protected in Phase 4
/articles/right-speech-examples/,article,Patience / Right Speech,Phase 4 examples support article,Right Speech Examples for Everyday Life | Echo Buddha,Right Speech Examples for Everyday Life,"Practical Right Speech examples for messages, family conversations, work, disagreement, apology, silence, and anger before speaking.",indexable,https://echobuddha.com/articles/right-speech-examples/,910,Right Speech overview and SN 45.8 references; context-sensitive examples,Links up to Right Speech owner,0,0,,,Phase 4
/quotes/patience/,quote category,Patience / Right Speech,reflective quote category support,Original Patience Quotes Inspired by Buddhist Practice | Echo Buddha,Original Patience Quotes,"Original Buddhist-inspired patience quotes for anger, delays, difficult moments, Right Speech, and calm daily practice.",indexable,https://echobuddha.com/quotes/patience/,521,"Original quote-category page, not doctrinal owner",Links to Right Speech and examples,0,85,0%,34.28,Existing quote category support
/learn/dhammapada-reflections/,dhammapada reflection,Dhammapada Attribution,Dhammapada section hub,Dhammapada Reflections | Echo Buddha,Dhammapada Reflections,Original reflections on public-domain-safe Dhammapada themes for daily life.,indexable,https://echobuddha.com/learn/dhammapada-reflections/,253,Original reflections hub; avoids copyrighted translation text,Receives Verse 1 and attribution article support,0,1,0%,4,Existing owner protected in Phase 4
/articles/dhammapada-reflection-what-we-think/,article,Dhammapada Attribution,popular wording attribution-risk page,"Dhammapada What We Think: Translation, Paraphrase, Reflection | Echo Buddha","Dhammapada Reflection: What We Think, We Become","A careful Dhammapada reflection on the popular “what we think, we become” wording, distinguishing paraphrase, translation, source context, and Echo Buddha reflection.",indexable,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,1666,External Dhammapada I reference; explicitly original reflection,Links to Verse 1 and Dhammapada hub,0,17,0%,8.35,Existing risk page protected in Phase 4
/articles/dhammapada-verse-1-meaning/,article,Dhammapada Attribution,Phase 4 source-aware support article,Dhammapada Verse 1 Meaning and Translation Caution | Echo Buddha,Dhammapada Verse 1 Meaning and Translation Caution,"A source-aware guide to Dhammapada Verse 1, mind-leading themes, paraphrase vs translation, and why popular wording needs careful attribution.",indexable,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,956,External Dhammapada I reference; no new translation claim,Links up to Dhammapada hub and attribution policy,0,0,,,Phase 4
