Cluster,Risk level,Reason for hold,Pages involved,Current owner uncertainty,What must happen before new page creation,Owner approval required?,Status
Beginner Buddhism,HIGH,2 documented conflict cases or a family-level index-role conflict.,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/ | https://echobuddha.com/articles/first-week-buddhist-practice/ | https://echobuddha.com/articles/what-is-buddhism-beginner-guide/ | https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/ | https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/ | https://echobuddha.com/learn/buddhism-101/what-is-buddhism/ | https://echobuddha.com/learn/buddhism-for-beginners/,Owner selected as https://echobuddha.com/learn/buddhism-for-beginners/; support/index roles remain unresolved.,Complete relevant Phase 3 index review and Phase 4/5 differentiation; pass the future-page approval gate.,Yes,NO NEW INDEXABLE CONTENT UNTIL OWNERSHIP CONFLICTS ARE RESOLVED
Four Noble Truths,HIGH,3 documented conflict cases or a family-level index-role conflict.,https://echobuddha.com/articles/four-noble-truths-explained-simply/ | https://echobuddha.com/articles/four-noble-truths-explained/ | https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/ | https://echobuddha.com/learn/buddhist-dictionary/dukkha/ | https://echobuddha.com/learn/four-noble-truths/ | https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,Owner selected as https://echobuddha.com/learn/four-noble-truths/; support/index roles remain unresolved.,Complete relevant Phase 3 index review and Phase 4/5 differentiation; pass the future-page approval gate.,Yes,NO NEW INDEXABLE CONTENT UNTIL OWNERSHIP CONFLICTS ARE RESOLVED
Noble Eightfold Path,HIGH,4 documented conflict cases or a family-level index-role conflict.,https://echobuddha.com/articles/eightfold-path-explained-daily-life/ | https://echobuddha.com/articles/eightfold-path-explained/ | https://echobuddha.com/articles/noble-eightfold-path-practical-guide/ | https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/ | https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/ | https://echobuddha.com/learn/eightfold-path/ | https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,Owner selected as https://echobuddha.com/learn/eightfold-path/; support/index roles remain unresolved.,Complete relevant Phase 3 index review and Phase 4/5 differentiation; pass the future-page approval gate.,Yes,NO NEW INDEXABLE CONTENT UNTIL OWNERSHIP CONFLICTS ARE RESOLVED
Impermanence,HIGH,3 documented conflict cases or a family-level index-role conflict.,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/ | https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/ | https://echobuddha.com/articles/impermanence-in-buddhism/ | https://echobuddha.com/learn/buddhism-101/what-is-impermanence/ | https://echobuddha.com/learn/buddhist-dictionary/anicca/,Owner selected as https://echobuddha.com/learn/buddhism-101/what-is-impermanence/; support/index roles remain unresolved.,Complete relevant Phase 3 index review and Phase 4/5 differentiation; pass the future-page approval gate.,Yes,NO NEW INDEXABLE CONTENT UNTIL OWNERSHIP CONFLICTS ARE RESOLVED
Attachment / Non-Attachment / Letting Go,MEDIUM,1 documented conflict cases or a family-level index-role conflict.,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/ | https://echobuddha.com/articles/how-to-practice-non-attachment/ | https://echobuddha.com/articles/letting-go-without-giving-up/ | https://echobuddha.com/articles/non-attachment-in-relationships/,Owner selected as https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/; support/index roles remain unresolved.,Complete relevant Phase 3 index review and Phase 4/5 differentiation; pass the future-page approval gate.,Yes,NO NEW INDEXABLE CONTENT UNTIL OWNERSHIP CONFLICTS ARE RESOLVED
Compassion,MEDIUM,1 documented conflict cases or a family-level index-role conflict.,https://echobuddha.com/articles/compassion-as-a-daily-discipline/ | https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/ | https://echobuddha.com/articles/compassion-with-boundaries/ | https://echobuddha.com/learn/buddhist-dictionary/compassion/ | https://echobuddha.com/learn/buddhist-dictionary/karuna/,Owner selected as https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/; support/index roles remain unresolved.,Complete relevant Phase 3 index review and Phase 4/5 differentiation; pass the future-page approval gate.,Yes,NO NEW INDEXABLE CONTENT UNTIL OWNERSHIP CONFLICTS ARE RESOLVED
Loving-Kindness / Metta,HIGH,1 documented conflict cases or a family-level index-role conflict.,https://echobuddha.com/articles/loving-kindness-meditation-beginners/ | https://echobuddha.com/articles/loving-kindness-meditation-guide/ | https://echobuddha.com/articles/metta-meditation-script/ | https://echobuddha.com/learn/buddhist-dictionary/metta/ | https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/ | https://echobuddha.com/meditation/loving-kindness-meditation/,Owner selected as https://echobuddha.com/learn/buddhist-dictionary/metta/; support/index roles remain unresolved.,Complete relevant Phase 3 index review and Phase 4/5 differentiation; pass the future-page approval gate.,Yes,NO NEW INDEXABLE CONTENT UNTIL OWNERSHIP CONFLICTS ARE RESOLVED
Meditation,HIGH,2 documented conflict cases or a family-level index-role conflict.,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/ | https://echobuddha.com/articles/how-to-meditate-for-beginners/ | https://echobuddha.com/meditation-guide/ | https://echobuddha.com/meditation/10-minute-meditation-practice/ | https://echobuddha.com/meditation/5-minute-meditation-practice/ | https://echobuddha.com/meditation/ | https://echobuddha.com/meditation/meditation-for-beginners/ | https://echobuddha.com/meditation/meditation-posture-for-beginners/ | https://echobuddha.com/meditation/when-meditation-feels-hard/,Owner selected as https://echobuddha.com/meditation/; support/index roles remain unresolved.,Complete relevant Phase 3 index review and Phase 4/5 differentiation; pass the future-page approval gate.,Yes,NO NEW INDEXABLE CONTENT UNTIL OWNERSHIP CONFLICTS ARE RESOLVED
Breath / Mindfulness of Breathing,MEDIUM,1 documented conflict cases or a family-level index-role conflict.,https://echobuddha.com/articles/mindfulness-of-breathing-guide/ | https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/ | https://echobuddha.com/meditation/breathing-meditation/,Owner selected as https://echobuddha.com/articles/mindfulness-of-breathing-guide/; support/index roles remain unresolved.,Complete relevant Phase 3 index review and Phase 4/5 differentiation; pass the future-page approval gate.,Yes,NO NEW INDEXABLE CONTENT UNTIL OWNERSHIP CONFLICTS ARE RESOLVED
Mindfulness,HIGH,1 documented conflict cases or a family-level index-role conflict.,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/ | https://echobuddha.com/articles/mindfulness-morning-routine/ | https://echobuddha.com/articles/mindfulness-vs-meditation/ | https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/ | https://echobuddha.com/learn/buddhist-dictionary/mindfulness/ | https://echobuddha.com/learn/buddhist-dictionary/sati/ | https://echobuddha.com/meditation/mindfulness-in-daily-life/,Owner selected as https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/; support/index roles remain unresolved.,Complete relevant Phase 3 index review and Phase 4/5 differentiation; pass the future-page approval gate.,Yes,NO NEW INDEXABLE CONTENT UNTIL OWNERSHIP CONFLICTS ARE RESOLVED
