URL,Robots directive,Expected,Valid,Crawlable,Reason
https://echobuddha.com/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/404.html,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/about/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/buddhist-approach-to-anger/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/buddhist-gratitude-practice/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/category/buddhist-wisdom/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/category/meditation/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/category/mindfulness/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/category/practice/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/category/reflection/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/compassion-with-boundaries/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/dhamma-vs-dharma/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/eightfold-path-explained/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/equanimity-in-buddhism/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/first-week-buddhist-practice/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/five-precepts-in-daily-life/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/four-noble-truths-explained-simply/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/four-noble-truths-explained/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/how-to-meditate-for-beginners/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/how-to-practice-non-attachment/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/impermanence-in-buddhism/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/letting-go-without-giving-up/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/loving-kindness-meditation-guide/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/metta-meditation-script/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/mindful-email-and-texting/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/mindfulness-for-better-sleep/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/mindfulness-morning-routine/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/mindfulness-vs-meditation/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/non-attachment-in-relationships/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/right-livelihood-modern-life/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/right-speech-buddhism/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/right-speech-examples/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/three-poisons-buddhism-explained/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/three-ways-to-practice-patience/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/walking-meditation-step-by-step/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/what-is-karma-in-buddhism/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/authors/echo-buddha-editorial/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/buddhist-sources-and-citations/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/contact/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/corrections/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/daily-reflections/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/daily-reflections/anger-as-a-signal/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/begin-again-without-shame/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/enough-for-this-moment/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/evening-release/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/family-patience/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/gratitude-for-change/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/listen-before-answering/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/mindful-work/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/morning-intention/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/notice-before-fixing/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/one-honest-breath/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/one-step-on-the-path/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/rest-without-escape/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/see-the-conditions/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/simple-goodwill/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/today/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/daily-reflections/walking-as-practice/,"noindex, follow","noindex, follow",Yes,Yes,Excluded from search results while links and content remain crawlable.
https://echobuddha.com/disclaimer/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/editorial-policy/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/how-echo-buddha-creates-content/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhism-for-beginners/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/anatta/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/anicca/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/compassion/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/karma/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/karuna/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/metta/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/sangha/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/sati/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-dictionary/sutta/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/buddhist-resources/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/dhammapada-reflections/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/eightfold-path/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/four-noble-truths/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/questions-about-buddhism/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/sutta-for-daily-life/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/meditation-guide/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/meditation-safety/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/meditation/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/meditation/10-minute-meditation-practice/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/meditation/5-minute-meditation-practice/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/meditation/breathing-meditation/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/meditation/loving-kindness-meditation/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/meditation/meditation-for-beginners/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/meditation/meditation-posture-for-beginners/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/meditation/mindfulness-in-daily-life/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/meditation/walking-meditation/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/meditation/when-meditation-feels-hard/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/mindful-living/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/privacy-policy/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/quote-attribution-policy/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
https://echobuddha.com/quotes/,"index, follow","index, follow",Yes,Yes,Retained in the curated index footprint.
