route,theme,indexabilityClass,indexable,previousRobots,finalRobots,inSitemap,inSearchIndex,reviewerNote
/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,Mindfulness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,Compassion,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/,Patience,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,Awareness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/practice/the-path-is-not-far-away-it-is-the/,Practice,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,Letting Go,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/,Compassion,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/,Meditation,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/renewal/begin-again-gently-the-breath-is-always-willing/,Renewal,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/,Wisdom,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
/quotes/mindfulness/return-to-the-breath-before-you-return-to-the/,Mindfulness,indexable-after-generated-quality-improvement,true,"index, follow (implicit)","index, follow (implicit)",true,true,Indexable by existing theme allowlist after Phase 2 status and uniqueness improvements.
