URL / Page family,Page role,Index state,Sensitive?,Current AdSense script state,Expected AdSense script state,Publisher ID correct?,Duplicate script?,Consent dependency,CSP compatible?,Manual slot present?,Manual slot should exist?,Verification suitable?,Future monetization suitability,Issue,Action,Validation,Human/account review?
/,Homepage,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Owner review after approval/CMP,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/404.html,Error,noindex,Yes,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,N/A — noindex route,Excluded/protected,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/about/,Trust/policy,indexable,Yes,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Excluded/protected,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/,Article hub,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Not currently planned,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/beginning-a-daily-mindfulness-practice/,Article detail,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Owner review after approval/CMP,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/buddhism-for-beginners-simple-guide/,Article detail,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Owner review after approval/CMP,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/buddhist-approach-to-anger/,Article detail,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Owner review after approval/CMP,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/buddhist-gratitude-practice/,Article detail,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Owner review after approval/CMP,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/buddhist-teachings-on-forgiveness/,Article detail,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Owner review after approval/CMP,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/buddhist-teachings-on-impermanence/,Article detail,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Owner review after approval/CMP,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/buddhist-wisdom-for-overthinking/,Article detail,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Owner review after approval/CMP,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/category/buddhist-wisdom/,Article category,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Not currently planned,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/category/meditation/,Article category,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Not currently planned,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/category/mindfulness/,Article category,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Not currently planned,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/category/practice/,Article category,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Not currently planned,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/category/reflection/,Article category,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Not currently planned,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/compassion-as-a-daily-discipline/,Article detail,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Owner review after approval/CMP,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/compassion-in-buddhism-beginner-guide/,Article detail,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Owner review after approval/CMP,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/compassion-with-boundaries/,Article detail,indexable,Yes,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Excluded/protected,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/creating-a-peaceful-corner-at-home/,Article detail,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Owner review after approval/CMP,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/dhamma-vs-dharma/,Article detail,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Owner review after approval/CMP,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
/articles/dhammapada-reflection-trained-mind/,Article detail,indexable,No,DISABLED,DISABLED pending certified CMP/account decisions,Yes,0,Runtime ads require certified CMP where applicable; not active,Yes — runtime intentionally excluded,No,No,Yes — meta + ads.txt,Owner review after approval/CMP,None in repository state,Preserve no-runtime/no-slot state,PASS,Yes — before any ad serving
