"Cluster","Representative queries","Visible query count","Visible clicks","Visible impressions","Weighted position","Likely user intent","Primary owner","Other ranking pages","Owner alignment","Cannibalization risk","Privacy limitation","Maturity","Assessment"
"Letting Go / Non-Attachment","buddhism letting go quotes | buddhist sayings about letting go | buddha quotes on letting go | buddhist quotes on letting go | let go quotes buddha | buddha quotes about letting go | quotes from buddha about letting go | buddha letting go quotes","14","1","49","22.14","quote / practical application","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","https://echobuddha.com/quotes/letting-go/; https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
"Beginner Buddhism","buddhism for beginners | beginners buddhism | beginner buddhism | how to practice buddhism for beginners | buddhism for beginner | buddhism beginners guide | beginners guide to buddhism | beginner guide to buddhism","10","0","70","48.81","foundational learning","https://echobuddha.com/learn/buddhism-for-beginners/","https://echobuddha.com/learn/buddhism-for-beginners/; https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/; https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/; https://echobuddha.com/articles/what-is-buddhism-beginner-guide/; https://echobuddha.com/articles/how-to-meditate-for-beginners/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","DEVELOPING","OBSERVE; do not create keyword variants"
"Sangha","sangha | sangha meaning | what is the sangha | what is sangha in buddhism | what is sangha | sangha definition | what is sangha buddhism | buddhist sangha","25","0","66","82.2","definition / foundation","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","DEVELOPING","OBSERVE; do not create keyword variants"
"Dhamma","dhamma | dhamma buddhism | what is the dhamma in buddhism | dhamma meaning | what is the meaning of dhamma | the dhamma | define dhamma | what is dhamma","24","0","69","47.45","definition","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","https://echobuddha.com/articles/dhamma-vs-dharma/; https://echobuddha.com/learn/buddhist-dictionary/dhamma/; https://echobuddha.com/articles/dhammapada-reflection-what-we-think/; https://echobuddha.com/articles/dhammapada-verse-1-meaning/; https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","DEVELOPING","OBSERVE; do not create keyword variants"
"Dhammapada attribution","""what we think, we become"" dhammapada translation | ""what we think, we become"" dhammapada verse 1 translation | ""what we think, we become"" buddha attribution source | dhammapada ""what we think we become"" translation | ""what we think, we become"" buddha attribution | dhammapada verse 1 ""what we think we become"" translation | dhammapada verse 1 | ""what we think, we become"" buddha dhammapada translation","10","0","32","8.84","source / attribution","https://echobuddha.com/learn/dhammapada-reflections/","https://echobuddha.com/articles/dhammapada-reflection-what-we-think/; https://echobuddha.com/articles/dhammapada-verse-1-meaning/; https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/; https://echobuddha.com/learn/dhammapada-reflections/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
"Right Speech","right speech | right speech buddhism | buddhism right speech | buddhist right speech | buddha right speech | what is right speech in buddhism | what is right speech | right speech in buddhism","11","0","37","58.24","teaching / practical application","https://echobuddha.com/articles/right-speech-buddhism/","https://echobuddha.com/articles/right-speech-buddhism/; https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/; https://echobuddha.com/articles/right-speech-examples/; https://echobuddha.com/articles/right-livelihood-modern-life/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
"Dhamma vs Dharma","dhamma or dharma | difference between dharma and dhamma | dhamma vs dharma | difference between dhamma and dharma | is dhamma and dharma the same | dhamma and dharma difference | dharma or dhamma | dharma vs dhamma","10","0","40","7.1","comparison","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","https://echobuddha.com/articles/dhamma-vs-dharma/; https://echobuddha.com/learn/buddhist-dictionary/dhamma/; https://echobuddha.com/articles/dhammapada-reflection-what-we-think/; https://echobuddha.com/articles/dhammapada-verse-1-meaning/; https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/","Likely distinct support intent; primary broad owner preserved","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
"Brahmaviharas","brahma viharas | brahmaviharas | brahmavihara","3","0","9","67.78","foundation","https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/","https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
"Threefold Training","sila samadhi panna | access to insight threefold training sila samadhi panna","2","0","6","1.33","foundation","https://echobuddha.com/learn/buddhism-101/","https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
"Sutta","sutta meaning | pali canon | pali canon buddhism | sutta meaning in english | what does sutta mean | what is a sutta | what is sutta | sutta","8","0","18","32.33","source / dictionary","https://echobuddha.com/learn/sutta-for-daily-life/","https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/; https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/; https://echobuddha.com/learn/buddhist-dictionary/sutta/; https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/","No row-level mismatch proven","LOW / INSUFFICIENT","Visible queries incomplete; no query x page export","EARLY","OBSERVE; do not create keyword variants"
