URL,Translation reproduced?,Translator/host context,Paraphrase labeled?,Editorial explanation separated?,Rights uncertainty?,Action required,Validation
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,No material long reproduction,www.accesstoinsight.org,Yes,Yes,No current reproduction risk,"Future exact quotation must record translator, edition, and reuse terms",PASS
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,No material long reproduction,www.accesstoinsight.org,Yes,Yes,No current reproduction risk,"Future exact quotation must record translator, edition, and reuse terms",PASS
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,No material long reproduction,www.accesstoinsight.org,Yes,Yes,No current reproduction risk,"Future exact quotation must record translator, edition, and reuse terms",PASS
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,No material long reproduction,www.accesstoinsight.org,Yes,Yes,No current reproduction risk,"Future exact quotation must record translator, edition, and reuse terms",PASS
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,No material long reproduction,www.accesstoinsight.org,Yes,Yes,No current reproduction risk,"Future exact quotation must record translator, edition, and reuse terms",PASS
https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,No material long reproduction,www.accesstoinsight.org,Yes,Yes,No current reproduction risk,"Future exact quotation must record translator, edition, and reuse terms",PASS
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,No material long reproduction,suttacentral.net,Yes,Yes,No current reproduction risk,"Future exact quotation must record translator, edition, and reuse terms",PASS
https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,No material long reproduction,www.accesstoinsight.org,Yes,Yes,No current reproduction risk,"Future exact quotation must record translator, edition, and reuse terms",PASS
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,No material long reproduction,suttacentral.net,Yes,Yes,No current reproduction risk,"Future exact quotation must record translator, edition, and reuse terms",PASS
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,No material long reproduction,suttacentral.net,Yes,Yes,No current reproduction risk,"Future exact quotation must record translator, edition, and reuse terms",PASS
https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,No material long reproduction,www.accesstoinsight.org,Yes,Yes,No current reproduction risk,"Future exact quotation must record translator, edition, and reuse terms",PASS
https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,No material long reproduction,www.accesstoinsight.org,Yes,Yes,No current reproduction risk,"Future exact quotation must record translator, edition, and reuse terms",PASS
