query,url,clicks,impressions,ctr,position,time_window,topic_cluster,evidence_label,overlap_status
buddhism letting go quotes,NOT_AVAILABLE: GSC export has separate query and page dimensions,1,18,0.0556,11.78,Last 3 months through 2026-08-18,Attachment and Letting Go,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhism for beginners,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,61,0,50.52,Last 3 months through 2026-08-18,Beginner Buddhism,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dhamma or dharma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,21,0,6.67,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dhamma buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,21,0,52.05,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
sila samadhi panna,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,19,0,1,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dhamma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,19,0,39.53,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
sangha,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,19,0,81.63,Last 3 months through 2026-08-18,Sangha,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
what is the dhamma in buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,16,0,52.06,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
difference between dhamma and dharma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,15,0,8.93,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
right speech,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,15,0,69.27,Last 3 months through 2026-08-18,Right Speech,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
"""what we think, we become"" dhammapada translation",NOT_AVAILABLE: GSC export has separate query and page dimensions,0,14,0,6.71,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dhamma vs dharma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,13,0,6.46,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
right speech buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,13,0,41.85,Last 3 months through 2026-08-18,Right Speech,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dharma or dhamma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,12,0,7,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
difference between dharma and dhamma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,12,0,8.67,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dhamma and dharma difference,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,10,0,7.3,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist sayings about letting go,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,10,0,16.8,Last 3 months through 2026-08-18,Attachment and Letting Go,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha quotes patience,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,10,0,21.3,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha quotes on letting go,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,10,0,26.7,Last 3 months through 2026-08-18,Attachment and Letting Go,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dharma vs dhamma,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,9,0,6.22,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
is dhamma and dharma the same,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,7,0,8.14,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
"""what we think, we become"" dhammapada verse 1 translation",NOT_AVAILABLE: GSC export has separate query and page dimensions,0,7,0,8.86,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha patience quotes,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,7,0,16.43,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
beginners buddhism,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,7,0,44.86,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
dhamma meaning,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,7,0,55.29,Last 3 months through 2026-08-18,Dhamma / Dharma,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddhist quotes on letting go,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,6,0,22.67,Last 3 months through 2026-08-18,Attachment and Letting Go,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha quotes on patience,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,6,0,23,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
let go quotes buddha,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,6,0,30.17,Last 3 months through 2026-08-18,Unclustered query,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
buddha patience,NOT_AVAILABLE: GSC export has separate query and page dimensions,0,6,0,46,Last 3 months through 2026-08-18,Patience,SEARCH_CONSOLE_EVIDENCE,QUERY×PAGE_NOT_VERIFIED
