Cluster,Broad primary owner,Indexable pages,Supporting pages,Highest overlap pair,Cannibalization risk,Audit recommendation,Confidence
Buddhism for beginners,https://echobuddha.com/learn/buddhism-for-beginners/,7,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/ | https://echobuddha.com/articles/first-week-buddhist-practice/ | https://echobuddha.com/articles/what-is-buddhism-beginner-guide/ | https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/ | https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/ | https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,/learn/buddhism-101/how-to-practice-buddhism-at-home/ <> /learn/buddhism-101/what-is-buddhism/,High,Define primary/support/source/practice roles in Phase 2; review merge/noindex candidates manually,High
Four Noble Truths,https://echobuddha.com/learn/four-noble-truths/,6,https://echobuddha.com/articles/four-noble-truths-explained-simply/ | https://echobuddha.com/articles/four-noble-truths-explained/ | https://echobuddha.com/daily-reflections/the-first-truth-is-kind/ | https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/ | https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,/articles/four-noble-truths-explained/ <> /articles/four-noble-truths-explained-simply/,High,Define primary/support/source/practice roles in Phase 2; review merge/noindex candidates manually,High
Noble Eightfold Path,https://echobuddha.com/learn/eightfold-path/,8,https://echobuddha.com/articles/eightfold-path-explained-daily-life/ | https://echobuddha.com/articles/eightfold-path-explained/ | https://echobuddha.com/articles/noble-eightfold-path-practical-guide/ | https://echobuddha.com/daily-reflections/one-step-on-the-path/ | https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/ | https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/ | https://echobuddha.com/quotes/practice/eightfold-path-daily-choices/,/articles/eightfold-path-explained-daily-life/ <> /articles/eightfold-path-explained/,High,Define primary/support/source/practice roles in Phase 2; review merge/noindex candidates manually,High
Impermanence,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,16,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/ | https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/ | https://echobuddha.com/articles/impermanence-in-buddhism/ | https://echobuddha.com/daily-reflections/gratitude-for-change/ | https://echobuddha.com/daily-reflections/impermanence-softens-clinging/ | https://echobuddha.com/learn/buddhist-dictionary/anicca/ | https://echobuddha.com/quotes/impermanence/because-this-moment-will-pass-meet-it-while-it/ | https://echobuddha.com/quotes/impermanence/change-is-how-life-continues/ | https://echobuddha.com/quotes/impermanence/change-takes-nothing-personally-it-simply-continues/ | https://echobuddha.com/quotes/impermanence/everything-changes-including-the-part-of-you-that-fears/ | https://echobuddha.com/quotes/impermanence/ | https://echobuddha.com/quotes/impermanence/meet-change-softly/ | https://echobuddha.com/quotes/impermanence/the-fading-flower-does-not-make-its-blooming-less/ | https://echobuddha.com/quotes/impermanence/the-passing-of-joy-teaches-gratitude-the-passing-of/ | https://echobuddha.com/quotes/impermanence/todays-certainty-may-become-tomorrows-lesson-in-humility/,/quotes/impermanence/change-takes-nothing-personally-it-simply-continues/ <> /quotes/impermanence/everything-changes-including-the-part-of-you-that-fears/,High,Define primary/support/source/practice roles in Phase 2; review merge/noindex candidates manually,High
Attachment and letting go,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,20,https://echobuddha.com/articles/buddhist-gratitude-practice/ | https://echobuddha.com/articles/how-to-practice-non-attachment/ | https://echobuddha.com/articles/letting-go-without-giving-up/ | https://echobuddha.com/articles/non-attachment-in-relationships/ | https://echobuddha.com/daily-reflections/evening-release/ | https://echobuddha.com/daily-reflections/letting-go-keeps-care/ | https://echobuddha.com/quotes/letting-go/an-open-hand-can-care-for-what-a-clenched/ | https://echobuddha.com/quotes/letting-go/caring-without-clinging/ | https://echobuddha.com/quotes/letting-go/forgiveness-without-approving-harm/ | https://echobuddha.com/quotes/letting-go/ | https://echobuddha.com/quotes/letting-go/letting-go-begins-by-admitting-how-tightly-you-are/ | https://echobuddha.com/quotes/letting-go/open-hands-non-attachment/ | https://echobuddha.com/quotes/letting-go/peace-enters-when-control-is-no-longer-the-price/ | https://echobuddha.com/quotes/letting-go/release-the-need-to-replay-what-can-no-longer/ | https://echobuddha.com/quotes/letting-go/soften-around-stress/ | https://echobuddha.com/quotes/letting-go/where-attachment-begins/ | https://echobuddha.com/quotes/letting-go/you-can-honor-the-past-without-asking-it-to/ | https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/ | https://echobuddha.com/quotes/renewal/evening-release-reflection/,/quotes/letting-go/letting-go-begins-by-admitting-how-tightly-you-are/ <> /quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,High,Define primary/support/source/practice roles in Phase 2; review merge/noindex candidates manually,High
Compassion,https://echobuddha.com/learn/buddhist-dictionary/compassion/,27,https://echobuddha.com/articles/compassion-as-a-daily-discipline/ | https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/ | https://echobuddha.com/articles/compassion-with-boundaries/ | https://echobuddha.com/articles/loving-kindness-meditation-beginners/ | https://echobuddha.com/articles/loving-kindness-meditation-guide/ | https://echobuddha.com/articles/metta-meditation-script/ | https://echobuddha.com/articles/right-speech-buddhism/ | https://echobuddha.com/daily-reflections/compassion-begins-nearby/ | https://echobuddha.com/daily-reflections/kindness-with-boundaries/ | https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/ | https://echobuddha.com/learn/buddhist-dictionary/karuna/ | https://echobuddha.com/learn/buddhist-dictionary/metta/ | https://echobuddha.com/meditation/loving-kindness-meditation/ | https://echobuddha.com/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/ | https://echobuddha.com/quotes/compassion/before-judging-another-life-remember-how-much-of-your/ | https://echobuddha.com/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/ | https://echobuddha.com/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/ | https://echobuddha.com/quotes/compassion/compassion-sees-pain-clearly/ | https://echobuddha.com/quotes/compassion/gentle-self-compassion/ | https://echobuddha.com/quotes/compassion/ | https://echobuddha.com/quotes/compassion/kindness-as-quiet-practice/ | https://echobuddha.com/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/ | https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/ | https://echobuddha.com/quotes/compassion/loving-kindness-without-harm/ | https://echobuddha.com/quotes/patience/family-kindness-and-patience/ | https://echobuddha.com/quotes/wisdom/right-speech-with-kindness/,/quotes/compassion/before-judging-another-life-remember-how-much-of-your/ <> /quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,High,Define primary/support/source/practice roles in Phase 2; review merge/noindex candidates manually,High
Right Speech,https://echobuddha.com/articles/right-speech-buddhism/,8,https://echobuddha.com/articles/mindful-email-and-texting/ | https://echobuddha.com/articles/mindful-listening-in-everyday-life/ | https://echobuddha.com/articles/right-speech-examples/ | https://echobuddha.com/daily-reflections/listen-before-answering/ | https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/ | https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/ | https://echobuddha.com/quotes/mindfulness/listen-before-answering/ | https://echobuddha.com/quotes/wisdom/wise-silence/,/daily-reflections/listen-before-answering/ <> /daily-reflections/speech-can-reduce-suffering/,High,Define primary/support/source/practice roles in Phase 2; review merge/noindex candidates manually,High
Patience,https://echobuddha.com/articles/three-ways-to-practice-patience/,12,https://echobuddha.com/daily-reflections/family-patience/ | https://echobuddha.com/daily-reflections/patience-before-anger-speaks/ | https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/ | https://echobuddha.com/quotes/patience/be-patient-with-the-part-of-you-that-is/ | https://echobuddha.com/quotes/patience/growth-is-quiet-work-often-invisible-until-the-season/ | https://echobuddha.com/quotes/patience/ | https://echobuddha.com/quotes/patience/not-every-delay-is-an-obstacle-some-are-invitations/ | https://echobuddha.com/quotes/patience/patience-is-the-strength-to-remain-present-while-life/ | https://echobuddha.com/quotes/patience/patience-softens-the-wait/ | https://echobuddha.com/quotes/patience/wait-long-enough-for-the-first-reaction-to-become/ | https://echobuddha.com/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/,/quotes/patience/not-every-delay-is-an-obstacle-some-are-invitations/ <> /quotes/patience/patience-is-the-strength-to-remain-present-while-life/,High,Define primary/support/source/practice roles in Phase 2; review merge/noindex candidates manually,High
Anger,https://echobuddha.com/articles/buddhist-approach-to-anger/,4,https://echobuddha.com/daily-reflections/anger-as-a-signal/ | https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/ | https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,/articles/buddhist-approach-to-anger/ <> /articles/compassion-as-a-daily-discipline/,Medium,Define primary/support/source/practice roles in Phase 2; review merge/noindex candidates manually,High
Karma,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,4,https://echobuddha.com/articles/what-is-karma-in-buddhism/ | https://echobuddha.com/learn/buddhist-dictionary/karma/ | https://echobuddha.com/quotes/wisdom/karma-begins-in-intention/,/learn/buddhism-101/what-is-karma-in-buddhism/ <> /learn/buddhist-dictionary/karma/,Medium,Define primary/support/source/practice roles in Phase 2; review merge/noindex candidates manually,High
Mindfulness,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,33,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/ | https://echobuddha.com/articles/category/mindfulness/ | https://echobuddha.com/articles/mindfulness-for-better-sleep/ | https://echobuddha.com/articles/mindfulness-morning-routine/ | https://echobuddha.com/articles/mindfulness-of-breathing-guide/ | https://echobuddha.com/articles/mindfulness-vs-meditation/ | https://echobuddha.com/daily-reflections/ | https://echobuddha.com/daily-reflections/mindful-work/ | https://echobuddha.com/learn/buddhist-dictionary/dukkha/ | https://echobuddha.com/learn/buddhist-dictionary/mindfulness/ | https://echobuddha.com/learn/buddhist-dictionary/sati/ | https://echobuddha.com/meditation/ | https://echobuddha.com/meditation/mindfulness-in-daily-life/ | https://echobuddha.com/mindful-living/ | https://echobuddha.com/quotes/awareness/acceptance-before-next-step/ | https://echobuddha.com/quotes/meditation/one-honest-breath/ | https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/ | https://echobuddha.com/quotes/mindfulness/begin-the-day-with-awareness/ | https://echobuddha.com/quotes/mindfulness/gratitude-notices-enough/ | https://echobuddha.com/quotes/mindfulness/ground-yourself-gently/ | https://echobuddha.com/quotes/mindfulness/ | https://echobuddha.com/quotes/mindfulness/notice-what-is-here-before-deciding-what-it-means/ | https://echobuddha.com/quotes/mindfulness/one-mindful-pause-can-change-the-direction-of-an/ | https://echobuddha.com/quotes/mindfulness/peace-begins-with-attention/ | https://echobuddha.com/quotes/mindfulness/peace-grows-when-attention-stops-running-ahead-of-the/ | https://echobuddha.com/quotes/mindfulness/present-moment-one-step/ | https://echobuddha.com/quotes/mindfulness/return-to-the-breath-before-you-return-to-the/ | https://echobuddha.com/quotes/mindfulness/the-present-moment-asks-for-your-attention-not-your/ | https://echobuddha.com/quotes/practice/mindfulness-at-work-breath/ | https://echobuddha.com/quotes/renewal/begin-again-without-shame/ | https://echobuddha.com/start-here/ | https://echobuddha.com/tools/,/quotes/mindfulness/one-mindful-pause-can-change-the-direction-of-an/ <> /quotes/mindfulness/the-present-moment-asks-for-your-attention-not-your/,High,Define primary/support/source/practice roles in Phase 2; review merge/noindex candidates manually,High
