"URL","Page family","Phase 2 role","Primary owner","Is primary owner?","Current index state","Clicks","Impressions","CTR","Average position","Prior-period clicks","Prior-period impressions","Trend","Visible query themes","Internal links reported","Current production status","Last crawl if known","First GSC observed date if derived","Maturity","Classification","Confidence","Recommended action"
"https://echobuddha.com/","Homepage","PROTECTED PRIMARY OWNER","https://echobuddha.com/","Yes","indexable","4","46","8.7%","5.35","8","32","43.75% impressions","Other visible queries","523","Built; production smoke baseline PASS","Not supplied","Before latest 28-day window","DEVELOPING","INSUFFICIENT DATA","Medium","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/right-speech-buddhism/","Articles","PROTECTED PRIMARY OWNER","https://echobuddha.com/articles/right-speech-buddhism/","Yes","indexable","3","178","1.69%","27.13","0","0","New in latest comparison table","Right Speech","55","Built; production smoke baseline PASS","Not supplied","Latest 28-day window; exact date unavailable","DEVELOPING","EMERGING WINNER","Medium","PROTECT / OBSERVE"
"https://echobuddha.com/quotes/letting-go/","Quote Categories","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","https://echobuddha.com/quotes/","No","indexable","2","92","2.17%","19.68","0","24","283.33% impressions","Letting Go / Non-Attachment","39","Built; production smoke baseline PASS","Not supplied","Before latest 28-day window","DEVELOPING","EMERGING WINNER","Medium","PROTECT / OBSERVE"
"https://echobuddha.com/quotes/patience/","Quote Categories","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","https://echobuddha.com/quotes/","No","indexable","1","115","0.87%","26.83","0","16","618.75% impressions","Patience","30","Built; production smoke baseline PASS","Not supplied","Before latest 28-day window","DEVELOPING","EMERGING WINNER","Medium","PROTECT / OBSERVE"
"https://echobuddha.com/articles/dhamma-vs-dharma/","Articles","KEEP AS COMPARISON_PAGE SUBJECT TO REQUIRED DIFFERENTIATION","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","No","indexable","1","87","1.15%","10.56","0","0","New in latest comparison table","Dhamma vs Dharma","Not in top-target export","Built; production smoke baseline PASS","Not supplied","Latest 28-day window; exact date unavailable","DEVELOPING","EMERGING WINNER","Medium","PROTECT / OBSERVE"
"https://echobuddha.com/articles/three-poisons-buddhism-explained/","Articles","PROTECTED PRIMARY OWNER","https://echobuddha.com/articles/three-poisons-buddhism-explained/","Yes","indexable","1","79","1.27%","46.68","0","1","7800% impressions","Three Poisons","Not in top-target export","Built; production smoke baseline PASS","Not supplied","Before latest 28-day window","DEVELOPING","EMERGING WINNER","Medium","PROTECT / OBSERVE"
"https://echobuddha.com/quotes/mindfulness/","Quote Categories","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","https://echobuddha.com/quotes/","No","indexable","1","19","5.26%","24.47","0","1","1800% impressions","Query-to-page intersection not supplied","37","Built; production smoke baseline PASS","Not supplied","Before latest 28-day window","EARLY","EARLY DISCOVERY","Medium","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/noble-eightfold-path-practical-guide/","Articles","KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION","https://echobuddha.com/learn/eightfold-path/","No","indexable","1","12","8.33%","46.42","0","0","New in latest comparison table","Query-to-page intersection not supplied","Not in top-target export","Built; production smoke baseline PASS","Not supplied","Latest 28-day window; exact date unavailable","EARLY","EARLY DISCOVERY","Medium","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/","Sutta Study","KEEP AS SOURCE_STUDY SUBJECT TO REQUIRED DIFFERENTIATION","https://echobuddha.com/learn/buddhist-dictionary/metta/","No","indexable","1","2","50%","4.5","0","0","New in latest comparison table","Query-to-page intersection not supplied","Not in top-target export","Built; production smoke baseline PASS","Not supplied","Latest 28-day window; exact date unavailable","EARLY","EARLY DISCOVERY","Medium","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/learn/buddhism-for-beginners/","Learn","PROTECTED PRIMARY OWNER","https://echobuddha.com/learn/buddhism-for-beginners/","Yes","indexable","0","107","0%","44.42","0","0","New in latest comparison table","Beginner Buddhism","5","Built; production smoke baseline PASS","Not supplied","Latest 28-day window; exact date unavailable","DEVELOPING","EMERGING WINNER","Medium","PROTECT / OBSERVE"
