"Query","Topic cluster","Intent","Clicks","Impressions","CTR","Position","Likely serving URL if known","Primary owner","Owner alignment","Potential mismatch","Confidence","Privacy limitation","Action"
"buddhism letting go quotes","Letting Go / Non-Attachment","quote / practical application","1","12","8.33%","13.5","https://echobuddha.com/quotes/letting-go/ (inference; query x page not supplied)","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","Potentially healthy support-to-owner relationship","Not proven","Medium","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhism for beginners","Beginner Buddhism","foundational learning","0","47","0%","51.06","https://echobuddha.com/learn/buddhism-for-beginners/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhism-for-beginners/","Direct","Not proven","Medium","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"sangha","Sangha","definition / foundation","0","17","0%","82.29","https://echobuddha.com/articles/what-is-sangha-buddhist-community/ (inference; query x page not supplied)","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","Direct","Not proven","Medium","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"dhamma","Dhamma","definition","0","13","0%","36.69","https://echobuddha.com/learn/buddhist-dictionary/dhamma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Direct","Not proven","Medium","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"dhamma buddhism","Dhamma","definition","0","11","0%","45.36","https://echobuddha.com/learn/buddhist-dictionary/dhamma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Direct","Not proven","Medium","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"""what we think, we become"" dhammapada translation","Dhammapada attribution","source / attribution","0","10","0%","7.4","https://echobuddha.com/articles/dhammapada-reflection-what-we-think/ (inference; query x page not supplied)","https://echobuddha.com/learn/dhammapada-reflections/","Potentially healthy support-to-owner relationship","Not proven","Medium","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"right speech","Right Speech","teaching / practical application","0","10","0%","74.3","https://echobuddha.com/articles/right-speech-buddhism/ (inference; query x page not supplied)","https://echobuddha.com/articles/right-speech-buddhism/","Direct","Not proven","Medium","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"right speech buddhism","Right Speech","teaching / practical application","0","9","0%","43.22","https://echobuddha.com/articles/right-speech-buddhism/ (inference; query x page not supplied)","https://echobuddha.com/articles/right-speech-buddhism/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"what is the dhamma in buddhism","Dhamma","definition","0","9","0%","56.56","https://echobuddha.com/learn/buddhist-dictionary/dhamma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"dhamma or dharma","Dhamma vs Dharma","comparison","0","8","0%","6.5","https://echobuddha.com/articles/dhamma-vs-dharma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddhist sayings about letting go","Letting Go / Non-Attachment","quote / practical application","0","7","0%","16.57","https://echobuddha.com/quotes/letting-go/ (inference; query x page not supplied)","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"""what we think, we become"" dhammapada verse 1 translation","Dhammapada attribution","source / attribution","0","6","0%","9.5","https://echobuddha.com/articles/dhammapada-reflection-what-we-think/ (inference; query x page not supplied)","https://echobuddha.com/learn/dhammapada-reflections/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"difference between dharma and dhamma","Dhamma vs Dharma","comparison","0","6","0%","10.33","https://echobuddha.com/articles/dhamma-vs-dharma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"beginners buddhism","Beginner Buddhism","foundational learning","0","6","0%","44.83","https://echobuddha.com/learn/buddhism-for-beginners/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhism-for-beginners/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"brahma viharas","Brahmaviharas","foundation","0","6","0%","69.5","https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"sila samadhi panna","Threefold Training","foundation","0","5","0%","1","https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhism-101/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"dhamma vs dharma","Dhamma vs Dharma","comparison","0","5","0%","5.4","https://echobuddha.com/articles/dhamma-vs-dharma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"difference between dhamma and dharma","Dhamma vs Dharma","comparison","0","5","0%","9.2","https://echobuddha.com/articles/dhamma-vs-dharma/ (inference; query x page not supplied)","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"sutta meaning","Sutta","source / dictionary","0","5","0%","13.8","https://echobuddha.com/learn/sutta-for-daily-life/ (inference; query x page not supplied)","https://echobuddha.com/learn/sutta-for-daily-life/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddha quotes patience","Patience","quote / practical application","0","5","0%","26.8","https://echobuddha.com/quotes/patience/ (inference; query x page not supplied)","https://echobuddha.com/articles/three-ways-to-practice-patience/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddha quotes on letting go","Letting Go / Non-Attachment","quote / practical application","0","5","0%","30","https://echobuddha.com/quotes/letting-go/ (inference; query x page not supplied)","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","Potentially healthy support-to-owner relationship","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"compassion quotes buddha","Compassion","teaching / quote","0","5","0%","44.8","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/ (inference; query x page not supplied)","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"buddha quotes compassion","Compassion","teaching / quote","0","5","0%","56.8","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/ (inference; query x page not supplied)","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"sangha meaning","Sangha","definition / foundation","0","5","0%","71","https://echobuddha.com/articles/what-is-sangha-buddhist-community/ (inference; query x page not supplied)","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
"what is the sangha","Sangha","definition / foundation","0","5","0%","78.6","https://echobuddha.com/articles/what-is-sangha-buddhist-community/ (inference; query x page not supplied)","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","Direct","Not proven","Low","Yes - anonymized/truncated queries","PROTECT / OBSERVE; no new query-variant page"
