URL,before state,after branch state,Phase 4 decision,inventory effect,sitemap state,evidence
https://echobuddha.com/404.html,NEUTRAL: URL is unknown to Google,UNCHANGED,HOLD,NONE,PRESERVED_PER_EXISTING_POLICY,Registry and build policy
https://echobuddha.com/about/,PASS: Submitted and indexed,UNCHANGED,RETAIN,NONE,PRESERVED_PER_EXISTING_POLICY,Registry and build policy
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,PASS: Submitted and indexed,UNCHANGED,RETAIN,NONE,PRESERVED_PER_EXISTING_POLICY,Registry and build policy
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,PASS: Submitted and indexed,UNCHANGED,RETAIN,NONE,PRESERVED_PER_EXISTING_POLICY,Registry and build policy
https://echobuddha.com/articles/buddhist-approach-to-anger/,PASS: Submitted and indexed,UNCHANGED,RETAIN,NONE,PRESERVED_PER_EXISTING_POLICY,Registry and build policy
https://echobuddha.com/articles/buddhist-gratitude-practice/,PASS: Submitted and indexed,UNCHANGED,RETAIN,NONE,PRESERVED_PER_EXISTING_POLICY,Registry and build policy
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,PASS: Submitted and indexed,UNCHANGED,RETAIN,NONE,PRESERVED_PER_EXISTING_POLICY,Registry and build policy
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,PASS: Submitted and indexed,UNCHANGED,RETAIN,NONE,PRESERVED_PER_EXISTING_POLICY,Registry and build policy
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,PASS: Submitted and indexed,UNCHANGED,SURGICAL_IN_PLACE_IMPROVEMENT,NONE,PRESERVED_PER_EXISTING_POLICY,Registry and build policy
https://echobuddha.com/articles/category/buddhist-wisdom/,PASS: Submitted and indexed,UNCHANGED,RETAIN,NONE,PRESERVED_PER_EXISTING_POLICY,Registry and build policy
https://echobuddha.com/articles/category/meditation/,PASS: Submitted and indexed,UNCHANGED,RETAIN,NONE,PRESERVED_PER_EXISTING_POLICY,Registry and build policy
