URL,Topic cluster,Role,Primary owner,Is primary owner?,Unique information gain,Does not own,Cannibalization risk,Future action,Human review,Evidence
https://echobuddha.com/articles/category/buddhist-wisdom/,Article Discovery,CATEGORY,https://echobuddha.com/articles/,No,"Orientation, selection, and meaningful navigation across the Article Discovery cluster.",This page does not own the broad Article Discovery explanation; that belongs to /articles/.,LOW,IMPROVE,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 685 words; 23 content headings; authored route; nearest /articles/category/practice/ combined overlap 19.7%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
https://echobuddha.com/articles/category/meditation/,Article Discovery,CATEGORY,https://echobuddha.com/articles/,No,"Orientation, selection, and meaningful navigation across the Article Discovery cluster.",This page does not own the broad Article Discovery explanation; that belongs to /articles/.,LOW,IMPROVE,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 354 words; 12 content headings; authored route; nearest /quotes/meditation/ combined overlap 25.1%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
https://echobuddha.com/articles/category/mindfulness/,Article Discovery,CATEGORY,https://echobuddha.com/articles/,No,"Orientation, selection, and meaningful navigation across the Article Discovery cluster.",This page does not own the broad Article Discovery explanation; that belongs to /articles/.,LOW,IMPROVE,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 253 words; 8 content headings; authored route; nearest /quotes/mindfulness/ combined overlap 31.0%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
https://echobuddha.com/articles/category/practice/,Buddhist Practice,CATEGORY,https://echobuddha.com/articles/category/practice/,Yes,"Orientation, selection, and meaningful navigation across the Buddhist Practice cluster.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 317 words; 10 content headings; authored route; nearest /articles/category/mindfulness/ combined overlap 20.4%; external source links 0; role review: CATEGORY; owner selection: The category organizes practical articles without owning their underlying Buddhist doctrines.
https://echobuddha.com/articles/category/reflection/,Article Discovery,CATEGORY,https://echobuddha.com/articles/,No,"Orientation, selection, and meaningful navigation across the Article Discovery cluster.",This page does not own the broad Article Discovery explanation; that belongs to /articles/.,LOW,IMPROVE,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 342 words; 12 content headings; authored route; nearest /articles/category/mindfulness/ combined overlap 19.7%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
https://echobuddha.com/articles/,Article Discovery,HUB,https://echobuddha.com/articles/,Yes,"Orientation, selection, and meaningful navigation across the Article Discovery cluster.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1490 words; 55 content headings; authored route; nearest /mindful-living/ combined overlap 25.5%; external source links 0; role review: HUB; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
https://echobuddha.com/daily-reflections/,Daily Reflections,HUB,https://echobuddha.com/daily-reflections/,Yes,"Orientation, selection, and meaningful navigation across the Daily Reflections cluster.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1782 words; 36 content headings; authored route; nearest /quotes/ combined overlap 20.6%; external source links 0; role review: HUB; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
https://echobuddha.com/,Site Discovery,HUB,https://echobuddha.com/,Yes,"Orientation, selection, and meaningful navigation across the Site Discovery cluster.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1002 words; 26 content headings; authored route; nearest n/a combined overlap 0.0%; external source links 0; role review: HUB; owner selection: The homepage introduces the publication and routes readers to clear owners without becoming a doctrine pillar.
https://echobuddha.com/learn/buddhism-101/,Buddhist Foundations,HUB,https://echobuddha.com/learn/buddhism-101/,Yes,"Orientation, selection, and meaningful navigation across the Buddhist Foundations cluster.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 612 words; 3 content headings; authored route; nearest /learn/buddhist-dictionary/ combined overlap 17.3%; external source links 2; role review: HUB; owner selection: The hub organizes foundational lessons whose individual concepts may have their own owners.
https://echobuddha.com/learn/buddhist-dictionary/,Buddhist Dictionary,HUB,https://echobuddha.com/learn/buddhist-dictionary/,Yes,"Orientation, selection, and meaningful navigation across the Buddhist Dictionary cluster.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 326 words; 2 content headings; authored route; nearest /learn/buddhism-101/ combined overlap 17.3%; external source links 2; role review: HUB; owner selection: The hub organizes term definitions; it does not own every broad doctrinal topic represented by its entries.
