URL,Primary owner,Unique source value,Unique explanatory value,Unique practical value,Unique scenario value,Unique cultural/context value,Unique safety value,Unique format value,Net information gain,Adequate to justify separate page?,Evidence
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,Not primary distinction,Not primary distinction,Daily-life examples or a repeatable application tied specifically to “Daily Mindfulness Practice for Beginners”.,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,Daily-life examples or a repeatable application tied specifically to “Daily Mindfulness Practice for Beginners”.,"Yes, if required differentiation is maintained","Phase 1: Built 2026-08-11T02:17:46.273Z; 1171 words; 26 content headings; authored route; nearest /articles/creating-a-peaceful-corner-at-home/ combined overlap 41.9%; external source links 0; role review: PRACTICAL_APPLICATION; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower."
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/learn/buddhism-for-beginners/,Not primary distinction,"A narrower explanation, misconception, or example set specific to “Buddhism for Beginners: A Simple Guide”.",Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,"A narrower explanation, misconception, or example set specific to “Buddhism for Beginners: A Simple Guide”.",No / Phase 3 review,Phase 1: Built 2026-08-11T02:17:46.273Z; 1426 words; 28 content headings; authored route; nearest /articles/eightfold-path-explained-daily-life/ combined overlap 39.6%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The strongest structured entry into basic Buddhist teaching and practice.
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Not primary distinction,"A narrower explanation, misconception, or example set specific to “Buddhist Teachings on Impermanence”.",Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,"A narrower explanation, misconception, or example set specific to “Buddhist Teachings on Impermanence”.","Yes, if required differentiation is maintained",Phase 1: Built 2026-08-11T02:17:46.273Z; 1267 words; 28 content headings; authored route; nearest /articles/impermanence-in-buddhism-letting-go/ combined overlap 43.9%; external source links 1; role review: SUPPORTING_EXPLANATION; owner selection: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Not primary distinction,Not primary distinction,Not primary distinction,Worked guidance for the specific situation named by “Buddhist Wisdom for Overthinking and a Busy Mind”.,Not primary distinction,Safety/adaptation boundary retained,Not primary distinction,Worked guidance for the specific situation named by “Buddhist Wisdom for Overthinking and a Busy Mind”.,"Yes, if required differentiation is maintained",Phase 1: Built 2026-08-11T02:17:46.273Z; 1366 words; 26 content headings; authored route; nearest /articles/mindfulness-for-better-sleep/ combined overlap 36.0%; external source links 0; role review: SCENARIO_GUIDE; owner selection: It owns the anxiety-specific gentle practice; overthinking remains a related but distinct thought-loop scenario.
https://echobuddha.com/articles/category/buddhist-wisdom/,https://echobuddha.com/articles/,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,"Orientation, selection, and meaningful navigation across the Article Discovery cluster.","Orientation, selection, and meaningful navigation across the Article Discovery cluster.","Yes, if required differentiation is maintained","Phase 1: Built 2026-08-11T02:17:46.273Z; 685 words; 23 content headings; authored route; nearest /articles/category/practice/ combined overlap 19.7%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
https://echobuddha.com/articles/category/meditation/,https://echobuddha.com/articles/,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,"Orientation, selection, and meaningful navigation across the Article Discovery cluster.","Orientation, selection, and meaningful navigation across the Article Discovery cluster.","Yes, if required differentiation is maintained","Phase 1: Built 2026-08-11T02:17:46.273Z; 354 words; 12 content headings; authored route; nearest /quotes/meditation/ combined overlap 25.1%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
https://echobuddha.com/articles/category/mindfulness/,https://echobuddha.com/articles/,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,"Orientation, selection, and meaningful navigation across the Article Discovery cluster.","Orientation, selection, and meaningful navigation across the Article Discovery cluster.","Yes, if required differentiation is maintained","Phase 1: Built 2026-08-11T02:17:46.273Z; 253 words; 8 content headings; authored route; nearest /quotes/mindfulness/ combined overlap 31.0%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
https://echobuddha.com/articles/category/reflection/,https://echobuddha.com/articles/,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,"Orientation, selection, and meaningful navigation across the Article Discovery cluster.","Orientation, selection, and meaningful navigation across the Article Discovery cluster.","Yes, if required differentiation is maintained","Phase 1: Built 2026-08-11T02:17:46.273Z; 342 words; 12 content headings; authored route; nearest /articles/category/mindfulness/ combined overlap 19.7%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching."
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Not primary distinction,Not primary distinction,Daily-life examples or a repeatable application tied specifically to “Compassion as a Daily Buddhist Practice”.,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,Daily-life examples or a repeatable application tied specifically to “Compassion as a Daily Buddhist Practice”.,"Yes, if required differentiation is maintained","Phase 1: Built 2026-08-11T02:17:46.273Z; 1220 words; 28 content headings; authored route; nearest /articles/compassion-in-buddhism-beginner-guide/ combined overlap 40.4%; external source links 1; role review: PRACTICAL_APPLICATION; owner selection: It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs."
https://echobuddha.com/articles/compassion-with-boundaries/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Not primary distinction,Not primary distinction,Not primary distinction,Worked guidance for the specific situation named by “Compassion With Boundaries in Buddhist Practice”.,Not primary distinction,Not primary distinction,Not primary distinction,Worked guidance for the specific situation named by “Compassion With Boundaries in Buddhist Practice”.,"Yes, if required differentiation is maintained","Phase 1: Built 2026-08-11T02:17:46.273Z; 735 words; 20 content headings; authored route; nearest /articles/compassion-in-buddhism-beginner-guide/ combined overlap 42.0%; external source links 2; role review: SCENARIO_GUIDE; owner selection: It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs."
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,https://echobuddha.com/meditation/,Not primary distinction,Not primary distinction,Not primary distinction,Worked guidance for the specific situation named by “Create a Peaceful Meditation Corner”.,Not primary distinction,Safety/adaptation boundary retained,Not primary distinction,Worked guidance for the specific situation named by “Create a Peaceful Meditation Corner”.,"Yes, if required differentiation is maintained",Phase 1: Built 2026-08-11T02:17:46.273Z; 1154 words; 26 content headings; authored route; nearest /articles/beginning-a-daily-mindfulness-practice/ combined overlap 41.9%; external source links 0; role review: SCENARIO_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.
https://echobuddha.com/articles/dhamma-vs-dharma/,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,Not primary distinction,Direct distinction between concepts that readers commonly confuse in “Dhamma vs Dharma: Buddhist Meaning and Spelling”.,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,Not primary distinction,Direct distinction between concepts that readers commonly confuse in “Dhamma vs Dharma: Buddhist Meaning and Spelling”.,"Yes, if required differentiation is maintained",Phase 1: Built 2026-08-11T02:17:46.273Z; 875 words; 21 content headings; authored route; nearest /articles/visiting-a-buddhist-temple-respectfully/ combined overlap 45.2%; external source links 3; role review: COMPARISON_PAGE; owner selection: The dictionary page owns meaning and linguistic context; the article owns the comparison question.
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,https://echobuddha.com/learn/dhammapada-reflections/,"Source-specific study, attribution, translation context, or textual interpretation for “Dhammapada Reflection on a Trained Mind and Peace”.",Not primary distinction,Not primary distinction,Not primary distinction,Requires source/tradition boundary review,Not primary distinction,Not primary distinction,"Source-specific study, attribution, translation context, or textual interpretation for “Dhammapada Reflection on a Trained Mind and Peace”.","Yes, if required differentiation is maintained","Phase 1: Built 2026-08-11T02:17:46.273Z; 1193 words; 26 content headings; authored route; nearest /articles/dhammapada-reflection-what-we-think/ combined overlap 39.5%; external source links 0; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
