query_or_topic,gsc_evidence,current_owner,owner_role,performance_class,status,decision,rationale
Buddhism for beginners,68 visible query impressions,https://echobuddha.com/learn/buddhism-for-beginners/,broad beginner hub,Class B,PROTECT,REJECT_NEW_PAGE,Existing owner is explicit and already recognized; support without another broad guide.
Dhamma or Dharma comparison,110+ visible comparison-query impressions,https://echobuddha.com/articles/dhamma-vs-dharma/,comparison article,Class A,PROTECT,REJECT_NEW_PAGE,Position 6-9 across several variants; a duplicate comparison would split a strong intent.
Dhamma meaning,109 page impressions plus many definition queries,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,dictionary definition,Class B,PROTECT_AND_OBSERVE,REJECT_NEW_PAGE,Dictionary page owns broad meaning while comparison article owns spelling/tradition context.
Threefold Training / sila samadhi panna,19 query impressions at position 1,https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,learning reference,Class A,PROTECT,REJECT_NEW_PAGE,Strong exact-intent owner; no title H1 or core-content change.
Right Speech,45+ visible query impressions,https://echobuddha.com/articles/right-speech-buddhism/,practical cornerstone,Class B,PROTECT_AND_OBSERVE,INTERNAL_LINK_SUPPORT,Existing source-study and examples pages already provide differentiated support.
Right Speech sutta,4 query impressions at position 10.75,https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,source-study page,Class B,PROTECT,REJECT_NEW_PAGE,Exact source-study intent already has an owner.
Dhammapada Verse 1 attribution and translation,30+ visible query impressions near positions 6-10,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,source/attribution study,Class A,PROTECT,REJECT_NEW_PAGE,Do not create another “what we think we become” page.
Letting-go quotes,90+ visible query impressions,https://echobuddha.com/quotes/letting-go/,quote category,Class B,PROTECT_AND_OBSERVE,REJECT_NEW_PAGE,No quote-story expansion; category owns collection intent.
Patience quotes,50+ visible query impressions,https://echobuddha.com/quotes/patience/,quote category,Class B,PROTECT_AND_OBSERVE,REJECT_NEW_PAGE,No quote-story expansion; attribution risk exceeds incremental value.
Sangha meaning and community,45+ visible query impressions,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,cornerstone guide,Class C,PROTECT_AND_OBSERVE,REJECT_NEW_PAGE,Dictionary page remains concise support; no second general Sangha page.
Five Precepts,14+ visible query impressions,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,definition owner,Class C,PROTECT_AND_OBSERVE,REJECT_NEW_PAGE,Daily-life article already supplies applied support.
Three Poisons,30+ visible query impressions,https://echobuddha.com/articles/three-poisons-buddhism-explained/,cornerstone guide,Class C,PROTECT_AND_OBSERVE,REJECT_NEW_PAGE,Current article owns the broad explanation.
Sutta meaning,7 visible query impressions near positions 10-14,https://echobuddha.com/learn/buddhist-dictionary/sutta/,dictionary definition,Class B,PROTECT,REJECT_NEW_PAGE,Definition intent is already adequately answered.
How to read a Buddhist sutta,no direct visible query row; supported by sutta/Pali Canon recognition and source-literacy mission,none,practical source-literacy guide,New gap,NEW_SUPPORT_PAGE_CANDIDATE,CREATE_NEW_PAGE,Genuinely different job from defining a sutta or explaining one named discourse.
Pali Canon meaning,7 visible query impressions,https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,dictionary definition,Class C,PROTECT_AND_OBSERVE,REJECT_NEW_PAGE,Current page explains Tipitaka scope and tradition limits; no duplicate beginner definition.
Taking refuge / Three Jewels,no meaningful visible demand row,https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,learning reference,Class D,PROTECT,REJECT_NEW_PAGE,Current lesson already explains refuge and gives a daily-life example.
Craving versus desire / clinging,no meaningful visible demand row,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,practical cornerstone,Class C,PROTECT_AND_OBSERVE,REJECT_NEW_PAGE,Existing owner explicitly distinguishes preference craving clinging care and control.
Equanimity versus indifference,limited Brahmavihara demand,https://echobuddha.com/articles/equanimity-in-buddhism/,primary explainer,Class D,PROTECT,REJECT_NEW_PAGE,Existing page owns the misconception and balanced-care intent.
Generosity / dana,no visible GSC demand,none,possible foundation lesson,Future gap,NEW_SUPPORT_PAGE_CANDIDATE,DEFER_P2,Strategically relevant but weaker first-party evidence than the source-literacy gap.
Mudita / appreciative joy,limited Brahmavihara demand,https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,integrated framework owner,Future gap,PROTECT_AND_OBSERVE,DEFER_P2,Integrated page is adequate for now; individual page needs stronger demand and differentiation evidence.
