URL,Schema type,Author value,Publisher value,Person entity,Organization entity,datePublished,dateModified,sameAs,Credential fields,Reviewer fields,Visible match?,Verified,Issue,Action,Validation
https://echobuddha.com/404.html,,Not required/present,Global Organization only,None,None,,,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/about/,AboutPage | Organization,Not required/present,Echo Buddha,None,Present,,,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-06-01,2026-07-01,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-06-24,2026-07-01,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-06-17,2026-07-01,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-07-13,2026-07-13,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-06-25,2026-06-25,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-06-19,2026-07-01,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-06-26,2026-06-26,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/category/buddhist-wisdom/,CollectionPage | Blog | ItemList | ListItem,Not required/present,Global Organization only,None,None,,,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/category/meditation/,CollectionPage | Blog | ItemList | ListItem,Not required/present,Global Organization only,None,None,,,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/category/mindfulness/,CollectionPage | Blog | ItemList | ListItem,Not required/present,Global Organization only,None,None,,,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/category/practice/,CollectionPage | Blog | ItemList | ListItem,Not required/present,Global Organization only,None,None,,,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/category/reflection/,CollectionPage | Blog | ItemList | ListItem,Not required/present,Global Organization only,None,None,,,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-05-18,2026-07-01,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-07-01,2026-07-01,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-08-05,2026-08-06,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-03-03,2026-07-01,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-08-05,2026-08-06,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-07-01,2026-07-01,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-07-01,2026-07-01,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-08-05,2026-08-06,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-06-21,2026-07-01,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/eightfold-path-explained/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-06-26,2026-06-26,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/equanimity-in-buddhism/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-07-13,2026-07-13,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-08-05,2026-08-06,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/five-precepts-in-daily-life/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-07-13,2026-07-13,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,BlogPosting | Organization | Organization | ImageObject,Echo Buddha Editorial,Echo Buddha,None,Present,2026-07-01,2026-07-01,None,None,None,Yes,Yes,None,Central entities used on authored/publisher templates,PASS
