requested_url,final_url,http_status,content_type,robots,canonical,in_production_sitemap,title,meta_description,h1,structured_data_types,approximate_word_count,response_ms,cache_control,cf_cache_status,source_local_parity,result,error
https://echobuddha.com/,https://echobuddha.com/,200,text/html,,https://echobuddha.com/,yes,Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,"Explore simple Buddhist teachings, daily reflections, quote meanings, beginner meditation guides, and mindfulness practices for a calmer everyday life.",Echo Buddha,WebSite|SearchAction|Organization|ImageObject|BreadcrumbList|ListItem|FAQPage|Question|Answer|ItemList,1206,21,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/robots.txt,https://echobuddha.com/robots.txt,200,text/plain; charset=utf-8,,,no,,,,,288,25,,,mostly_confirmed,pass,
https://echobuddha.com/sitemap.xml,https://echobuddha.com/sitemap.xml,200,application/xml,,,no,,,,,310,25,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/site.webmanifest,https://echobuddha.com/site.webmanifest,200,application/manifest+json,,,no,,,,,69,25,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/start-here/,https://echobuddha.com/start-here/,200,text/html,,https://echobuddha.com/start-here/,yes,Start Here - Begin Your Buddhist Wisdom and Mindfulness Journey | Echo Buddha,"New to Echo Buddha? Start with simple Buddhist teachings, beginner meditation, daily reflections, and practical mindfulness guidance.",Begin Your Buddhist Wisdom and Mindfulness Journey,CollectionPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,601,28,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/learn/buddhist-resources/,https://echobuddha.com/learn/buddhist-resources/,200,text/html,,https://echobuddha.com/learn/buddhist-resources/,yes,Buddhist Resources | Echo Buddha,"A curated Echo Buddha resource page for Buddhist texts, meditation learning, dictionaries, beginner Buddhism, Sri Lankan resources, and global Buddhist study.",Buddhist Resources,CollectionPage|BreadcrumbList|ListItem,558,29,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/articles/four-noble-truths-explained-simply/,https://echobuddha.com/articles/four-noble-truths-explained-simply/,200,text/html,,https://echobuddha.com/articles/four-noble-truths-explained-simply/,yes,Four Noble Truths Explained Simply for Beginners | Echo Buddha,"A simple explanation of the Four Noble Truths with daily examples, reflection prompts, and practical Buddhist wisdom.",The Four Noble Truths Explained Simply,Organization|ImageObject|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,1688,29,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,200,text/html,,https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,yes,Original Mindfulness Reflection: A peaceful mind begins with... | Echo Buddha,An original Echo Buddha reflection on mindfulness practice through the quote &quot;A peaceful mind begins with one honest breath.&quot;,Original Mindfulness Reflection: A peaceful mind begins with...,WebPage|Organization|Thing|Quotation|CollectionPage|BreadcrumbList|ListItem,906,29,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/daily-reflections/today/,https://echobuddha.com/daily-reflections/today/,200,text/html,"noindex, follow",https://echobuddha.com/daily-reflections/today/,no,Today&#39;s Buddhist Reflection Prompt | Echo Buddha,Open a recurring daily reflection prompt selected from Echo Buddha,Today's Buddhist Reflection Prompt,WebPage|Organization|CollectionPage|BreadcrumbList|ListItem,2191,26,"public, max-age=0, must-revalidate",HIT,sample_review,pass,
https://echobuddha.com/daily-reflections/one-honest-breath/,https://echobuddha.com/daily-reflections/one-honest-breath/,200,text/html,,https://echobuddha.com/daily-reflections/one-honest-breath/,yes,Return Through One Honest Breath - Daily Buddhist Reflection | Echo Buddha,"The breath does not ask you to be perfect. It simply offers a place to begin again. Includes meaning, daily-life example, practice, journal question, and related Buddhist teachings.",Return Through One Honest Breath,WebPage|Organization|Thing|CollectionPage|BreadcrumbList|ListItem,498,27,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/meditation/breathing-meditation/,https://echobuddha.com/meditation/breathing-meditation/,200,text/html,,https://echobuddha.com/meditation/breathing-meditation/,yes,Breathing Meditation | Echo Buddha,"Learn a simple breathing meditation practice for steady attention, mindful returning, and daily calm without forcing the breath.",Breathing Meditation,Article|Organization|BreadcrumbList|ListItem,573,24,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/search/,https://echobuddha.com/search/,200,text/html,"noindex, follow",https://echobuddha.com/search/,no,Search Echo Buddha | Echo Buddha,"Search Echo Buddha for Buddhist teachings, meditation guides, Dhammapada reflections, quotes, and beginner-friendly wisdom for daily life.",Search Echo Buddha,,226,27,"public, max-age=0, must-revalidate",HIT,sample_review,pass,
https://echobuddha.com/tools/,https://echobuddha.com/tools/,200,text/html,,https://echobuddha.com/tools/,yes,Buddhist Mindfulness Tools and Daily Practice Resources | Echo Buddha,"Use simple mindfulness tools including a daily reflection generator, Buddhist quote tool, meditation timer, breathing timer, and 7-day practice path.",Buddhist Mindfulness Tools and Daily Practice Resources,CollectionPage|ItemList|ListItem|BreadcrumbList,544,26,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/about/,https://echobuddha.com/about/,200,text/html,,https://echobuddha.com/about/,yes,About Echo Buddha | Echo Buddha,Learn about Echo Buddha,About Echo Buddha,AboutPage|Organization,465,27,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/contact/,https://echobuddha.com/contact/,200,text/html,,https://echobuddha.com/contact/,yes,Contact | Echo Buddha,"Contact Echo Buddha with questions, suggestions, article ideas, or general feedback about the website.",Contact Echo Buddha,ContactPage|Organization,255,26,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/editorial-policy/,https://echobuddha.com/editorial-policy/,200,text/html,,https://echobuddha.com/editorial-policy/,yes,Editorial Policy | Echo Buddha,"Read the Echo Buddha editorial policy covering content purpose, originality, review, corrections, and responsible limitations.",Editorial Policy,WebPage|Organization,616,28,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/privacy-policy/,https://echobuddha.com/privacy-policy/,200,text/html,,https://echobuddha.com/privacy-policy/,yes,Privacy Policy | Echo Buddha,"Read how Echo Buddha handles analytics, cookies, advertising technologies, email messages, and privacy choices.",Privacy Policy,PrivacyPolicy|Organization,556,23,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/terms-of-use/,https://echobuddha.com/terms-of-use/,200,text/html,,https://echobuddha.com/terms-of-use/,yes,Terms of Use | Echo Buddha,"Read the terms for using Echo Buddha articles, original quotes, meditation guidance, and educational resources.",Terms of Use,WebPage|Organization,256,26,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/disclaimer/,https://echobuddha.com/disclaimer/,200,text/html,,https://echobuddha.com/disclaimer/,yes,Disclaimer | Echo Buddha,"Read the Echo Buddha disclaimer about educational content, meditation guidance, wellness topics, and spiritual study.",Disclaimer,WebPage|Organization,361,26,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/authors/echo-buddha-editorial/,https://echobuddha.com/authors/echo-buddha-editorial/,200,text/html,,https://echobuddha.com/authors/echo-buddha-editorial/,yes,Echo Buddha Editorial | Echo Buddha,"Meet the Echo Buddha Editorial voice behind accessible Buddhist-inspired wisdom, mindfulness, reflection, and meditation education.",Echo Buddha Editorial,ProfilePage|Organization,453,25,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
https://echobuddha.com/missing-audit-url-final-production-audit/,https://echobuddha.com/missing-audit-url-final-production-audit/,404,,,,no,,,,,0,21,,,sample_review,expected_for_invalid_url,
https://echobuddha.com/learn/,https://echobuddha.com/learn/,200,text/html,,https://echobuddha.com/learn/,yes,Learn Buddhist Wisdom for Daily Life | Echo Buddha,Explore Echo Buddha,Learn Buddhist Wisdom for Daily Life,CollectionPage|WebSite|BreadcrumbList|ListItem,572,27,"public, max-age=0, must-revalidate",HIT,mostly_confirmed,pass,
