URL,Current title,Current H1,Page role,Audience,Primary intent,Primary owner,Why this page exists,This page does not own,Sections to preserve,Sections to strengthen,Sections to remove,Sections to merge,New information required,New sources required,New examples required,Misconceptions to address,Practice improvements,Safety requirements,Next-step links,Metadata change needed?,Expected final role,Editor notes
https://echobuddha.com/learn/buddhism-for-beginners/,Buddhism for Beginners - Simple Buddhist Teachings | Echo Buddha,Buddhism for Beginners,PRIMARY_PILLAR,BEGINNER,beginner informational,https://echobuddha.com/learn/buddhism-for-beginners/,This page exists as Echo Buddha's protected owner for Beginner Buddhism: The strongest structured entry into basic Buddhist teaching and practice.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","Accurate definitions, useful examples, existing safety boundaries, stable URL/title/H1, and best next-step links.","Strengthen the main beginner study map with doctrine/practice boundaries, a decision path, and clearer tradition/source limits.",Only demonstrably generic filler or repeated explanation; preserve substantive claims.,Merge repeated introductory context into a concise role statement where needed.,"Strengthen the main beginner study map with doctrine/practice boundaries, a decision path, and clearer tradition/source limits.",Authoritative canonical/source support for claim groups and interpretation boundaries.,Only where it materially clarifies the assigned page role.,Only the page-specific misconception named in the remediation problem.,Use one concept-derived observation or decision practice; do not append generic pause/breathe advice.,"Avoid medical, universal-tradition, identity, credential, or certainty claims.",Support → https://echobuddha.com/learn/buddhism-for-beginners/; owner → no more than three genuinely distinct support/source/practice routes.,No by default; only if the edited role is currently misrepresented.,PRIMARY_PILLAR,MATERIAL_REMEDIATION; source file src/pages/learn/buddhism-for-beginners.astro; pre-edit rendered words 610. Phase 3 index policy must remain unchanged.
https://echobuddha.com/learn/four-noble-truths/,Four Noble Truths Explained for Beginners | Echo Buddha,The Four Noble Truths Explained for Beginners,PRIMARY_PILLAR,BEGINNER,foundational informational,https://echobuddha.com/learn/four-noble-truths/,This page exists as Echo Buddha's protected owner for Four Noble Truths: The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","Accurate definitions, useful examples, existing safety boundaries, stable URL/title/H1, and best next-step links.","Turn the thin card hub into the clear primary owner: define each truth, distinguish pain from added reactivity, explain the four tasks, and add a worked case.",Only demonstrably generic filler or repeated explanation; preserve substantive claims.,Merge repeated introductory context into a concise role statement where needed.,"Turn the thin card hub into the clear primary owner: define each truth, distinguish pain from added reactivity, explain the four tasks, and add a worked case.",Authoritative canonical/source support for claim groups and interpretation boundaries.,Only where it materially clarifies the assigned page role.,Only the page-specific misconception named in the remediation problem.,Use one concept-derived observation or decision practice; do not append generic pause/breathe advice.,"Avoid medical, universal-tradition, identity, credential, or certainty claims.",Support → https://echobuddha.com/learn/four-noble-truths/; owner → no more than three genuinely distinct support/source/practice routes.,No by default; only if the edited role is currently misrepresented.,PRIMARY_PILLAR,MATERIAL_REMEDIATION; source file src/pages/learn/four-noble-truths.astro; pre-edit rendered words 439. Phase 3 index policy must remain unchanged.
https://echobuddha.com/learn/eightfold-path/,Noble Eightfold Path for Daily Life | Echo Buddha,The Noble Eightfold Path for Daily Life,PRIMARY_PILLAR,BEGINNER,foundational informational,https://echobuddha.com/learn/eightfold-path/,"This page exists as Echo Buddha's protected owner for Noble Eightfold Path: The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","Accurate definitions, useful examples, existing safety boundaries, stable URL/title/H1, and best next-step links.","Strengthen the primary path owner with threefold training, mutually supporting factors, a worked scenario, and careful meaning of right.",Only demonstrably generic filler or repeated explanation; preserve substantive claims.,Merge repeated introductory context into a concise role statement where needed.,"Strengthen the primary path owner with threefold training, mutually supporting factors, a worked scenario, and careful meaning of right.",Authoritative canonical/source support for claim groups and interpretation boundaries.,Only where it materially clarifies the assigned page role.,Only the page-specific misconception named in the remediation problem.,Use one concept-derived observation or decision practice; do not append generic pause/breathe advice.,"Avoid medical, universal-tradition, identity, credential, or certainty claims.",Support → https://echobuddha.com/learn/eightfold-path/; owner → no more than three genuinely distinct support/source/practice routes.,No by default; only if the edited role is currently misrepresented.,PRIMARY_PILLAR,MATERIAL_REMEDIATION; source file src/pages/learn/eightfold-path.astro; pre-edit rendered words 510. Phase 3 index policy must remain unchanged.
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,What Is Buddhism? A Clear Beginner&#39;s Guide | Echo Buddha,What Is Buddhism?,BEGINNER_FOUNDATION,BEGINNER,beginner informational,https://echobuddha.com/learn/buddhism-for-beginners/,"This page exists to serve beginner informational within Beginner Buddhism through a narrower explanation, misconception, or example set specific to “What Is Buddhism? A Clear Beginner's Guide”.",This page does not own the broad Beginner Buddhism explanation; that belongs to /learn/buddhism-for-beginners/.,"Accurate definitions, useful examples, existing safety boundaries, stable URL/title/H1, and best next-step links.",Clarify Buddhism as a diverse living tradition and practice path without flattening schools or presenting generic wellness.,Only demonstrably generic filler or repeated explanation; preserve substantive claims.,Merge repeated introductory context into a concise role statement where needed.,Clarify Buddhism as a diverse living tradition and practice path without flattening schools or presenting generic wellness.,Authoritative canonical/source support for claim groups and interpretation boundaries.,Only where it materially clarifies the assigned page role.,Only the page-specific misconception named in the remediation problem.,Use one concept-derived observation or decision practice; do not append generic pause/breathe advice.,"Avoid medical, universal-tradition, identity, credential, or certainty claims.",Support → https://echobuddha.com/learn/buddhism-for-beginners/; owner → no more than three genuinely distinct support/source/practice routes.,No by default; only if the edited role is currently misrepresented.,BEGINNER_FOUNDATION,MATERIAL_REMEDIATION; source file src/data/learn.ts; pre-edit rendered words 621. Phase 3 index policy must remain unchanged.
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,What Is Karma in Buddhism? A Beginner&#39;s Guide | Echo Buddha,What Is Karma in Buddhism?,PRIMARY_PILLAR,BEGINNER,foundational informational,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,This page exists as Echo Buddha's protected owner for Karma: The lesson owns the broad Buddhist meaning; the article applies intention and consequence to daily choices.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","Accurate definitions, useful examples, existing safety boundaries, stable URL/title/H1, and best next-step links.","Ground karma in intentional action, distinguish it from fate/blame, and clarify what cannot be inferred about another person's suffering.",Only demonstrably generic filler or repeated explanation; preserve substantive claims.,Merge repeated introductory context into a concise role statement where needed.,"Ground karma in intentional action, distinguish it from fate/blame, and clarify what cannot be inferred about another person's suffering.",Authoritative canonical/source support for claim groups and interpretation boundaries.,Only where it materially clarifies the assigned page role.,"Karma is not fate, cosmic punishment, or permission to blame suffering.",Use one concept-derived observation or decision practice; do not append generic pause/breathe advice.,"Avoid medical, universal-tradition, identity, credential, or certainty claims.",Support → https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/; owner → no more than three genuinely distinct support/source/practice routes.,No by default; only if the edited role is currently misrepresented.,PRIMARY_PILLAR,MATERIAL_REMEDIATION; source file src/data/learn.ts; pre-edit rendered words 556. Phase 3 index policy must remain unchanged.
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,What Is Impermanence? | Echo Buddha,What Is Impermanence?,PRIMARY_PILLAR,BEGINNER,foundational informational,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,This page exists as Echo Buddha's protected owner for Impermanence: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","Accurate definitions, useful examples, existing safety boundaries, stable URL/title/H1, and best next-step links.",Explain anicca as insight into conditioned experience rather than a slogan that all loss is easy to accept.,Only demonstrably generic filler or repeated explanation; preserve substantive claims.,Merge repeated introductory context into a concise role statement where needed.,Explain anicca as insight into conditioned experience rather than a slogan that all loss is easy to accept.,Authoritative canonical/source support for claim groups and interpretation boundaries.,Only where it materially clarifies the assigned page role.,Only the page-specific misconception named in the remediation problem.,Use one concept-derived observation or decision practice; do not append generic pause/breathe advice.,"Avoid medical, universal-tradition, identity, credential, or certainty claims.",Support → https://echobuddha.com/learn/buddhism-101/what-is-impermanence/; owner → no more than three genuinely distinct support/source/practice routes.,No by default; only if the edited role is currently misrepresented.,PRIMARY_PILLAR,MATERIAL_REMEDIATION; source file src/data/learn.ts; pre-edit rendered words 564. Phase 3 index policy must remain unchanged.
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,The Five Precepts in Buddhism: A Beginner&#39;s Guide to Ethical Living | Echo Buddha,The Five Precepts in Buddhism,PRIMARY_PILLAR,BEGINNER,foundational informational,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,This page exists as Echo Buddha's protected owner for Five Precepts: The lesson owns the ethical framework; practical articles show application without redefining it.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","Accurate definitions, useful examples, existing safety boundaries, stable URL/title/H1, and best next-step links.","Protect an already substantial ethics page; verify its voluntary-training, consent, intoxicant, repair, and non-shame framing.",None before review.,Merge repeated introductory context into a concise role statement where needed.,"Protect an already substantial ethics page; verify its voluntary-training, consent, intoxicant, repair, and non-shame framing.",Authoritative canonical/source support for claim groups and interpretation boundaries.,Only where it materially clarifies the assigned page role.,Only the page-specific misconception named in the remediation problem.,Use one concept-derived observation or decision practice; do not append generic pause/breathe advice.,"Avoid medical, universal-tradition, identity, credential, or certainty claims.",Support → https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/; owner → no more than three genuinely distinct support/source/practice routes.,No by default; only if the edited role is currently misrepresented.,PRIMARY_PILLAR,NO_CHANGE_REVIEW; source file src/data/learn.ts; pre-edit rendered words 1582. Phase 3 index policy must remain unchanged.
https://echobuddha.com/articles/three-poisons-buddhism-explained/,"Three Poisons in Buddhism: Greed, Aversion, and Delusion | Echo Buddha","The Three Poisons in Buddhism: Greed, Hatred, and Delusion Explained",PRIMARY_PILLAR,BEGINNER,foundational informational,https://echobuddha.com/articles/three-poisons-buddhism-explained/,"This page exists as Echo Buddha's protected owner for Three Poisons: It is the only substantial broad explainer of greed, aversion, and delusion.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","Accurate definitions, useful examples, existing safety boundaries, stable URL/title/H1, and best next-step links.","Protect a distinct broad explainer if its roots, examples, and next steps already satisfy the role.",None before review.,Merge repeated introductory context into a concise role statement where needed.,"Protect a distinct broad explainer if its roots, examples, and next steps already satisfy the role.",Authoritative canonical/source support for claim groups and interpretation boundaries.,Only where it materially clarifies the assigned page role.,Only the page-specific misconception named in the remediation problem.,Use one concept-derived observation or decision practice; do not append generic pause/breathe advice.,"Avoid medical, universal-tradition, identity, credential, or certainty claims.",Support → https://echobuddha.com/articles/three-poisons-buddhism-explained/; owner → no more than three genuinely distinct support/source/practice routes.,No by default; only if the edited role is currently misrepresented.,PRIMARY_PILLAR,NO_CHANGE_REVIEW; source file src/data/site.ts; pre-edit rendered words 2302. Phase 3 index policy must remain unchanged.
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,What Is Sangha? Buddhist Community for Beginners | Echo Buddha,What Is Sangha? Why Buddhist Community Matters for Beginners,PRIMARY_PILLAR,BEGINNER,foundational informational,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,This page exists as Echo Buddha's protected owner for Sangha: It provides the fuller community explanation; the dictionary and temple guide have narrower roles.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","Accurate definitions, useful examples, existing safety boundaries, stable URL/title/H1, and best next-step links.",Protect the broad community owner if it already distinguishes monastic and wider community usage carefully.,None before review.,Merge repeated introductory context into a concise role statement where needed.,Protect the broad community owner if it already distinguishes monastic and wider community usage carefully.,"Only if a factual, safety, linguistic, or historical claim needs support.",Only where it materially clarifies the assigned page role.,Only the page-specific misconception named in the remediation problem.,Use one concept-derived observation or decision practice; do not append generic pause/breathe advice.,"Avoid medical, universal-tradition, identity, credential, or certainty claims.",Support → https://echobuddha.com/articles/what-is-sangha-buddhist-community/; owner → no more than three genuinely distinct support/source/practice routes.,No by default; only if the edited role is currently misrepresented.,PRIMARY_PILLAR,NO_CHANGE_REVIEW; source file src/data/site.ts; pre-edit rendered words 2189. Phase 3 index policy must remain unchanged.
https://echobuddha.com/learn/buddhist-dictionary/metta/,Metta Meaning: Loving-Kindness in Buddhism | Echo Buddha,Metta,PRIMARY_PILLAR,BEGINNER,definitional,https://echobuddha.com/learn/buddhist-dictionary/metta/,This page exists as Echo Buddha's protected owner for Loving-Kindness / Metta: The term page should own metta meaning while meditation pages own practices and scripts.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.","Accurate definitions, useful examples, existing safety boundaries, stable URL/title/H1, and best next-step links.","Strengthen the primary metta meaning owner: Pali context, goodwill rather than sentiment, related terms, ethical boundary, and route to practice.",Only demonstrably generic filler or repeated explanation; preserve substantive claims.,Merge repeated introductory context into a concise role statement where needed.,"Strengthen the primary metta meaning owner: Pali context, goodwill rather than sentiment, related terms, ethical boundary, and route to practice.",Authoritative canonical/source support for claim groups and interpretation boundaries.,Only where it materially clarifies the assigned page role.,"Metta is cultivated goodwill, not compulsory affection or unsafe access.",Use one concept-derived observation or decision practice; do not append generic pause/breathe advice.,"Avoid medical, universal-tradition, identity, credential, or certainty claims.",Support → https://echobuddha.com/learn/buddhist-dictionary/metta/; owner → no more than three genuinely distinct support/source/practice routes.,No by default; only if the edited role is currently misrepresented.,PRIMARY_PILLAR,MATERIAL_REMEDIATION; source file src/data/learn.ts; pre-edit rendered words 507. Phase 3 index policy must remain unchanged.
