URL,viewport,raw_title,rendered_title,raw_canonical,rendered_canonical,raw_robots,rendered_robots,raw_h1,rendered_h1,critical_signal_diff,evidence,result
https://echobuddha.com/,DESKTOP_AND_MOBILE,Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,https://echobuddha.com/,https://echobuddha.com/,"index, follow","index, follow",Echo Buddha,Echo Buddha,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
https://echobuddha.com/start-here/,DESKTOP_AND_MOBILE,Start Here - Begin Your Buddhist Wisdom and Mindfulness Journey | Echo Buddha,Start Here - Begin Your Buddhist Wisdom and Mindfulness Journey | Echo Buddha,https://echobuddha.com/start-here/,https://echobuddha.com/start-here/,"index, follow","index, follow",Begin Your Buddhist Wisdom and Mindfulness Journey,Begin Your Buddhist Wisdom and Mindfulness Journey,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,DESKTOP_AND_MOBILE,Buddhist Wisdom for Overthinking and a Busy Mind | Echo Buddha,Buddhist Wisdom for Overthinking and a Busy Mind | Echo Buddha,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,"index, follow","index, follow",Buddhist Wisdom for Overthinking: How to Calm a Busy Mind,Buddhist Wisdom for Overthinking: How to Calm a Busy Mind,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,DESKTOP_AND_MOBILE,How to Let Go of Attachment in Buddhism | Echo Buddha,How to Let Go of Attachment in Buddhism | Echo Buddha,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,"index, follow","index, follow",How to Let Go of Attachment in Buddhism,How to Let Go of Attachment in Buddhism,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
https://echobuddha.com/learn/,DESKTOP_AND_MOBILE,Learn Buddhist Wisdom for Daily Life | Echo Buddha,Learn Buddhist Wisdom for Daily Life | Echo Buddha,https://echobuddha.com/learn/,https://echobuddha.com/learn/,"index, follow","index, follow",Learn Buddhist Wisdom for Daily Life,Learn Buddhist Wisdom for Daily Life,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
https://echobuddha.com/learn/buddhist-dictionary/anicca/,DESKTOP_AND_MOBILE,Anicca Meaning: Impermanence in Buddhism Explained Simply | Echo Buddha,Anicca Meaning: Impermanence in Buddhism Explained Simply | Echo Buddha,https://echobuddha.com/learn/buddhist-dictionary/anicca/,https://echobuddha.com/learn/buddhist-dictionary/anicca/,"index, follow","index, follow",Anicca,Anicca,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
https://echobuddha.com/meditation/breathing-meditation/,DESKTOP_AND_MOBILE,Breathing Meditation | Echo Buddha,Breathing Meditation | Echo Buddha,https://echobuddha.com/meditation/breathing-meditation/,https://echobuddha.com/meditation/breathing-meditation/,"index, follow","index, follow",Breathing Meditation,Breathing Meditation,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
https://echobuddha.com/quotes/,DESKTOP_AND_MOBILE,Original Buddhist-Inspired Quotes | Echo Buddha,Original Buddhist-Inspired Quotes | Echo Buddha,https://echobuddha.com/quotes/,https://echobuddha.com/quotes/,"index, follow","index, follow",Original Buddhist-Inspired Quotes,Original Buddhist-Inspired Quotes,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
https://echobuddha.com/quotes/mindfulness/,DESKTOP_AND_MOBILE,Original Mindfulness Quotes Inspired by Buddhist Practice | Echo Buddha,Original Mindfulness Quotes Inspired by Buddhist Practice | Echo Buddha,https://echobuddha.com/quotes/mindfulness/,https://echobuddha.com/quotes/mindfulness/,"index, follow","index, follow",Original Mindfulness Quotes,Original Mindfulness Quotes,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,DESKTOP_AND_MOBILE,Original Mindfulness Reflection: A peaceful mind begins with... | Echo Buddha,Original Mindfulness Reflection: A peaceful mind begins with... | Echo Buddha,https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,"noindex, follow","noindex, follow",Original Mindfulness Reflection: A peaceful mind begins with...,Original Mindfulness Reflection: A peaceful mind begins with...,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,DESKTOP_AND_MOBILE,Original Awareness Reflection: Anger asks for speed; awareness... | Echo Buddha,Original Awareness Reflection: Anger asks for speed; awareness... | Echo Buddha,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,"noindex, follow","noindex, follow",Original Awareness Reflection: Anger asks for speed; awareness...,Original Awareness Reflection: Anger asks for speed; awareness...,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
https://echobuddha.com/daily-reflections/today/,DESKTOP_AND_MOBILE,Today&#39;s Buddhist Reflection Prompt | Echo Buddha,Today&#39;s Buddhist Reflection Prompt | Echo Buddha,https://echobuddha.com/daily-reflections/today/,https://echobuddha.com/daily-reflections/today/,"noindex, follow","noindex, follow",Today's Buddhist Reflection Prompt,Today's Buddhist Reflection Prompt,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
https://echobuddha.com/search/,DESKTOP_AND_MOBILE,Search Echo Buddha | Echo Buddha,Search Echo Buddha | Echo Buddha,https://echobuddha.com/search/,https://echobuddha.com/search/,"noindex, follow","noindex, follow",Search Echo Buddha,Search Echo Buddha,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
https://echobuddha.com/privacy-policy/,DESKTOP_AND_MOBILE,Privacy Policy | Echo Buddha,Privacy Policy | Echo Buddha,https://echobuddha.com/privacy-policy/,https://echobuddha.com/privacy-policy/,"index, follow","index, follow",Privacy Policy,Privacy Policy,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
https://echobuddha.com/404,DESKTOP_AND_MOBILE,Page Not Found | Echo Buddha,Page Not Found | Echo Buddha,,,"noindex, follow","noindex, follow",Page Not Found,Page Not Found,NONE,IN_APP_BROWSER_OBSERVED_2026-08-25_DESKTOP_1280x900_AND_MOBILE_390x844,PASS
