route,family,subtype,phase_1_scope,action,source_tier,source_review_before,source_review_after,external_source_links_before,external_source_links_after,search_before,search_after,sitemap_after,canonical_preserved,internal_hrefs_preserved,heading_ids_preserved,dates_preserved
/,Homepage and high-level entry,homepage,included,Added internal search membership,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,no,yes,yes,yes,yes,yes,yes
/404.html,Supporting and technical public pages,404,included,Validated / preserved,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,no,no,no,yes,yes,yes,yes
/about/,Trust and institutional content,about,included,Added internal search membership,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,no,yes,yes,yes,yes,yes,yes
/authors/echo-buddha-editorial/,Trust and institutional content,authors/echo-buddha-editorial,included,Added internal search membership,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,no,yes,yes,yes,yes,yes,yes
/contact/,Trust and institutional content,contact,included,Added internal search membership,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,no,yes,yes,yes,yes,yes,yes
/disclaimer/,Trust and institutional content,disclaimer,included,Validated / preserved,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,no,no,yes,yes,yes,yes,yes
/editorial-policy/,Trust and institutional content,editorial-policy,included,Added internal search membership,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,no,yes,yes,yes,yes,yes,yes
/learn/,Learning content,learn-hub,included,Added internal search membership,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,0,no,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/,Learning content,learning-section,included,Added visible external source references,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,2,no,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/a-simple-daily-buddhist-practice/,Learning content,learning-page,included,Added visible external source references,TIER 3 - source-aware editorial review,Maintain source-aware editorial distinction.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/dependent-origination-explained/,Learning content,learning-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
/learn/buddhism-101/five-aggregates-buddhism/,Learning content,learning-page,included,Added visible external source references,TIER 1 - strong doctrinal sourcing required,High priority source review before major SEO expansion.,Maintain source-aware editorial distinction.,0,1,yes,yes,yes,yes,yes,yes,yes
