url_id,URL,page_family,family_group,topic,primary_intent,declared_role,owner_url,independent_purpose_raw,independent_purpose_weighted,independent_purpose_evidence,independent_purpose_confidence,originality_raw,originality_weighted,originality_evidence,originality_confidence,external_value_raw,external_value_weighted,external_value_evidence,external_value_confidence,internal_differentiation_raw,internal_differentiation_weighted,internal_differentiation_evidence,internal_differentiation_confidence,completeness_raw,completeness_weighted,completeness_evidence,completeness_confidence,editorial_contribution_raw,editorial_contribution_weighted,editorial_contribution_evidence,editorial_contribution_confidence,trust_raw,trust_weighted,trust_evidence,trust_confidence,ux_raw,ux_weighted,ux_evidence,ux_confidence,search_equity_raw,search_equity_weighted,search_equity_evidence,search_equity_confidence,return_value_raw,return_value_weighted,return_value_evidence,return_value_confidence,publisher_value_score,main_score_evidence,external_benchmark_reference,external_originality_confidence,similarity_cluster,intent_cluster,owner_support_relation,query_ownership,gsc_clicks,gsc_impressions,SEO_equity_level,policy_risk_flags,critical_override,critical_override_reason,mass_production_signal,people_first_purpose,who_signal,how_signal,why_signal,factual_review_required,score_band,provisional_review_class,evaluation_confidence,scoring_status,second_review_required,scoring_dispute,first_pass_score,second_pass_score,second_pass_rationale,notes
url_efc17d978027208c,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,Articles,Mindfulness,practical guide,PRACTICAL_APPLICATION,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,2,6.0,practical guide; declared owner(s): https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/; topic cluster contains 31 indexable URLs.,MEDIUM,4,12.0,"No exact Phase 1 body duplicate; exact repeated-block ratio 0.1637, unique-text ratio 0.8363; 3 retained similarity pairs; max lexical 0.1071; max heading 0.4857.",MEDIUM,3,9.0,3 current authoritative benchmarks assigned for Mindfulness; EchoBuddha role is practical guide; 0 extracted citations; 0 Buddhist primary-source links; source section present.,MEDIUM,2,6.0,3 retained similarity pairs; max lexical 0.1071; max heading 0.4857; declared owner(s): https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/; query ownership is NO_DATA rather than inferred.,HIGH,4,8.0,26 headings and 41 paragraphs inspected as structural coverage evidence; purpose is practical guide; word count did not award points.,MEDIUM,3,6.0,Visible author/editorial signal Echo Buddha Editorial; process reference present; provenance is structured repository content with historical drafting method not fully verified.,MEDIUM,2,2.0,0 extracted citations; 0 Buddhist primary-source links; source section present,MEDIUM,4,4.0,"Phase 1 observed HTTP 200, canonical self, indexable true; current sitemap/robots hashes match Phase 0 and no rendered ad/placeholder surface was observed.",HIGH,2,2.0,0 clicks and 0 impressions in the preserved three-month page export; query×page join unavailable,HIGH,3,3.0,"practical guide assessed for reference, practice, reflection, or repeat navigation utility; family ARTICLE; independent-purpose raw score 2/5.",MEDIUM,58,Evidence-weighted internal Phase 2 score; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE | SOURCE_QUALITY_GAP.,SC_MN10 | ATI_DN22 | NHS_MINDFULNESS,MEDIUM,ND_MINDFULNESS,INTENT_MINDFULNESS,DECLARED_SUPPORT,NO_DATA,0,0,LOW,OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE | SOURCE_QUALITY_GAP,false,,LOW,WEAK,ADEQUATE,ADEQUATE,WEAK,true,50–69,MAJOR_REVIEW_CANDIDATE,MEDIUM,SCORED,true,false,58,58,Independent challenge found no evidence-based adjustment.,"Internal governance score, not a Google score or final URL disposition."
url_81cdb5dc4ea1d166,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,ARTICLE,Articles,Beginner Buddhism,practical guide,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhism-for-beginners/,2,6.0,practical guide; declared owner(s): https://echobuddha.com/learn/buddhism-for-beginners/; topic cluster contains 7 indexable URLs.,HIGH,4,12.0,"No exact Phase 1 body duplicate; exact repeated-block ratio 0.1282, unique-text ratio 0.8718; 1 retained similarity pairs; max lexical 0.0819; max heading 0.3500.",HIGH,2,6.0,3 current authoritative benchmarks assigned for Beginner Buddhism; EchoBuddha role is practical guide; 2 extracted citations; 2 Buddhist primary-source links; source section present.,MEDIUM,2,6.0,1 retained similarity pairs; max lexical 0.0819; max heading 0.3500; declared owner(s): https://echobuddha.com/learn/buddhism-for-beginners/; query ownership is NO_DATA rather than inferred.,HIGH,4,8.0,28 headings and 42 paragraphs inspected as structural coverage evidence; purpose is practical guide; word count did not award points.,HIGH,4,8.0,Visible author/editorial signal Echo Buddha Editorial; process reference present; provenance is structured repository content with historical drafting method not fully verified.,HIGH,5,5.0,2 extracted citations; 2 Buddhist primary-source links; source section present,HIGH,4,4.0,"Phase 1 observed HTTP 200, canonical self, indexable true; current sitemap/robots hashes match Phase 0 and no rendered ad/placeholder surface was observed.",HIGH,2,2.0,0 clicks and 4 impressions in the preserved three-month page export; query×page join unavailable,HIGH,3,3.0,"practical guide assessed for reference, practice, reflection, or repeat navigation utility; family ARTICLE; independent-purpose raw score 2/5.",HIGH,60,Evidence-weighted internal Phase 2 score; SEARCH_FIRST_CONTENT_PATTERN | KEYWORD_VARIATION_PATTERN | OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE.,TRICYCLE_BEGINNERS | ATI_BEFRIENDING | SC_START,MEDIUM,ND_BEGINNER_BUDDHISM,INTENT_BEGINNER_BUDDHISM,DECLARED_SUPPORT,NO_DATA,0,4,LIMITED,SEARCH_FIRST_CONTENT_PATTERN | KEYWORD_VARIATION_PATTERN | OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE,false,,LOW,WEAK,ADEQUATE,ADEQUATE,WEAK,true,50–69,MAJOR_REVIEW_CANDIDATE,HIGH,SCORED,true,false,60,60,Independent challenge found no evidence-based adjustment.,"Internal governance score, not a Google score or final URL disposition."
url_fa05f751d9a0b344,https://echobuddha.com/articles/buddhist-approach-to-anger/,ARTICLE,Articles,Anger,practical guide,PRIMARY_PILLAR,,3,9.0,practical guide; no declared owner relationship; topic cluster contains 1 indexable URLs.,HIGH,4,12.0,"No exact Phase 1 body duplicate; exact repeated-block ratio 0.1674, unique-text ratio 0.8326; 2 retained similarity pairs; max lexical 0.0918; max heading 0.4048.",HIGH,3,9.0,3 current authoritative benchmarks assigned for Anger; EchoBuddha role is practical guide; 2 extracted citations; 2 Buddhist primary-source links; source section present.,MEDIUM,3,9.0,2 retained similarity pairs; max lexical 0.0918; max heading 0.4048; no declared owner relationship; query ownership is NO_DATA rather than inferred.,HIGH,4,8.0,31 headings and 48 paragraphs inspected as structural coverage evidence; purpose is practical guide; word count did not award points.,HIGH,4,8.0,Visible author/editorial signal Echo Buddha Editorial; process reference present; provenance is structured repository content with historical drafting method not fully verified.,HIGH,5,5.0,2 extracted citations; 2 Buddhist primary-source links; source section present,HIGH,4,4.0,"Phase 1 observed HTTP 200, canonical self, indexable true; current sitemap/robots hashes match Phase 0 and no rendered ad/placeholder surface was observed.",HIGH,3,3.0,0 clicks and 5 impressions in the preserved three-month page export; query×page join unavailable,HIGH,3,3.0,"practical guide assessed for reference, practice, reflection, or repeat navigation utility; family ARTICLE; independent-purpose raw score 3/5.",HIGH,70,Evidence-weighted internal Phase 2 score; no material policy-risk flag.,ATI_PATIENCE | TRICYCLE_BEGINNERS | LIONS_ROAR,MEDIUM,ND_ANGER,INTENT_ANGER,NONE_VERIFIED,NO_DATA,0,5,LIMITED,NONE_OBSERVED,false,,LOW,MODERATE,ADEQUATE,ADEQUATE,ADEQUATE,true,70–84,KEEP_ENHANCE_CANDIDATE,HIGH,SCORED,true,false,70,70,Independent challenge found no evidence-based adjustment.,"Internal governance score, not a Google score or final URL disposition."
url_8ef12c261fdca8c3,https://echobuddha.com/articles/buddhist-gratitude-practice/,ARTICLE,Articles,Attachment and Letting Go,practical guide,PRACTICAL_APPLICATION,,3,9.0,practical guide; no declared owner relationship; topic cluster contains 13 indexable URLs.,HIGH,4,12.0,"No exact Phase 1 body duplicate; exact repeated-block ratio 0.1104, unique-text ratio 0.8896; 0 retained similarity pairs; max lexical 0.0000; max heading 0.0000.",HIGH,3,9.0,3 current authoritative benchmarks assigned for Attachment and Letting Go; EchoBuddha role is practical guide; 2 extracted citations; 1 Buddhist primary-source links; source section present.,MEDIUM,3,9.0,0 retained similarity pairs; max lexical 0.0000; max heading 0.0000; no declared owner relationship; query ownership is NO_DATA rather than inferred.,HIGH,4,8.0,21 headings and 41 paragraphs inspected as structural coverage evidence; purpose is practical guide; word count did not award points.,HIGH,4,8.0,Visible author/editorial signal Echo Buddha Editorial; process reference present; provenance is structured repository content with historical drafting method not fully verified.,HIGH,5,5.0,2 extracted citations; 1 Buddhist primary-source links; source section present,HIGH,4,4.0,"Phase 1 observed HTTP 200, canonical self, indexable true; current sitemap/robots hashes match Phase 0 and no rendered ad/placeholder surface was observed.",HIGH,2,2.0,0 clicks and 2 impressions in the preserved three-month page export; query×page join unavailable,HIGH,3,3.0,"practical guide assessed for reference, practice, reflection, or repeat navigation utility; family ARTICLE; independent-purpose raw score 3/5.",HIGH,69,Evidence-weighted internal Phase 2 score; no material policy-risk flag.,TRICYCLE_BEGINNERS | ATI_BEFRIENDING | LIONS_ROAR,MEDIUM,NONE,INTENT_ATTACHMENT_AND_LETTING_GO,NONE_VERIFIED,NO_DATA,0,2,LIMITED,NONE_OBSERVED,false,,LOW,MODERATE,ADEQUATE,ADEQUATE,ADEQUATE,true,50–69,MAJOR_REVIEW_CANDIDATE,HIGH,SCORED,true,false,69,69,Independent challenge found no evidence-based adjustment.,"Internal governance score, not a Google score or final URL disposition."
url_5572dc61ab5569d1,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,ARTICLE,Articles,Attachment and Letting Go,educational explanation,PRIMARY_PILLAR,,3,9.0,educational explanation; no declared owner relationship; topic cluster contains 13 indexable URLs.,HIGH,4,12.0,"No exact Phase 1 body duplicate; exact repeated-block ratio 0.1217, unique-text ratio 0.8783; 0 retained similarity pairs; max lexical 0.0000; max heading 0.0000.",HIGH,3,9.0,3 current authoritative benchmarks assigned for Attachment and Letting Go; EchoBuddha role is educational explanation; 1 extracted citations; 1 Buddhist primary-source links; source section present.,MEDIUM,3,9.0,0 retained similarity pairs; max lexical 0.0000; max heading 0.0000; no declared owner relationship; query ownership is NO_DATA rather than inferred.,HIGH,4,8.0,27 headings and 39 paragraphs inspected as structural coverage evidence; purpose is educational explanation; word count did not award points.,HIGH,4,8.0,Visible author/editorial signal Echo Buddha Editorial; process reference present; provenance is structured repository content with historical drafting method not fully verified.,HIGH,5,5.0,1 extracted citations; 1 Buddhist primary-source links; source section present,HIGH,4,4.0,"Phase 1 observed HTTP 200, canonical self, indexable true; current sitemap/robots hashes match Phase 0 and no rendered ad/placeholder surface was observed.",HIGH,2,2.0,0 clicks and 1 impressions in the preserved three-month page export; query×page join unavailable,HIGH,3,3.0,"educational explanation assessed for reference, practice, reflection, or repeat navigation utility; family ARTICLE; independent-purpose raw score 3/5.",HIGH,69,Evidence-weighted internal Phase 2 score; no material policy-risk flag.,TRICYCLE_BEGINNERS | ATI_BEFRIENDING | LIONS_ROAR,MEDIUM,NONE,INTENT_ATTACHMENT_AND_LETTING_GO,NONE_VERIFIED,NO_DATA,0,1,LIMITED,NONE_OBSERVED,false,,LOW,MODERATE,ADEQUATE,ADEQUATE,ADEQUATE,true,50–69,MAJOR_REVIEW_CANDIDATE,HIGH,SCORED,true,false,69,69,Independent challenge found no evidence-based adjustment.,"Internal governance score, not a Google score or final URL disposition."
url_687ce1b5441676cf,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,ARTICLE,Articles,Impermanence,practical guide,SUPPORTING_EXPLANATION,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,2,6.0,practical guide; declared owner(s): https://echobuddha.com/learn/buddhism-101/what-is-impermanence/; topic cluster contains 8 indexable URLs.,HIGH,4,12.0,"No exact Phase 1 body duplicate; exact repeated-block ratio 0.1819, unique-text ratio 0.8181; 4 retained similarity pairs; max lexical 0.1213; max heading 0.4474.",HIGH,3,9.0,3 current authoritative benchmarks assigned for Impermanence; EchoBuddha role is practical guide; 1 extracted citations; 1 Buddhist primary-source links; source section present.,MEDIUM,2,6.0,4 retained similarity pairs; max lexical 0.1213; max heading 0.4474; declared owner(s): https://echobuddha.com/learn/buddhism-101/what-is-impermanence/; query ownership is NO_DATA rather than inferred.,HIGH,4,8.0,28 headings and 44 paragraphs inspected as structural coverage evidence; purpose is practical guide; word count did not award points.,HIGH,4,8.0,Visible author/editorial signal Echo Buddha Editorial; process reference present; provenance is structured repository content with historical drafting method not fully verified.,HIGH,5,5.0,1 extracted citations; 1 Buddhist primary-source links; source section present,HIGH,4,4.0,"Phase 1 observed HTTP 200, canonical self, indexable true; current sitemap/robots hashes match Phase 0 and no rendered ad/placeholder surface was observed.",HIGH,2,2.0,0 clicks and 3 impressions in the preserved three-month page export; query×page join unavailable,HIGH,3,3.0,"practical guide assessed for reference, practice, reflection, or repeat navigation utility; family ARTICLE; independent-purpose raw score 2/5.",HIGH,63,Evidence-weighted internal Phase 2 score; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE.,SC_SN22_59 | ATI_SN22_59 | TRICYCLE_BEGINNERS,MEDIUM,ND_IMPERMANENCE,INTENT_IMPERMANENCE,DECLARED_SUPPORT,NO_DATA,0,3,LIMITED,OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE,false,,LOW,WEAK,ADEQUATE,ADEQUATE,WEAK,true,50–69,MAJOR_REVIEW_CANDIDATE,HIGH,SCORED,true,false,63,63,Independent challenge found no evidence-based adjustment.,"Internal governance score, not a Google score or final URL disposition."
url_2fd00d723b39c680,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,ARTICLE,Articles,Page-specific / unclustered,practical guide,SCENARIO_GUIDE,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,3,9.0,practical guide; declared owner(s): https://echobuddha.com/articles/how-to-meditate-for-anxiety/; topic cluster contains 39 indexable URLs.,HIGH,4,12.0,"No exact Phase 1 body duplicate; exact repeated-block ratio 0.1812, unique-text ratio 0.8188; 2 retained similarity pairs; max lexical 0.1046; max heading 0.3750.",HIGH,4,12.0,3 current authoritative benchmarks assigned for Page-specific / unclustered; EchoBuddha role is practical guide; 0 extracted citations; 0 Buddhist primary-source links; source section present.,MEDIUM,2,6.0,2 retained similarity pairs; max lexical 0.1046; max heading 0.3750; declared owner(s): https://echobuddha.com/articles/how-to-meditate-for-anxiety/; query ownership is NO_DATA rather than inferred.,HIGH,4,8.0,26 headings and 37 paragraphs inspected as structural coverage evidence; purpose is practical guide; word count did not award points.,HIGH,3,6.0,Visible author/editorial signal Echo Buddha Editorial; process reference present; provenance is structured repository content with historical drafting method not fully verified.,HIGH,2,2.0,0 extracted citations; 0 Buddhist primary-source links; source section present,HIGH,4,4.0,"Phase 1 observed HTTP 200, canonical self, indexable true; current sitemap/robots hashes match Phase 0 and no rendered ad/placeholder surface was observed.",HIGH,3,3.0,0 clicks and 17 impressions in the preserved three-month page export; query×page join unavailable,HIGH,4,4.0,"practical guide assessed for reference, practice, reflection, or repeat navigation utility; family ARTICLE; independent-purpose raw score 3/5.",HIGH,66,Evidence-weighted internal Phase 2 score; OWNER_SUPPORT_OVERLAP | SOURCE_QUALITY_GAP.,TRICYCLE_BEGINNERS | ATI_BEFRIENDING | LIONS_ROAR,MEDIUM,ND_PAGE_SPECIFIC_UNCLUSTERED,Page-specific / unclustered,DECLARED_SUPPORT,NO_DATA,0,17,LIMITED,OWNER_SUPPORT_OVERLAP | SOURCE_QUALITY_GAP,false,,LOW,MODERATE,ADEQUATE,ADEQUATE,ADEQUATE,true,50–69,MAJOR_REVIEW_CANDIDATE,HIGH,SCORED,true,false,66,66,Independent challenge found no evidence-based adjustment.,"Internal governance score, not a Google score or final URL disposition."
url_54c231e4d1579892,https://echobuddha.com/articles/category/buddhist-wisdom/,ARTICLE_CATEGORY,Articles,Page-specific / unclustered,navigation/reference,CATEGORY,https://echobuddha.com/articles/,3,9.0,navigation/reference; declared owner(s): https://echobuddha.com/articles/; topic cluster contains 39 indexable URLs.,HIGH,1,3.0,"No exact Phase 1 body duplicate; exact repeated-block ratio 0.8598, unique-text ratio 0.1402; 0 retained similarity pairs; max lexical 0.0000; max heading 0.0000.",HIGH,2,6.0,3 current authoritative benchmarks assigned for Page-specific / unclustered; EchoBuddha role is navigation/reference; 0 extracted citations; 0 Buddhist primary-source links; source section present.,MEDIUM,3,9.0,0 retained similarity pairs; max lexical 0.0000; max heading 0.0000; declared owner(s): https://echobuddha.com/articles/; query ownership is NO_DATA rather than inferred.,HIGH,3,6.0,23 headings and 46 paragraphs inspected as structural coverage evidence; purpose is navigation/reference; word count did not award points.,HIGH,2,4.0,Visible author/editorial signal NOT_VERIFIED; process reference present; provenance is structured repository content with historical drafting method not fully verified.,HIGH,3,3.0,0 extracted citations; 0 Buddhist primary-source links; source section present,HIGH,4,4.0,"Phase 1 observed HTTP 200, canonical self, indexable true; current sitemap/robots hashes match Phase 0 and no rendered ad/placeholder surface was observed.",HIGH,3,3.0,0 clicks and 7 impressions in the preserved three-month page export; query×page join unavailable,HIGH,3,3.0,"navigation/reference assessed for reference, practice, reflection, or repeat navigation utility; family ARTICLE_CATEGORY; independent-purpose raw score 3/5.",HIGH,50,Evidence-weighted internal Phase 2 score; NAVIGATION_DOMINANT_SURFACE | OWNER_SUPPORT_OVERLAP | BOILERPLATE_DOMINANT | LOW_UNIQUE_TEXT_RATIO.,TRICYCLE_BEGINNERS | ATI_BEFRIENDING | LIONS_ROAR,MEDIUM,NONE,Page-specific / unclustered,DECLARED_SUPPORT,NO_DATA,0,7,LIMITED,NAVIGATION_DOMINANT_SURFACE | OWNER_SUPPORT_OVERLAP | BOILERPLATE_DOMINANT | LOW_UNIQUE_TEXT_RATIO,false,,MODERATE,MODERATE,ADEQUATE,ADEQUATE,ADEQUATE,true,50–69,MAJOR_REVIEW_CANDIDATE,HIGH,SCORED,true,false,50,50,Independent challenge found no evidence-based adjustment.,"Internal governance score, not a Google score or final URL disposition."
url_98ffb998f7203108,https://echobuddha.com/articles/category/meditation/,ARTICLE_CATEGORY,Articles,Meditation,navigation/reference,CATEGORY,https://echobuddha.com/articles/,3,9.0,navigation/reference; declared owner(s): https://echobuddha.com/articles/; topic cluster contains 17 indexable URLs.,HIGH,1,3.0,"No exact Phase 1 body duplicate; exact repeated-block ratio 0.7597, unique-text ratio 0.2403; 0 retained similarity pairs; max lexical 0.0000; max heading 0.0000.",HIGH,2,6.0,3 current authoritative benchmarks assigned for Meditation; EchoBuddha role is navigation/reference; 0 extracted citations; 0 Buddhist primary-source links; source section present.,MEDIUM,3,9.0,0 retained similarity pairs; max lexical 0.0000; max heading 0.0000; declared owner(s): https://echobuddha.com/articles/; query ownership is NO_DATA rather than inferred.,HIGH,3,6.0,12 headings and 24 paragraphs inspected as structural coverage evidence; purpose is navigation/reference; word count did not award points.,HIGH,2,4.0,Visible author/editorial signal NOT_VERIFIED; process reference present; provenance is structured repository content with historical drafting method not fully verified.,HIGH,3,3.0,0 extracted citations; 0 Buddhist primary-source links; source section present,HIGH,4,4.0,"Phase 1 observed HTTP 200, canonical self, indexable true; current sitemap/robots hashes match Phase 0 and no rendered ad/placeholder surface was observed.",HIGH,2,2.0,0 clicks and 1 impressions in the preserved three-month page export; query×page join unavailable,HIGH,3,3.0,"navigation/reference assessed for reference, practice, reflection, or repeat navigation utility; family ARTICLE_CATEGORY; independent-purpose raw score 3/5.",HIGH,49,Evidence-weighted internal Phase 2 score; LOW_VALUE_INVENTORY_RISK | NAVIGATION_DOMINANT_SURFACE | OWNER_SUPPORT_OVERLAP | BOILERPLATE_DOMINANT | LOW_UNIQUE_TEXT_RATIO.,SC_MN118 | ATI_MN118 | NCCIH_MEDITATION,MEDIUM,NONE,INTENT_MEDITATION,DECLARED_SUPPORT,NO_DATA,0,1,LIMITED,LOW_VALUE_INVENTORY_RISK | NAVIGATION_DOMINANT_SURFACE | OWNER_SUPPORT_OVERLAP | BOILERPLATE_DOMINANT | LOW_UNIQUE_TEXT_RATIO,false,,MODERATE,MODERATE,ADEQUATE,ADEQUATE,ADEQUATE,true,30–49,CONSOLIDATION_INDEXATION_REVIEW_CANDIDATE,HIGH,SCORED,true,false,49,49,Independent challenge found no evidence-based adjustment.,"Internal governance score, not a Google score or final URL disposition."
url_bf40dae05a8c6c5c,https://echobuddha.com/articles/category/mindfulness/,ARTICLE_CATEGORY,Articles,Mindfulness,navigation/reference,CATEGORY,https://echobuddha.com/articles/,3,9.0,navigation/reference; declared owner(s): https://echobuddha.com/articles/; topic cluster contains 31 indexable URLs.,HIGH,1,3.0,"No exact Phase 1 body duplicate; exact repeated-block ratio 0.6907, unique-text ratio 0.3093; 0 retained similarity pairs; max lexical 0.0000; max heading 0.0000.",HIGH,2,6.0,3 current authoritative benchmarks assigned for Mindfulness; EchoBuddha role is navigation/reference; 0 extracted citations; 0 Buddhist primary-source links; source section present.,MEDIUM,3,9.0,0 retained similarity pairs; max lexical 0.0000; max heading 0.0000; declared owner(s): https://echobuddha.com/articles/; query ownership is NO_DATA rather than inferred.,HIGH,3,6.0,8 headings and 16 paragraphs inspected as structural coverage evidence; purpose is navigation/reference; word count did not award points.,HIGH,2,4.0,Visible author/editorial signal NOT_VERIFIED; process reference present; provenance is structured repository content with historical drafting method not fully verified.,HIGH,3,3.0,0 extracted citations; 0 Buddhist primary-source links; source section present,HIGH,4,4.0,"Phase 1 observed HTTP 200, canonical self, indexable true; current sitemap/robots hashes match Phase 0 and no rendered ad/placeholder surface was observed.",HIGH,2,2.0,0 clicks and 1 impressions in the preserved three-month page export; query×page join unavailable,HIGH,3,3.0,"navigation/reference assessed for reference, practice, reflection, or repeat navigation utility; family ARTICLE_CATEGORY; independent-purpose raw score 3/5.",HIGH,49,Evidence-weighted internal Phase 2 score; LOW_VALUE_INVENTORY_RISK | NAVIGATION_DOMINANT_SURFACE | OWNER_SUPPORT_OVERLAP | BOILERPLATE_DOMINANT | LOW_UNIQUE_TEXT_RATIO.,SC_MN10 | ATI_DN22 | NHS_MINDFULNESS,MEDIUM,NONE,INTENT_MINDFULNESS,DECLARED_SUPPORT,NO_DATA,0,1,LIMITED,LOW_VALUE_INVENTORY_RISK | NAVIGATION_DOMINANT_SURFACE | OWNER_SUPPORT_OVERLAP | BOILERPLATE_DOMINANT | LOW_UNIQUE_TEXT_RATIO,false,,MODERATE,MODERATE,ADEQUATE,ADEQUATE,ADEQUATE,true,30–49,CONSOLIDATION_INDEXATION_REVIEW_CANDIDATE,HIGH,SCORED,true,false,49,49,Independent challenge found no evidence-based adjustment.,"Internal governance score, not a Google score or final URL disposition."
