question,claim,source,source_type,confidence,wording_boundary,verification
Q1,"The early discourses do not clearly record a command to construct and worship Buddha statues.","Early Buddhist discourse corpus review, with DN 16 used for the positive memorial comparison","Negative-evidence review",MEDIUM_HIGH,"Says no clear early-discourse record; does not claim exhaustive proof that no instruction ever existed.",SUPPORTED_WITH_LIMIT
Q1,"DN 16 presents the Tathāgata as worthy of a stupa and connects memorial reverence with a confident and settled mind.","https://suttacentral.net/dn16/en/sujato","Early Buddhist discourse",HIGH,"Paraphrases the passage; does not quote a modern translation or extend it to statues.",SUPPORTED
Q1,"DN 16 narrates relic distribution and memorial construction.","https://suttacentral.net/dn16/en/sujato","Early Buddhist discourse",HIGH,"Used for relic and stupa precedent only.",SUPPORTED
Q1,"The threefold cetiya framework appears in the prose narrative surrounding Ja 479.","https://ancient-buddhist-texts.net/English-Texts/Jataka/479.htm","Theravāda Jātaka narrative/commentary",HIGH,"Explicitly labelled later narrative/commentarial material rather than an early sutta or canonical verse quotation.",SUPPORTED
Q1,"A later Theravāda reading can treat a Buddha image as Uddesika Cetiya.","https://ancient-buddhist-texts.net/English-Texts/Jataka/479.htm","Traditional interpretation",MEDIUM_HIGH,"Presented as later Theravāda interpretation; not stated as the Buddha's early-discourse definition or universal Buddhist consensus.",SUPPORTED_WITH_TRADITION_BOUNDARY
Q1,"Surviving human-form Buddha images are securely attested in Gandhāra by the early centuries CE.","https://www.metmuseum.org/art/collection/search/72381","Museum / art history",HIGH,"Uses a dated surviving object; does not infer a universal earlier prohibition.",SUPPORTED
Q1,"Distinct human-form image traditions developed in Gandhāra and Mathurā in the early centuries CE.","https://www.metmuseum.org/essays/buddhism-and-buddhist-art","Museum / art history",HIGH,"Keeps chronology broad and acknowledges scholarly debate about origins and interpretation.",SUPPORTED
Q2,"Parinibbāna should not be simplified as an ordinary unseen personality waiting to receive material support.","Echo Buddha synthesis constrained by Buddhist Parinibbāna teaching and the memorial context of DN 16","Editorial doctrinal clarification",MEDIUM_HIGH,"Avoids defining the post-Parinibbāna state or claiming one sectarian metaphysical formula.",SUPPORTED_WITH_DOCTRINAL_LIMIT
Q2,"Relic and stupa veneration has clear early textual precedent in DN 16.","https://suttacentral.net/dn16/en/sujato","Early Buddhist discourse",HIGH,"Does not use DN 16 as evidence for later Buddha-image history.",SUPPORTED
Q2,"The Sārīrika / Pāribhogika / Uddesika classification used on the page is later Theravāda explanatory material.","https://ancient-buddhist-texts.net/English-Texts/Jataka/479.htm","Theravāda Jātaka narrative/commentary",HIGH,"Source layer is stated beside the explanation and not universalized.",SUPPORTED
Q2,"Images and offerings can function as supports for recollection rather than material provisions consumed by the Buddha.","DN 16 memorial context; Ja 479 traditional context; Echo Buddha synthesis","Editorial synthesis across source layers",MEDIUM_HIGH,"Uses can/may language and does not claim all Buddhists interpret every ritual identically.",SUPPORTED_WITH_INTERPRETIVE_BOUNDARY
Q2,"Respect and Dhamma practice are possible without a physical object.","Echo Buddha educational synthesis","Editorial interpretation",HIGH,"Presented as a practical conclusion, not as a quotation or exclusive definition of Buddhist devotion.",SUPPORTED
