quote_id,quote_text,slug,category,category_url,detail_url,quote_origin_type,attribution,source,indexable,meta_robots,sitemap_member,canonical,google_canonical,google_index_state,last_crawl,phase_2_score,phase_3_protection_tier,visible_queries,query_owner_state,clicks,impressions,momentum,internal_inlinks,referrer_evidence,word_count,unique_text_ratio,boilerplate_ratio,template_cluster,near_duplicate_cluster,story_sections,source_note_present,author,reviewer,future_decision,decision_confidence
quote_0206fee6cf946388,Acceptance names the moment clearly before choosing the next kind step.,acceptance-before-next-step,awareness,https://echobuddha.com/quotes/awareness/,https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,ECHOBUDDHA_ORIGINAL,Echo Buddha Editorial,Echo Buddha repository editorial record,false,"noindex, follow",false,https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,PASS | Submitted and indexed,2026-08-06T21:48:53Z,43,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,NO_VISIBLE_QUERY_ROW,0,0,INSUFFICIENT_VISIBLE_DATA,2,GSC_LINKS_CHECKED_NO_USABLE_ROWS,608,0.6977,0.3023,AUTHORED_REFLECTION_USER_PERMALINK,NO_QUOTE_TEXT_DUPLICATE,12,true,Echo Buddha Editorial,NO_NAMED_HUMAN_REVIEWER_CLAIMED,NOINDEX_USER_PERMALINK,HIGH
quote_6c2b84b0281fb989,Anger asks for speed; awareness asks for one more breath.,anger-asks-for-speed-awareness-asks-for-one-more,awareness,https://echobuddha.com/quotes/awareness/,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,ECHOBUDDHA_ORIGINAL,Echo Buddha Editorial,Echo Buddha repository editorial record,false,"noindex, follow",false,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,NEUTRAL | Excluded by ‘noindex’ tag,2026-08-19T01:16:28Z,NOT_APPLICABLE,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,NO_VISIBLE_QUERY_ROW,0,0,INSUFFICIENT_VISIBLE_DATA,17,GSC_LINKS_CHECKED_NO_USABLE_ROWS,430,0.3244,0.6756,CONCISE_USER_PERMALINK,NO_QUOTE_TEXT_DUPLICATE,10,true,Echo Buddha Editorial,NO_NAMED_HUMAN_REVIEWER_CLAIMED,NOINDEX_USER_PERMALINK,HIGH
quote_48589b9bdf609245,Awareness does not remove the storm; it keeps you from becoming every cloud.,awareness-does-not-remove-the-storm-it-keeps-you,awareness,https://echobuddha.com/quotes/awareness/,https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,ECHOBUDDHA_ORIGINAL,Echo Buddha Editorial,Echo Buddha repository editorial record,false,"noindex, follow",false,https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,PASS | Submitted and indexed,2026-08-08T01:54:21Z,NOT_APPLICABLE,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,NO_VISIBLE_QUERY_ROW,0,0,INSUFFICIENT_VISIBLE_DATA,2,https://echobuddha.com/sitemap.xml,442,0.3826,0.6174,CONCISE_USER_PERMALINK,NO_QUOTE_TEXT_DUPLICATE,10,true,Echo Buddha Editorial,NO_NAMED_HUMAN_REVIEWER_CLAIMED,NOINDEX_USER_PERMALINK,HIGH
quote_9cd65d0c2ed6d4ba,Clear seeing begins with the courage to stop looking away.,clear-seeing-begins-with-the-courage-to-stop-looking,awareness,https://echobuddha.com/quotes/awareness/,https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,ECHOBUDDHA_ORIGINAL,Echo Buddha Editorial,Echo Buddha repository editorial record,false,"noindex, follow",false,https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,NEUTRAL | Excluded by ‘noindex’ tag,2026-08-13T02:50:15Z,NOT_APPLICABLE,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,NO_VISIBLE_QUERY_ROW,0,0,INSUFFICIENT_VISIBLE_DATA,2,GSC_LINKS_CHECKED_NO_USABLE_ROWS,438,0.3485,0.6515,CONCISE_USER_PERMALINK,NO_QUOTE_TEXT_DUPLICATE,10,true,Echo Buddha Editorial,NO_NAMED_HUMAN_REVIEWER_CLAIMED,NOINDEX_USER_PERMALINK,HIGH
quote_e187e7ae2c68a7d9,"Feelings are honest about their presence, not always about their conclusions.",feelings-are-honest-about-their-presence-not-always-about,awareness,https://echobuddha.com/quotes/awareness/,https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,ECHOBUDDHA_ORIGINAL,Echo Buddha Editorial,Echo Buddha repository editorial record,false,"noindex, follow",false,https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,NEUTRAL | Excluded by ‘noindex’ tag,2026-08-11T06:54:25Z,NOT_APPLICABLE,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,NO_VISIBLE_QUERY_ROW,0,0,INSUFFICIENT_VISIBLE_DATA,2,GSC_LINKS_CHECKED_NO_USABLE_ROWS,431,0.37,0.63,CONCISE_USER_PERMALINK,NO_QUOTE_TEXT_DUPLICATE,10,true,Echo Buddha Editorial,NO_NAMED_HUMAN_REVIEWER_CLAIMED,NOINDEX_USER_PERMALINK,HIGH
quote_38abd185f531d0b3,Emotional balance lets feelings speak without handing them the wheel.,feelings-without-the-wheel,awareness,https://echobuddha.com/quotes/awareness/,https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,ECHOBUDDHA_ORIGINAL,Echo Buddha Editorial,Echo Buddha repository editorial record,false,"noindex, follow",false,https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,PASS | Submitted and indexed,2026-08-06T18:03:53Z,43,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,NO_VISIBLE_QUERY_ROW,0,1,INSUFFICIENT_VISIBLE_DATA,2,GSC_LINKS_CHECKED_NO_USABLE_ROWS,594,0.6878,0.3122,AUTHORED_REFLECTION_USER_PERMALINK,NO_QUOTE_TEXT_DUPLICATE,12,true,Echo Buddha Editorial,NO_NAMED_HUMAN_REVIEWER_CLAIMED,NOINDEX_USER_PERMALINK,HIGH
quote_e917e01d71b95002,Look beneath the reaction and you may find a need asking to be understood.,look-beneath-the-reaction-and-you-may-find-a,awareness,https://echobuddha.com/quotes/awareness/,https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,ECHOBUDDHA_ORIGINAL,Echo Buddha Editorial,Echo Buddha repository editorial record,false,"noindex, follow",false,https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,PASS | Submitted and indexed,2026-08-03T14:57:34Z,NOT_APPLICABLE,SEO_P2_EMERGING,NO_VISIBLE_QUERY_ROW,NO_VISIBLE_QUERY_ROW,0,4,INSUFFICIENT_VISIBLE_DATA,2,https://echobuddha.com/sitemap.xml,441,0.3968,0.6032,CONCISE_USER_PERMALINK,NO_QUOTE_TEXT_DUPLICATE,10,true,Echo Buddha Editorial,NO_NAMED_HUMAN_REVIEWER_CLAIMED,NOINDEX_USER_PERMALINK,MEDIUM_HIGH
quote_74fa515452d707a9,"Name the feeling gently, and it may stop speaking for your whole life.",name-the-feeling-gently-and-it-may-stop-speaking,awareness,https://echobuddha.com/quotes/awareness/,https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,ECHOBUDDHA_ORIGINAL,Echo Buddha Editorial,Echo Buddha repository editorial record,false,"noindex, follow",false,https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,PASS | Submitted and indexed,2026-08-07T02:54:38Z,NOT_APPLICABLE,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,NO_VISIBLE_QUERY_ROW,0,0,INSUFFICIENT_VISIBLE_DATA,17,GSC_LINKS_CHECKED_NO_USABLE_ROWS,437,0.3464,0.6536,CONCISE_USER_PERMALINK,NO_QUOTE_TEXT_DUPLICATE,10,true,Echo Buddha Editorial,NO_NAMED_HUMAN_REVIEWER_CLAIMED,NOINDEX_USER_PERMALINK,HIGH
quote_ef2c54e3174a5e7e,Notice the habit before trying to become someone without it.,notice-the-habit-before-trying-to-become-someone-without,awareness,https://echobuddha.com/quotes/awareness/,https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,ECHOBUDDHA_ORIGINAL,Echo Buddha Editorial,Echo Buddha repository editorial record,false,"noindex, follow",false,https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,NEUTRAL | Excluded by ‘noindex’ tag,2026-08-11T22:58:00Z,NOT_APPLICABLE,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,NO_VISIBLE_QUERY_ROW,0,0,INSUFFICIENT_VISIBLE_DATA,2,GSC_LINKS_CHECKED_NO_USABLE_ROWS,429,0.3591,0.6409,CONCISE_USER_PERMALINK,NO_QUOTE_TEXT_DUPLICATE,10,true,Echo Buddha Editorial,NO_NAMED_HUMAN_REVIEWER_CLAIMED,NOINDEX_USER_PERMALINK,HIGH
quote_7b21afa092b755c0,Anger becomes wiser when one breath stands between feeling and reply.,one-breath-before-anger-replies,awareness,https://echobuddha.com/quotes/awareness/,https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,ECHOBUDDHA_ORIGINAL,Echo Buddha Editorial,Echo Buddha repository editorial record,false,"noindex, follow",false,https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,PASS | Submitted and indexed,2026-08-06T15:39:32Z,43,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,NO_VISIBLE_QUERY_ROW,0,0,INSUFFICIENT_VISIBLE_DATA,2,GSC_LINKS_CHECKED_NO_USABLE_ROWS,607,0.6964,0.3036,AUTHORED_REFLECTION_USER_PERMALINK,NO_QUOTE_TEXT_DUPLICATE,12,true,Echo Buddha Editorial,NO_NAMED_HUMAN_REVIEWER_CLAIMED,NOINDEX_USER_PERMALINK,HIGH
