"Country","Clicks","Impressions","CTR","Position","Impression share","Click share","Rank","Concentration note","Country x device available?"
"United States","6","497","1.21%","30.63","36.15%","40.00%","1","Top-10 contributor","NO - not supplied"
"India","3","91","3.3%","22.63","6.62%","20.00%","2","Top-10 contributor","NO - not supplied"
"Australia","1","70","1.43%","28.99","5.09%","6.67%","3","Top-10 contributor","NO - not supplied"
"Thailand","1","28","3.57%","23.46","2.04%","6.67%","4","Top-10 contributor","NO - not supplied"
"New Zealand","1","20","5%","41.5","1.45%","6.67%","5","Top-10 contributor","NO - not supplied"
"Ireland","1","6","16.67%","18.33","0.44%","6.67%","6","Top-10 contributor","NO - not supplied"
"Sri Lanka","1","5","20%","3.8","0.36%","6.67%","7","Top-10 contributor","NO - not supplied"
"Hungary","1","1","100%","4","0.07%","6.67%","8","Top-10 contributor","NO - not supplied"
"United Kingdom","0","186","0%","52.18","13.53%","0.00%","9","Top-10 contributor","NO - not supplied"
"Canada","0","97","0%","55.74","7.05%","0.00%","10","Top-10 contributor","NO - not supplied"
"Vietnam","0","48","0%","29.56","3.49%","0.00%","11","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Philippines","0","40","0%","26","2.91%","0.00%","12","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"United Arab Emirates","0","27","0%","7.81","1.96%","0.00%","13","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Indonesia","0","24","0%","25.62","1.75%","0.00%","14","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Malaysia","0","19","0%","23.79","1.38%","0.00%","15","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Bangladesh","0","14","0%","26.86","1.02%","0.00%","16","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Singapore","0","14","0%","39.21","1.02%","0.00%","17","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Spain","0","13","0%","28.92","0.95%","0.00%","18","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"China","0","10","0%","8.5","0.73%","0.00%","19","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Germany","0","9","0%","9.67","0.65%","0.00%","20","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Netherlands","0","8","0%","11.75","0.58%","0.00%","21","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Mexico","0","8","0%","24","0.58%","0.00%","22","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Turkey","0","8","0%","28.5","0.58%","0.00%","23","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Jordan","0","8","0%","29.12","0.58%","0.00%","24","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Ukraine","0","8","0%","31.88","0.58%","0.00%","25","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Poland","0","8","0%","35.12","0.58%","0.00%","26","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Morocco","0","8","0%","38.88","0.58%","0.00%","27","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"France","0","7","0%","13.29","0.51%","0.00%","28","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Russia","0","7","0%","29.71","0.51%","0.00%","29","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Pakistan","0","6","0%","35.67","0.44%","0.00%","30","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Brazil","0","5","0%","7.4","0.36%","0.00%","31","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Algeria","0","5","0%","28.2","0.36%","0.00%","32","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Norway","0","4","0%","7.75","0.29%","0.00%","33","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Myanmar (Burma)","0","4","0%","19.5","0.29%","0.00%","34","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Cambodia","0","4","0%","44","0.29%","0.00%","35","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Croatia","0","3","0%","2.67","0.22%","0.00%","36","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Argentina","0","3","0%","4","0.22%","0.00%","37","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Belgium","0","3","0%","4.67","0.22%","0.00%","38","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Japan","0","3","0%","9.33","0.22%","0.00%","39","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Israel","0","3","0%","29","0.22%","0.00%","40","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Romania","0","3","0%","36.33","0.22%","0.00%","41","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Greece","0","2","0%","6","0.15%","0.00%","42","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Italy","0","2","0%","6","0.15%","0.00%","43","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Bulgaria","0","2","0%","7.5","0.15%","0.00%","44","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Brunei","0","2","0%","8.5","0.15%","0.00%","45","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Kenya","0","2","0%","9","0.15%","0.00%","46","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Hong Kong","0","2","0%","9.5","0.15%","0.00%","47","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Nepal","0","2","0%","9.5","0.15%","0.00%","48","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Taiwan","0","2","0%","10","0.15%","0.00%","49","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Denmark","0","2","0%","13","0.15%","0.00%","50","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"South Korea","0","2","0%","24","0.15%","0.00%","51","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Chile","0","1","0%","1","0.07%","0.00%","52","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Ghana","0","1","0%","2","0.07%","0.00%","53","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Nigeria","0","1","0%","2","0.07%","0.00%","54","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Slovenia","0","1","0%","2","0.07%","0.00%","55","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Guatemala","0","1","0%","3","0.07%","0.00%","56","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Czechia","0","1","0%","5","0.07%","0.00%","57","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Venezuela","0","1","0%","7","0.07%","0.00%","58","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Austria","0","1","0%","8","0.07%","0.00%","59","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Iran","0","1","0%","8","0.07%","0.00%","60","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Palau","0","1","0%","8","0.07%","0.00%","61","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Tunisia","0","1","0%","9","0.07%","0.00%","62","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Colombia","0","1","0%","10","0.07%","0.00%","63","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Slovakia","0","1","0%","10","0.07%","0.00%","64","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Bhutan","0","1","0%","11","0.07%","0.00%","65","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Sweden","0","1","0%","11","0.07%","0.00%","66","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Trinidad & Tobago","0","1","0%","11","0.07%","0.00%","67","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Uganda","0","1","0%","11","0.07%","0.00%","68","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Portugal","0","1","0%","35","0.07%","0.00%","69","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Qatar","0","1","0%","36","0.07%","0.00%","70","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
"Saudi Arabia","0","1","0%","49","0.07%","0.00%","71","Long-tail global reach; do not infer cultural success from tiny samples","NO - not supplied"
