URL,intended_state,predeploy_status,postdeploy_status,predeploy_canonical,postdeploy_canonical,predeploy_robots,postdeploy_robots,predeploy_sitemap,postdeploy_sitemap,material_change,classification
https://echobuddha.com/,INDEXABLE_CANONICAL_200,200,200,https://echobuddha.com/,https://echobuddha.com/,"index, follow","index, follow",YES,YES,NO,EXPECTED
https://echobuddha.com/404,NOINDEX_USER_PAGE_200,200,200,,,"noindex, follow","noindex, follow",NO,NO,NO,EXPECTED
https://echobuddha.com/404.html,TEMPORARY_REDIRECT,307,307,,,"noindex, follow","noindex, follow",NO,NO,NO,EXPECTED
https://echobuddha.com/about/,INDEXABLE_CANONICAL_200,200,200,https://echobuddha.com/about/,https://echobuddha.com/about/,"index, follow","index, follow",YES,YES,NO,EXPECTED
https://echobuddha.com/ads.txt,TECHNICAL_ENDPOINT,200,200,,,"index, follow","index, follow",NO,NO,NO,EXPECTED
https://echobuddha.com/articles/,INDEXABLE_CANONICAL_200,200,200,https://echobuddha.com/articles/,https://echobuddha.com/articles/,"index, follow","index, follow",YES,YES,NO,EXPECTED
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,INDEXABLE_CANONICAL_200,200,200,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,"index, follow","index, follow",YES,YES,NO,EXPECTED
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,INDEXABLE_CANONICAL_200,200,200,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,"index, follow","index, follow",YES,YES,NO,EXPECTED
https://echobuddha.com/articles/buddhist-approach-to-anger/,INDEXABLE_CANONICAL_200,200,200,https://echobuddha.com/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,"index, follow","index, follow",YES,YES,NO,EXPECTED
https://echobuddha.com/articles/buddhist-gratitude-practice/,INDEXABLE_CANONICAL_200,200,200,https://echobuddha.com/articles/buddhist-gratitude-practice/,https://echobuddha.com/articles/buddhist-gratitude-practice/,"index, follow","index, follow",YES,YES,NO,EXPECTED
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,INDEXABLE_CANONICAL_200,200,200,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,"index, follow","index, follow",YES,YES,NO,EXPECTED
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,INDEXABLE_CANONICAL_200,200,200,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,"index, follow","index, follow",YES,YES,NO,EXPECTED
