section label,content family,number of pages,percentage of family,fixed position?,substantive prose reused?,heading reused?,CTA reused?,value assessment,action
Beginning a Daily Mindfulness Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Key Takeaways,ARTICLE,48,100.0,YES,SEE_REPETITION_CLUSTERS,YES,NO,REVIEWED_FAMILY_STRUCTURE,RETAIN_IF_USER_NEED_JUSTIFIES
Start With One Breath,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Choose a Small Daily Rhythm,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Carry Mindfulness Into the Day,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Work With Missed Days,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Build the Habit Around a Cue,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
What to Notice During Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Common Beginner Mistakes,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Simple Ending,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Practical Examples in Daily Life,ARTICLE,14,29.2,NO,SEE_REPETITION_CLUSTERS,YES,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Mindfulness Exercise,ARTICLE,14,29.2,NO,SEE_REPETITION_CLUSTERS,YES,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Continue the Path,ARTICLE,14,29.2,NO,SEE_REPETITION_CLUSTERS,YES,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Related Buddhist Terms,ARTICLE,48,100.0,YES,SEE_REPETITION_CLUSTERS,YES,NO,REVIEWED_FAMILY_STRUCTURE,RETAIN_IF_USER_NEED_JUSTIFIES
Frequently Asked Questions,ARTICLE,48,100.0,YES,SEE_REPETITION_CLUSTERS,YES,POTENTIAL,REVIEWED_FAMILY_STRUCTURE,RETAIN_IF_USER_NEED_JUSTIFIES
Topics,ARTICLE,48,100.0,YES,SEE_REPETITION_CLUSTERS,YES,NO,REVIEWED_FAMILY_STRUCTURE,RETAIN_IF_USER_NEED_JUSTIFIES
Echo Buddha Editorial,ARTICLE,48,100.0,YES,SEE_REPETITION_CLUSTERS,YES,NO,REVIEWED_FAMILY_STRUCTURE,RETAIN_IF_USER_NEED_JUSTIFIES
Buddhism for Beginners: A Simple Guide to the Path,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Who Was the Buddha?,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
The Four Noble Truths in Everyday Language,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
"Meditation, Ethics, and Wisdom",ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
How to Begin Without Becoming Overwhelmed,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Practical First Week of Practice,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Common Beginner Misunderstandings,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
A Simple Reflection Exercise,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Where to Go Next,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Sources and Context,ARTICLE,39,81.3,NO,SEE_REPETITION_CLUSTERS,YES,NO,LEGITIMATE_TRUST_OR_SAFETY,RETAIN_IF_USER_NEED_JUSTIFIES
Selected References,ARTICLE,37,77.1,NO,SEE_REPETITION_CLUSTERS,YES,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Continue Learning,ARTICLE,30,62.5,NO,SEE_REPETITION_CLUSTERS,YES,POTENTIAL,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
"A Buddhist Approach to Anger: Pause, Understand, Respond",ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Notice Anger in the Body First,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
"Use an Anger Map: Signal, Story, Urge, Aim",ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Do Not Feed the Inner Argument,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Look Beneath Anger With Care,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Respond Clearly Without Hatred,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
When a Pause Is Not Enough,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Teaching and Editorial Scope,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
The First Thirty Seconds,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
Understand Without Excusing,ARTICLE,1,2.1,NO,SEE_REPETITION_CLUSTERS,NO,NO,PAGE_SPECIFIC_OR_OPTIONAL,RETAIN_IF_USER_NEED_JUSTIFIES
