URL,stored published date,displayed published date,schema published date,stored modified date,displayed modified date,schema modified date,confidence,corrected?,evidence
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,2026-06-01,2026-06-01,2026-06-01,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,2026-06-24,2026-06-24,2026-06-24,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/buddhist-approach-to-anger/,2026-06-17,2026-06-17,2026-06-17,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/buddhist-gratitude-practice/,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,2026-06-19,2026-06-19,2026-06-19,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,2026-06-26,2026-06-26,2026-06-26,2026-08-24,2026-08-24,2026-08-24,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,2026-05-18,2026-05-18,2026-05-18,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/compassion-with-boundaries/,2026-08-05,2026-08-05,2026-08-05,2026-08-24,2026-08-24,2026-08-24,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,2026-03-03,2026-03-03,2026-03-03,2026-07-01,2026-07-01,2026-07-01,HIGH,UI_LABEL_CORRECTED_TO_UPDATED; VALUES_PRESERVED,src/data/site.ts editorial metadata; visible time elements; Article JSON-LD; OpenGraph article times
