URL,Phase 2 role,Primary owner,Was owner before?,Final role,Broad topic ownership changed?,Required differentiation preserved?,Owner conflict introduced?,Evidence,Result
https://echobuddha.com/learn/buddhism-for-beginners/,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhism-for-beginners/,Yes,PRIMARY_PILLAR,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/learn/four-noble-truths/,PRIMARY_PILLAR,https://echobuddha.com/learn/four-noble-truths/,Yes,PRIMARY_PILLAR,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/learn/eightfold-path/,PRIMARY_PILLAR,https://echobuddha.com/learn/eightfold-path/,Yes,PRIMARY_PILLAR,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhism-for-beginners/,No,BEGINNER_FOUNDATION,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,Yes,PRIMARY_PILLAR,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Yes,PRIMARY_PILLAR,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,Yes,PRIMARY_PILLAR,No,Yes,No,Protected page reviewed without role change.,PASS
https://echobuddha.com/articles/three-poisons-buddhism-explained/,PRIMARY_PILLAR,https://echobuddha.com/articles/three-poisons-buddhism-explained/,Yes,PRIMARY_PILLAR,No,Yes,No,Protected page reviewed without role change.,PASS
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,PRIMARY_PILLAR,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,Yes,PRIMARY_PILLAR,No,Yes,No,Protected page reviewed without role change.,PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhist-dictionary/metta/,Yes,PRIMARY_PILLAR,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhism-for-beginners/,No,BEGINNER_FOUNDATION,No,Yes,No,"No merge, redirect, or ownership reassignment performed.",PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,PRACTICAL_APPLICATION,https://echobuddha.com/learn/eightfold-path/,No,PRACTICAL_APPLICATION,No,Yes,No,"No merge, redirect, or ownership reassignment performed.",PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,BEGINNER_FOUNDATION,https://echobuddha.com/learn/four-noble-truths/,No,BEGINNER_FOUNDATION,No,Yes,No,"No merge, redirect, or ownership reassignment performed.",PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,PRACTICAL_APPLICATION,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,No,PRACTICAL_APPLICATION,No,Yes,No,"No merge, redirect, or ownership reassignment performed.",PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,SUPPORTING_EXPLANATION,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,No,SUPPORTING_EXPLANATION,No,Yes,No,"No merge, redirect, or ownership reassignment performed.",PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhist-dictionary/metta/,No,BEGINNER_FOUNDATION,No,Yes,No,"No merge, redirect, or ownership reassignment performed.",PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,PRACTICAL_APPLICATION,https://echobuddha.com/learn/eightfold-path/,No,PRACTICAL_APPLICATION,No,Yes,No,"No merge, redirect, or ownership reassignment performed.",PASS
https://echobuddha.com/meditation/breathing-meditation/,PRACTICE_GUIDE,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,No,PRACTICE_GUIDE,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/meditation/loving-kindness-meditation/,PRACTICE_GUIDE,https://echobuddha.com/learn/buddhist-dictionary/metta/,No,PRACTICE_GUIDE,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/meditation/walking-meditation/,PRACTICE_GUIDE,https://echobuddha.com/meditation/walking-meditation/,Yes,PRACTICE_GUIDE,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/meditation/when-meditation-feels-hard/,PRACTICE_GUIDE,https://echobuddha.com/meditation/,No,PRACTICE_GUIDE,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/meditation/meditation-for-beginners/,PRACTICE_GUIDE,https://echobuddha.com/meditation/,No,PRACTICE_GUIDE,No,Yes,No,Protected page reviewed without role change.,PASS
https://echobuddha.com/meditation/meditation-posture-for-beginners/,PRACTICE_GUIDE,https://echobuddha.com/meditation/,No,PRACTICE_GUIDE,No,Yes,No,Protected page reviewed without role change.,PASS
https://echobuddha.com/articles/right-speech-buddhism/,PRIMARY_PILLAR,https://echobuddha.com/articles/right-speech-buddhism/,Yes,PRIMARY_PILLAR,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,PRIMARY_PILLAR,https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,PRIMARY_PILLAR,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,SCENARIO_GUIDE,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,No,SCENARIO_GUIDE,No,Yes,No,Protected page reviewed without role change.,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,SCENARIO_GUIDE,https://echobuddha.com/articles/right-speech-buddhism/,No,SCENARIO_GUIDE,No,Yes,No,Protected page reviewed without role change.,PASS
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,SOURCE_STUDY,https://echobuddha.com/learn/four-noble-truths/,No,SOURCE_STUDY,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,SOURCE_STUDY,https://echobuddha.com/learn/eightfold-path/,No,SOURCE_STUDY,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,SOURCE_STUDY,https://echobuddha.com/learn/buddhist-dictionary/metta/,No,SOURCE_STUDY,No,Yes,No,Edits follow the pre-edit role specification and keep support/source/practice scope subordinate where applicable.,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,COMPARISON_PAGE,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,No,COMPARISON_PAGE,No,Yes,No,Protected page reviewed without role change.,PASS
https://echobuddha.com/learn/dhammapada-reflections/,HUB,https://echobuddha.com/learn/dhammapada-reflections/,Yes,HUB,No,Yes,No,Protected page reviewed without role change.,PASS
