"URL","Primary owner","Role","Clicks","Impressions","CTR","Position","Prior impressions","Distinct intent evidence","Assessment","Action"
"https://echobuddha.com/quotes/letting-go/","https://echobuddha.com/quotes/","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","2","92","2.17%","19.68","24","Letting Go / Non-Attachment","EMERGING WINNER","PROTECT / OBSERVE"
"https://echobuddha.com/quotes/patience/","https://echobuddha.com/quotes/","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","1","115","0.87%","26.83","16","Patience","EMERGING WINNER","PROTECT / OBSERVE"
"https://echobuddha.com/articles/dhamma-vs-dharma/","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","KEEP AS COMPARISON_PAGE SUBJECT TO REQUIRED DIFFERENTIATION","1","87","1.15%","10.56","0","Dhamma vs Dharma","EMERGING WINNER","PROTECT / OBSERVE"
"https://echobuddha.com/quotes/mindfulness/","https://echobuddha.com/quotes/","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","1","19","5.26%","24.47","1","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/noble-eightfold-path-practical-guide/","https://echobuddha.com/learn/eightfold-path/","KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION","1","12","8.33%","46.42","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/","https://echobuddha.com/learn/buddhist-dictionary/metta/","KEEP AS SOURCE_STUDY SUBJECT TO REQUIRED DIFFERENTIATION","1","2","50%","4.5","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/five-precepts-in-daily-life/","https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/","KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION","0","87","0%","53.7","0","Query-to-page intersection not supplied","EMERGING WINNER","PROTECT / OBSERVE"
"https://echobuddha.com/articles/dhammapada-reflection-what-we-think/","https://echobuddha.com/learn/dhammapada-reflections/","KEEP AS SOURCE_STUDY SUBJECT TO REQUIRED DIFFERENTIATION","0","47","0%","8.09","0","Dhammapada attribution","HIGH-RANK / LOW-CLICK REVIEW","REVIEW SNIPPET LATER after more impressions and query/URL evidence"
"https://echobuddha.com/quotes/compassion/","https://echobuddha.com/quotes/","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","0","45","0%","47.51","5","Query-to-page intersection not supplied","INSUFFICIENT DATA","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/dhammapada-verse-1-meaning/","https://echobuddha.com/learn/dhammapada-reflections/","KEEP AS SOURCE_STUDY SUBJECT TO REQUIRED DIFFERENTIATION","0","34","0%","7.29","0","Query-to-page intersection not supplied","HIGH-RANK / LOW-CLICK REVIEW","REVIEW SNIPPET LATER after more impressions and query/URL evidence"
"https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/","https://echobuddha.com/learn/eightfold-path/","KEEP AS SOURCE_STUDY SUBJECT TO REQUIRED DIFFERENTIATION","0","23","0%","10.87","0","Query-to-page intersection not supplied","INSUFFICIENT DATA","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/","https://echobuddha.com/learn/eightfold-path/","KEEP AS SUPPORTING_EXPLANATION SUBJECT TO REQUIRED DIFFERENTIATION","0","21","0%","7.14","0","Threefold Training","HIGH-RANK / LOW-CLICK REVIEW","REVIEW SNIPPET LATER after more impressions and query/URL evidence"
"https://echobuddha.com/learn/buddhist-dictionary/sutta/","https://echobuddha.com/learn/sutta-for-daily-life/","KEEP AS DICTIONARY_DEFINITION SUBJECT TO REQUIRED DIFFERENTIATION","0","21","0%","19","0","Query-to-page intersection not supplied","INSUFFICIENT DATA","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/","https://echobuddha.com/learn/buddhism-101/","KEEP AS BEGINNER_FOUNDATION SUBJECT TO REQUIRED DIFFERENTIATION","0","15","0%","51.33","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","KEEP AS SCENARIO_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION","0","14","0%","22.43","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/awareness/","https://echobuddha.com/quotes/","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","0","12","0%","28","8","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/learn/buddhist-dictionary/pali-canon/","https://echobuddha.com/learn/sutta-for-daily-life/","KEEP AS DICTIONARY_DEFINITION SUBJECT TO REQUIRED DIFFERENTIATION","0","11","0%","54.91","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/daily-reflections/today/","N/A","NO_PHASE2_CHANGE_REQUIRED","0","9","0%","18.11","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","8","0%","33","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/practice/","https://echobuddha.com/quotes/","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","0","7","0%","9.86","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/articles/eightfold-path-explained-daily-life/","https://echobuddha.com/learn/eightfold-path/","KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION","0","7","0%","12.43","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/","https://echobuddha.com/quotes/","KEEP AS QUOTE_REFLECTION SUBJECT TO REQUIRED DIFFERENTIATION","0","7","0%","21.71","0","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
"https://echobuddha.com/quotes/meditation/","https://echobuddha.com/quotes/","KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION","0","7","0%","23","7","Query-to-page intersection not supplied","EARLY DISCOVERY","NO CHANGE - CONTINUE OBSERVATION"
