"Date","Clicks","Impressions","CTR","Position","7-day clicks mean","7-day impressions mean","14-day clicks mean","14-day impressions mean","Phase window","Causation note"
"2026-06-23","0","0","","","0","0","0","0","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-06-24","0","7","0%","2","0","3.5","0","3.5","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-06-25","0","1","0%","1","0","2.667","0","2.667","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-06-26","0","0","","","0","2","0","2","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-06-27","0","2","0%","15","0","2","0","2","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-06-28","0","2","0%","3.5","0","2","0","2","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-06-29","0","5","0%","10.6","0","2.429","0","2.429","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-06-30","0","1","0%","1","0","2.571","0","2.25","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-01","0","3","0%","4.7","0","2","0","2.333","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-02","1","15","6.67%","69.9","0.143","4","0.1","3.6","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-03","0","22","0%","36.9","0.143","7.143","0.091","5.273","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-04","0","14","0%","68.3","0.143","8.857","0.083","6","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-05","0","22","0%","64","0.143","11.714","0.077","7.231","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-06","0","2","0%","75","0.143","11.286","0.071","6.857","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-07","0","6","0%","36.5","0.143","12","0.071","7.286","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-08","1","12","8.33%","42.9","0.286","13.286","0.143","7.643","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-09","1","9","11.11%","61.9","0.286","12.429","0.214","8.214","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-10","3","15","20%","39.5","0.714","11.429","0.429","9.286","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-11","0","16","0%","45.1","0.714","11.714","0.429","10.286","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-12","1","23","4.35%","32.2","0.857","11.857","0.5","11.786","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-13","1","24","4.17%","43.4","1","15","0.571","13.143","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-14","1","29","3.45%","34.1","1.143","18.286","0.643","15.143","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-15","2","21","9.52%","62.1","1.286","19.571","0.786","16.429","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-16","0","52","0%","75.1","1.143","25.714","0.714","19.071","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-17","0","37","0%","64.9","0.714","28.857","0.714","20.143","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-18","0","44","0%","55.5","0.714","32.857","0.714","22.286","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-19","0","21","0%","62.4","0.571","32.571","0.714","22.214","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-20","0","72","0%","57.4","0.429","39.429","0.714","27.214","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-21","1","105","0.95%","56.9","0.429","50.286","0.786","34.286","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-22","0","19","0%","48.9","0.143","50","0.714","34.786","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-23","0","17","0%","39.5","0.143","45","0.643","35.357","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-24","0","13","0%","35.8","0.143","41.571","0.429","35.214","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-25","0","36","0%","44.6","0.143","40.429","0.429","36.643","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-26","1","29","3.45%","40","0.286","41.571","0.429","37.071","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-27","0","19","0%","43.4","0.286","34","0.357","36.714","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-28","0","33","0%","40.2","0.143","23.714","0.286","37","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-29","0","18","0%","35","0.143","23.571","0.143","36.786","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-30","0","34","0%","23.1","0.143","26","0.143","35.5","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-07-31","0","54","0%","31.8","0.143","31.857","0.143","36.714","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-08-01","1","36","2.78%","28.6","0.286","31.857","0.214","36.143","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-08-02","1","44","2.27%","17","0.286","34","0.286","37.786","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-08-03","0","39","0%","17.8","0.286","36.857","0.286","35.429","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-08-04","3","40","7.5%","12.8","0.714","37.857","0.429","30.786","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-08-05","0","47","0%","21.1","0.714","42","0.429","32.786","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-08-06","0","45","0%","18.6","0.714","43.571","0.429","34.786","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-08-07","1","58","1.72%","13.5","0.857","44.143","0.5","38","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-08-08","1","84","1.19%","15","0.857","51","0.571","41.429","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
"2026-08-09","0","116","0%","18","0.714","61.286","0.5","47.643","PRE / TRANSITION","Temporal observation only; crawl evidence unavailable"
