URL,URL ID,page family,topic,Phase 2 score,Phase 3 protection tier,Google index state,Google canonical,visible query ownership,latest clicks,latest impressions,momentum,content-overlap cluster,user-intent relation,current role,Phase 4 decision,survivor URL,decision confidence,redirect type,Search-risk level,content-migration status,internal-link migration status,sitemap action,canonical action,implementation status,evidence,reviewer notes
https://echobuddha.com/404.html,url_e48723ed8a1d3a44,ERROR,Page-specific / unclustered,NOT_APPLICABLE,SEO_UNKNOWN,NEUTRAL: URL is unknown to Google,NOT_REPORTED_BY_URL_INSPECTION,NO_VISIBLE_QUERY_DATA,0,0,INSUFFICIENT_VISIBLE_DATA,NONE_RECORDED,NO_DESTRUCTIVE_EQUIVALENCE_CLAIM,educational explanation,HOLD,,CONSERVATIVE_HOLD,NONE,UNKNOWN,NOT_APPLICABLE,NO_REDIRECTING_DESTINATION_LINKS_RENDERED,PRESERVE_EXISTING_POLICY,PRESERVE,EXPLICIT_HOLD,SEO_UNKNOWN; NEUTRAL: URL is unknown to Google; NO_VISIBLE_QUERY_DATA,No destructive action without better evidence
https://echobuddha.com/about/,url_ca609eb2bfd495c1,ABOUT,Page-specific / unclustered,NOT_APPLICABLE,SEO_P1_HIGH,PASS: Submitted and indexed,https://echobuddha.com/about/,VISIBLE_PRIMARY_OWNER:1,0,13,STABLE,OWNER:https://echobuddha.com/about/,NO_DESTRUCTIVE_EQUIVALENCE_CLAIM,practical guide,RETAIN,,HIGH_FOR_NON_DESTRUCTIVE_DECISION,NONE,HIGH,NOT_APPLICABLE,NO_REDIRECTING_DESTINATION_LINKS_RENDERED,PRESERVE_EXISTING_POLICY,PRESERVE,NO_BRANCH_CHANGE_REQUIRED,SEO_P1_HIGH; PASS: Submitted and indexed; VISIBLE_PRIMARY_OWNER:1,Phase 4 controlled decision
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,url_efc17d978027208c,ARTICLE,Mindfulness,58,SEO_P3_LIMITED,PASS: Submitted and indexed,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,NO_VISIBLE_QUERY_DATA,0,0,INSUFFICIENT_VISIBLE_DATA,OWNER:https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/ | TI-0090 | TI-0107 | TI-0108 | TI-0146 | TI-0164 | TI-0166 | TI-0167 | TI-0174 | TI-0178 | TI-0181 | TI-0182 | TI-0183 | TI-0251 | TI-0284 | TI-0291 | TI-0301 | TI-0317 | TI-0326 | TI-0327 | TI-0415 | TI-0512 | TI-0516 | TI-0518 | TI-0535,NO_DESTRUCTIVE_EQUIVALENCE_CLAIM,practical guide,RETAIN,,HIGH_FOR_NON_DESTRUCTIVE_DECISION,NONE,LOW,NOT_APPLICABLE,NO_REDIRECTING_DESTINATION_LINKS_RENDERED,PRESERVE_EXISTING_POLICY,PRESERVE,NO_BRANCH_CHANGE_REQUIRED,SEO_P3_LIMITED; PASS: Submitted and indexed; NO_VISIBLE_QUERY_DATA,Phase 4 controlled decision
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,url_81cdb5dc4ea1d166,ARTICLE,Beginner Buddhism,60,SEO_P3_LIMITED,PASS: Submitted and indexed,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,VISIBLE_SUPPORT:1,0,0,INSUFFICIENT_VISIBLE_DATA,OWNER:https://echobuddha.com/learn/buddhism-for-beginners/ | TI-0022 | TI-0029 | TI-0038 | TI-0055 | TI-0091 | TI-0101 | TI-0109 | TI-0143 | TI-0147 | TI-0165 | TI-0184 | TI-0291 | TI-0292 | TI-0298 | TI-0311 | TI-0312 | TI-0322 | TI-0328 | TI-0425 | TI-0493 | TI-0498 | TI-0500 | TI-0540 | TI-0697,NO_DESTRUCTIVE_EQUIVALENCE_CLAIM,practical guide,RETAIN,,HIGH_FOR_NON_DESTRUCTIVE_DECISION,NONE,LOW,NOT_APPLICABLE,NO_REDIRECTING_DESTINATION_LINKS_RENDERED,PRESERVE_EXISTING_POLICY,PRESERVE,NO_BRANCH_CHANGE_REQUIRED,SEO_P3_LIMITED; PASS: Submitted and indexed; VISIBLE_SUPPORT:1,Phase 4 controlled decision
https://echobuddha.com/articles/buddhist-approach-to-anger/,url_fa05f751d9a0b344,ARTICLE,Anger,70,SEO_P2_EMERGING,PASS: Submitted and indexed,https://echobuddha.com/articles/buddhist-approach-to-anger/,NO_VISIBLE_QUERY_DATA,0,5,INSUFFICIENT_VISIBLE_DATA,TI-0110 | TI-0208 | TI-0403 | TI-0419 | TI-0426 | TI-0427 | TI-0557,NO_DESTRUCTIVE_EQUIVALENCE_CLAIM,practical guide,RETAIN,,HIGH_FOR_NON_DESTRUCTIVE_DECISION,NONE,MODERATE,NOT_APPLICABLE,NO_REDIRECTING_DESTINATION_LINKS_RENDERED,PRESERVE_EXISTING_POLICY,PRESERVE,NO_BRANCH_CHANGE_REQUIRED,SEO_P2_EMERGING; PASS: Submitted and indexed; NO_VISIBLE_QUERY_DATA,Phase 4 controlled decision
https://echobuddha.com/articles/buddhist-gratitude-practice/,url_8ef12c261fdca8c3,ARTICLE,Attachment and Letting Go,69,SEO_P3_LIMITED,PASS: Submitted and indexed,https://echobuddha.com/articles/buddhist-gratitude-practice/,NO_VISIBLE_QUERY_DATA,0,1,INSUFFICIENT_VISIBLE_DATA,TI-0299 | TI-0306 | TI-0329 | TI-0491 | TI-0564 | TI-0652 | TI-0684 | TI-0692 | TI-0693 | TI-0796 | TI-0799 | TI-0918 | TI-0919 | TI-1051 | TI-1198 | TI-1222,NO_DESTRUCTIVE_EQUIVALENCE_CLAIM,practical guide,RETAIN,,HIGH_FOR_NON_DESTRUCTIVE_DECISION,NONE,LOW,NOT_APPLICABLE,NO_REDIRECTING_DESTINATION_LINKS_RENDERED,PRESERVE_EXISTING_POLICY,PRESERVE,NO_BRANCH_CHANGE_REQUIRED,SEO_P3_LIMITED; PASS: Submitted and indexed; NO_VISIBLE_QUERY_DATA,Phase 4 controlled decision
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,url_5572dc61ab5569d1,ARTICLE,Attachment and Letting Go,69,SEO_P3_LIMITED,PASS: Submitted and indexed,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,NO_VISIBLE_QUERY_DATA,0,1,INSUFFICIENT_VISIBLE_DATA,TI-0089 | TI-0428 | TI-0509 | TI-0549 | TI-0565 | TI-0566 | TI-0642 | TI-0654 | TI-0799 | TI-0876 | TI-0877 | TI-0948 | TI-1010 | TI-1054 | TI-1162 | TI-1199,NO_DESTRUCTIVE_EQUIVALENCE_CLAIM,educational explanation,RETAIN,,HIGH_FOR_NON_DESTRUCTIVE_DECISION,NONE,LOW,NOT_APPLICABLE,NO_REDIRECTING_DESTINATION_LINKS_RENDERED,PRESERVE_EXISTING_POLICY,PRESERVE,NO_BRANCH_CHANGE_REQUIRED,SEO_P3_LIMITED; PASS: Submitted and indexed; NO_VISIBLE_QUERY_DATA,Phase 4 controlled decision
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,url_687ce1b5441676cf,ARTICLE,Impermanence,63,SEO_P3_LIMITED,PASS: Submitted and indexed,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,NO_VISIBLE_QUERY_DATA,0,2,INSUFFICIENT_VISIBLE_DATA,OWNER:https://echobuddha.com/learn/buddhism-101/what-is-impermanence/ | ND-0934 | ND-0939 | TI-0089 | TI-0099 | TI-0111 | TI-0185 | TI-0208 | TI-0323 | TI-0404 | TI-0417 | TI-0429 | TI-0430 | TI-0636 | TI-0688 | TI-0708 | TI-0712,NO_DESTRUCTIVE_EQUIVALENCE_CLAIM,practical guide,RETAIN,,HIGH_FOR_NON_DESTRUCTIVE_DECISION,NONE,LOW,NOT_APPLICABLE,NO_REDIRECTING_DESTINATION_LINKS_RENDERED,PRESERVE_EXISTING_POLICY,PRESERVE,NO_BRANCH_CHANGE_REQUIRED,SEO_P3_LIMITED; PASS: Submitted and indexed; NO_VISIBLE_QUERY_DATA,Phase 4 controlled decision
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,url_2fd00d723b39c680,ARTICLE,Page-specific / unclustered,66,SEO_P1_HIGH,PASS: Submitted and indexed,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,VISIBLE_PRIMARY_OWNER:1,0,0,DECLINING,OWNER:https://echobuddha.com/articles/how-to-meditate-for-anxiety/ | TI-0385 | TI-0567,NO_DESTRUCTIVE_EQUIVALENCE_CLAIM,practical guide,SURGICAL_IN_PLACE_IMPROVEMENT,,HIGH_FOR_NON_DESTRUCTIVE_DECISION,NONE,HIGH,NOT_APPLICABLE,NO_REDIRECTING_DESTINATION_LINKS_RENDERED,PRESERVE_EXISTING_POLICY,PRESERVE,DEFERRED_TO_PHASE_6_DEEPENING,SEO_P1_HIGH; PASS: Submitted and indexed; VISIBLE_PRIMARY_OWNER:1,Phase 4 controlled decision
https://echobuddha.com/articles/category/buddhist-wisdom/,url_54c231e4d1579892,ARTICLE_CATEGORY,Page-specific / unclustered,50,SEO_P2_EMERGING,PASS: Submitted and indexed,https://echobuddha.com/articles/category/buddhist-wisdom/,VISIBLE_PRIMARY_OWNER:1,0,5,INSUFFICIENT_VISIBLE_DATA,OWNER:https://echobuddha.com/articles/,NO_DESTRUCTIVE_EQUIVALENCE_CLAIM,navigation/reference,RETAIN,,HIGH_FOR_NON_DESTRUCTIVE_DECISION,NONE,MODERATE,NOT_APPLICABLE,NO_REDIRECTING_DESTINATION_LINKS_RENDERED,PRESERVE_EXISTING_POLICY,PRESERVE,NO_BRANCH_CHANGE_REQUIRED,SEO_P2_EMERGING; PASS: Submitted and indexed; VISIBLE_PRIMARY_OWNER:1,Phase 4 controlled decision
