Area,Item / URL,Protected behavior,Reason,Source phase,Regression risk,Allowed Phase 5 changes,Prohibited Phase 5 changes,Validation requirement
Purpose,Whole publication,"Buddhist-rooted, beginner-friendly, calm, practical, source-aware educational publication",Core project purpose,Phase 0,High,Improve expression and differentiation,Do not convert to generic wellness/SEO content,Editorial review
URLs,All 336 current routes,Preserve stable URLs unless evidence-backed owner-approved retirement exists,No Phase 0–4 route removal was justified,Phase 0/3,High,Edit content in place,No arbitrary renames/deletions,Full crawl
Ownership,40 primary owner URLs,One indexable primary owner per mapped topic,Phase 2 architecture validated,Phase 2,High,Strengthen owner differentiation,Do not create second broad owner,Owner register validation
Indexability,90 newly noindexed recurring/generated details,"Keep accessible, self-canonical, followable, out of sitemap",User value preserved while independent search value remains limited,Phase 3,High,Page-specific editorial improvement,Do not reindex in bulk or delete,Index/sitemap crawl
Indexability,43 individually authored quote stories,Remain indexable,Materially stronger individual content,Phase 3,High,Template-feel improvements,Do not mass noindex with generated stories,Quote-family validation
Sitemap,Generated sitemap,Exactly canonical intended indexable URLs,193/193 alignment,Phase 3,High,Only policy-consistent generator changes,No manual stale URL injection,Sitemap audit
Canonical,335 public pages plus canonical-free 404,Self-canonical; 404 has no canonical,Zero canonical errors,Phase 3,High,None unless route decision changes,No canonical collapsing of useful noindex pages,Canonical audit
Crawlability,Astro static output,Core content rendered in static HTML,336 reproducible pages,Phase 0,High,Progressive enhancement,Do not make core content JS-only,Build/browser audit
Trust,Trust/policy pages,"Preserve routes, factual process language, contact/corrections paths",Publisher clarity and user protection,Phase 0/1,High,Phase 6 evidence-backed strengthening,Do not invent identities/credentials,Trust-page review
Sources,Buddhist source handling,Link authoritative texts; label paraphrase/editorial application,Claims revalidated; no fabricated certainty,Phase 4,High,Add accurate page-specific sources,Do not reproduce translations or overstate tradition scope,Source reconciliation
Attribution,Dhammapada and quote controls,Keep translation/paraphrase/original-writing distinctions,Attribution safety,Phase 0/1,High,Clarify wording,No invented Buddha quotes,Quote/source audit
Safety,Meditation/wellbeing content,Keep adapt/stop/support and non-clinical boundaries,No critical safety issue found,Phase 4,High,Page-specific clarity,No cure/guarantee/coercion claims,Safety validation
Search,/search/ and search index,Search route noindex; useful noindex content may remain discoverable,Internal discovery is distinct from Google indexability,Phase 3,Medium,Improve search UX later,Do not purge useful noindex records automatically,Search-index reconciliation
404,Built 404 and production missing-route behavior,Preserve built recovery page; production empty 404 remains future edge issue,No application route regression,Phase 0/1,Medium,Phase 8 edge configuration repair,Do not make missing routes return 200,HTTP and browser check
AdSense,Route-gated script design,Preserve conservative publisher verification/script gating,56 routes carry public publisher script; no expansion performed,Phase 0/1,High,Phase 8 evidence-backed hardening,Do not enable slots/expand coverage in Phase 5,AdSense route audit
Consent,Denied defaults/current privacy behavior,Preserve pending dedicated legal/CMP review,No Phase 0–4 change authorized,Phase 0,High,Phase 8 owner/legal work,No silent consent expansion,Manual legal/CMP review
Validation,Release gate,Keep build/type/lint/test/SEO/content/dependency gates enabled,All final gates must pass,Phase 0,High,Add stricter non-destructive checks,Do not disable failing checks,npm run validate:release
Accessibility,Current semantic/navigation behavior,"Preserve headings, labels, keyboard/navigation presence",Browser QA passes,Phase 0,Medium,Improve accessibly,Do not remove semantics for visual variation,Browser/axe-adjacent audit
Deferred merges,Seven candidate article URLs,Keep content/routes/index state until explicit owner editorial decision,No merge completed; no lost content,Phase 4,High,Review line by line outside systematic Phase 5,Do not auto-merge/redirect,Content preservation review
