url,family,internal_links_out,inbound_internal_links,indexable,low_inbound
https://echobuddha.com/,Homepage,100,704,yes,no
https://echobuddha.com/404.html,Error,26,0,no,no
https://echobuddha.com/about/,Trust,27,313,yes,no
https://echobuddha.com/articles/,Article hub,153,837,yes,no
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Article,59,44,yes,no
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Article,67,20,yes,no
https://echobuddha.com/articles/buddhist-approach-to-anger/,Article,59,27,yes,no
https://echobuddha.com/articles/buddhist-gratitude-practice/,Article,57,74,yes,no
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Article,58,18,yes,no
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Article,63,17,yes,no
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Article,57,90,yes,no
https://echobuddha.com/articles/category/buddhist-wisdom/,Article category,75,251,yes,no
https://echobuddha.com/articles/category/meditation/,Article category,51,105,yes,no
https://echobuddha.com/articles/category/mindfulness/,Article category,39,117,yes,no
https://echobuddha.com/articles/category/practice/,Article category,36,102,yes,no
https://echobuddha.com/articles/category/reflection/,Article category,45,130,yes,no
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Article,61,35,yes,no
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Article,57,12,yes,no
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,Article,59,4,yes,no
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Article,61,10,yes,no
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Article,61,72,yes,no
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,Article,63,14,yes,no
https://echobuddha.com/articles/eightfold-path-explained/,Article,64,22,yes,no
https://echobuddha.com/articles/equanimity-in-buddhism/,Article,58,108,yes,no
https://echobuddha.com/articles/five-precepts-in-daily-life/,Article,57,68,yes,no
https://echobuddha.com/articles/four-noble-truths-explained-simply/,Article,59,12,yes,no
https://echobuddha.com/articles/four-noble-truths-explained/,Article,61,14,yes,no
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Article,58,39,yes,no
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Article,59,20,yes,no
https://echobuddha.com/articles/how-to-meditate-for-beginners/,Article,60,43,yes,no
https://echobuddha.com/articles/how-to-practice-non-attachment/,Article,59,41,yes,no
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,Article,60,7,yes,no
https://echobuddha.com/articles/impermanence-in-buddhism/,Article,61,21,yes,no
https://echobuddha.com/articles/letting-go-without-giving-up/,Article,60,27,yes,no
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,Article,64,17,yes,no
https://echobuddha.com/articles/loving-kindness-meditation-guide/,Article,60,11,yes,no
https://echobuddha.com/articles/metta-meditation-script/,Article,61,18,yes,no
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,Article,59,19,yes,no
https://echobuddha.com/articles/mindfulness-for-better-sleep/,Article,60,13,yes,no
https://echobuddha.com/articles/mindfulness-morning-routine/,Article,59,27,yes,no
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Article,60,43,yes,no
https://echobuddha.com/articles/mindfulness-vs-meditation/,Article,63,87,yes,no
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,Article,60,17,yes,no
https://echobuddha.com/articles/right-livelihood-modern-life/,Article,58,68,yes,no
https://echobuddha.com/articles/right-speech-buddhism/,Article,57,86,yes,no
https://echobuddha.com/articles/three-poisons-buddhism-explained/,Article,59,108,yes,no
https://echobuddha.com/articles/three-ways-to-practice-patience/,Article,59,21,yes,no
https://echobuddha.com/articles/walking-meditation-step-by-step/,Article,58,13,yes,no
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,Article,61,13,yes,no
https://echobuddha.com/articles/what-is-karma-in-buddhism/,Article,63,24,yes,no
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,Article,59,14,yes,no
https://echobuddha.com/authors/echo-buddha-editorial/,Trust,42,85,yes,no
https://echobuddha.com/contact/,Trust,22,315,yes,no
https://echobuddha.com/daily-reflections/,Daily reflection hub,154,688,yes,no
https://echobuddha.com/daily-reflections/anger-as-a-signal/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/begin-again-without-shame/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/enough-for-this-moment/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/evening-release/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/family-patience/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,Daily reflection,33,5,yes,no
https://echobuddha.com/daily-reflections/gratitude-for-change/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/listen-before-answering/,Daily reflection,33,6,yes,no
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/mindful-work/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/morning-intention/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/notice-before-fixing/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/one-honest-breath/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/one-step-on-the-path/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,Daily reflection,33,10,yes,no
https://echobuddha.com/daily-reflections/rest-without-escape/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/see-the-conditions/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/simple-goodwill/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,Daily reflection,33,4,yes,no
https://echobuddha.com/daily-reflections/today/,Daily reflection utility,148,73,no,no
https://echobuddha.com/daily-reflections/walking-as-practice/,Daily reflection,33,4,yes,no
https://echobuddha.com/disclaimer/,Trust,22,392,yes,no
https://echobuddha.com/editorial-policy/,Trust,23,625,yes,no
https://echobuddha.com/learn/,Learn hub,61,670,yes,no
https://echobuddha.com/learn/buddhism-101/,Learning,52,24,yes,no
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,Learning,32,30,yes,no
https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,Learning,35,10,yes,no
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,Learning,35,4,yes,no
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,Learning,35,6,yes,no
https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,Learning,32,10,yes,no
https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,Learning,35,7,yes,no
https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,Learning,34,12,yes,no
https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,Learning,34,11,yes,no
https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,Learning,32,7,yes,no
https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,Learning,38,8,yes,no
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,Learning,33,9,yes,no
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Learning,33,35,yes,no
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,Learning,34,9,yes,no
https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,Learning,32,60,yes,no
https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,Learning,32,4,yes,no
https://echobuddha.com/learn/buddhism-for-beginners/,Learning,29,11,yes,no
https://echobuddha.com/learn/buddhist-dictionary/,Learning,38,22,yes,no
https://echobuddha.com/learn/buddhist-dictionary/anatta/,Learning,34,15,yes,no
https://echobuddha.com/learn/buddhist-dictionary/anicca/,Learning,33,31,yes,no
https://echobuddha.com/learn/buddhist-dictionary/compassion/,Learning,32,45,yes,no
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,Learning,31,63,yes,no
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,Learning,34,48,yes,no
https://echobuddha.com/learn/buddhist-dictionary/karma/,Learning,32,34,yes,no
https://echobuddha.com/learn/buddhist-dictionary/karuna/,Learning,32,11,yes,no
https://echobuddha.com/learn/buddhist-dictionary/metta/,Learning,32,27,yes,no
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,Learning,31,31,yes,no
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,Learning,33,4,yes,no
https://echobuddha.com/learn/buddhist-dictionary/sangha/,Learning,31,6,yes,no
https://echobuddha.com/learn/buddhist-dictionary/sati/,Learning,32,58,yes,no
https://echobuddha.com/learn/buddhist-resources/,Learning,33,41,yes,no
https://echobuddha.com/learn/dhammapada-reflections/,Learning,31,12,yes,no
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,Learning,32,4,yes,no
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,Learning,31,4,yes,no
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,Learning,32,4,yes,no
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,Learning,31,4,yes,no
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,Learning,33,4,yes,no
https://echobuddha.com/learn/eightfold-path/,Learning,43,54,yes,no
https://echobuddha.com/learn/four-noble-truths/,Learning,36,23,yes,no
https://echobuddha.com/learn/questions-about-buddhism/,Learning,53,6,yes,no
https://echobuddha.com/learn/sutta-for-daily-life/,Learning,31,7,yes,no
https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,Learning,31,4,yes,no
https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,Learning,32,4,yes,no
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,Learning,33,4,yes,no
https://echobuddha.com/learn/sutta-for-daily-life/mindfulness-of-breathing-explained-simply/,Learning,32,4,yes,no
https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,Learning,32,9,yes,no
https://echobuddha.com/meditation-guide/,Utility,24,21,yes,no
https://echobuddha.com/meditation/,Meditation hub,38,339,yes,no
https://echobuddha.com/meditation/5-minute-meditation-practice/,Meditation,30,6,yes,no
https://echobuddha.com/meditation/breathing-meditation/,Meditation,30,13,yes,no
https://echobuddha.com/meditation/loving-kindness-meditation/,Meditation,31,14,yes,no
https://echobuddha.com/meditation/meditation-for-beginners/,Meditation,30,43,yes,no
https://echobuddha.com/meditation/mindfulness-in-daily-life/,Meditation,30,7,yes,no
https://echobuddha.com/meditation/walking-meditation/,Meditation,30,6,yes,no
https://echobuddha.com/mindful-living/,Utility,51,5,yes,no
https://echobuddha.com/privacy-policy/,Trust,22,313,yes,no
https://echobuddha.com/quotes/,Quote story,502,337,yes,no
https://echobuddha.com/quotes/awareness/,Quote category,93,151,yes,no
https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,Quote story,44,4,yes,no
https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,Quote story,43,34,yes,no
https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,Quote story,43,4,yes,no
https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,Quote story,43,4,no,no
https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,Quote story,43,4,no,no
https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,Quote story,44,4,yes,no
https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,Quote story,43,4,yes,no
https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,Quote story,43,34,yes,no
https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,Quote story,43,4,no,no
https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,Quote story,45,4,yes,no
https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,Quote story,43,36,yes,no
https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/,Quote story,43,10,yes,no
https://echobuddha.com/quotes/awareness/thoughts-are-visitors/,Quote story,44,4,yes,no
https://echobuddha.com/quotes/awareness/thoughts-pass-without-commanding-you/,Quote story,44,4,yes,no
https://echobuddha.com/quotes/awareness/what-you-can-observe-clearly-no-longer-controls-you/,Quote story,43,4,no,no
https://echobuddha.com/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/,Quote story,43,4,no,no
https://echobuddha.com/quotes/compassion/,Quote category,93,149,yes,no
