URL,Page family,Before index state,After index state,Before sitemap,After sitemap,Phase 3 action,Primary owner,Canonical target,Rationale,Confidence,Human review,Rollback available
https://echobuddha.com/,homepage,indexable,indexable,in sitemap,in sitemap,KEEP_INDEXED,https://echobuddha.com/,https://echobuddha.com/,Distinct route purpose remains valid under the Phase 2 ownership architecture; no indexability change justified.,High,No,Not applicable
https://echobuddha.com/404.html,error utility,noindex,noindex,out of sitemap,out of sitemap,KEEP_NOINDEXED,https://echobuddha.com/404.html,,Utility/error route has no independent search-result purpose.,High,No,Not applicable
https://echobuddha.com/about/,trust/policy,indexable,indexable,in sitemap,in sitemap,HUMAN_REVIEW,https://echobuddha.com/about/,https://echobuddha.com/about/,"Indexability remains unchanged because publisher, expert, source, or wellbeing judgement is required.",Medium,Yes,Not applicable
https://echobuddha.com/articles/,hub/utility,indexable,indexable,in sitemap,in sitemap,KEEP_INDEXED,https://echobuddha.com/articles/,https://echobuddha.com/articles/,Distinct route purpose remains valid under the Phase 2 ownership architecture; no indexability change justified.,High,No,Not applicable
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,article,indexable,indexable,in sitemap,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5.",High,No,Not applicable
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,article,indexable,indexable,in sitemap,in sitemap,CONSOLIDATE_AFTER_PHASE_4,https://echobuddha.com/learn/buddhism-for-beginners/,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,"Ownership overlap is credible, but content must be integrated and verified before any redirect; deferred to editorial remediation.",Medium,Yes,Not applicable
https://echobuddha.com/articles/buddhist-approach-to-anger/,article,indexable,indexable,in sitemap,in sitemap,KEEP_INDEXED,https://echobuddha.com/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,Distinct route purpose remains valid under the Phase 2 ownership architecture; no indexability change justified.,High,No,Not applicable
https://echobuddha.com/articles/buddhist-gratitude-practice/,article,indexable,indexable,in sitemap,in sitemap,KEEP_INDEXED,https://echobuddha.com/articles/buddhist-gratitude-practice/,https://echobuddha.com/articles/buddhist-gratitude-practice/,Distinct route purpose remains valid under the Phase 2 ownership architecture; no indexability change justified.,High,No,Not applicable
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,article,indexable,indexable,in sitemap,in sitemap,KEEP_INDEXED,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Distinct route purpose remains valid under the Phase 2 ownership architecture; no indexability change justified.,High,No,Not applicable
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,article,indexable,indexable,in sitemap,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5.",High,No,Not applicable
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,article,indexable,indexable,in sitemap,in sitemap,HUMAN_REVIEW,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,"Indexability remains unchanged because publisher, expert, source, or wellbeing judgement is required.",Medium,Yes,Not applicable
https://echobuddha.com/articles/category/buddhist-wisdom/,article category,indexable,indexable,in sitemap,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/articles/,https://echobuddha.com/articles/category/buddhist-wisdom/,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5.",High,No,Not applicable
https://echobuddha.com/articles/category/meditation/,article category,indexable,indexable,in sitemap,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/articles/,https://echobuddha.com/articles/category/meditation/,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5.",High,No,Not applicable
https://echobuddha.com/articles/category/mindfulness/,article category,indexable,indexable,in sitemap,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/articles/,https://echobuddha.com/articles/category/mindfulness/,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5.",High,No,Not applicable
https://echobuddha.com/articles/category/practice/,article category,indexable,indexable,in sitemap,in sitemap,KEEP_INDEXED,https://echobuddha.com/articles/category/practice/,https://echobuddha.com/articles/category/practice/,Distinct route purpose remains valid under the Phase 2 ownership architecture; no indexability change justified.,High,No,Not applicable
https://echobuddha.com/articles/category/reflection/,article category,indexable,indexable,in sitemap,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/articles/,https://echobuddha.com/articles/category/reflection/,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5.",High,No,Not applicable
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,article,indexable,indexable,in sitemap,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5.",High,No,Not applicable
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,article,indexable,indexable,in sitemap,in sitemap,KEEP_INDEXED,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Distinct route purpose remains valid under the Phase 2 ownership architecture; no indexability change justified.,High,No,Not applicable
https://echobuddha.com/articles/compassion-with-boundaries/,article,indexable,indexable,in sitemap,in sitemap,IMPROVE_LATER_PHASE,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-with-boundaries/,"Page has a valid owned role, but its editorial differentiation belongs to Phase 4/5.",High,No,Not applicable
